model,dataset,chunk_size,condition,question,answer,ground_truth,faithfulness_score,is_hallucination,latency_s
mistral,squad,256,reranked,Which NFL team represented the AFC at Super Bowl 50?," I cannot find this information in the provided context. The context only mentions the Pittsburgh Steelers' appearance in Super Bowl XL, not their participation in any other Super Bowl.",Denver Broncos,0.7543,False,2.59
mistral,squad,256,reranked,Which NFL team represented the NFC at Super Bowl 50?," I cannot find this information in the provided context. The context only mentions that four teams have made eight appearances in the Super Bowl, and one of them is the Pittsburgh Steelers. It does not provide any information about which NFL team represented the NFC at Super Bowl 50.",Carolina Panthers,0.576,False,3.42
mistral,squad,256,reranked,Where did Super Bowl 50 take place?," The provided context does not specify the year of Super Bowl 50, but it states that it is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985. Therefore, we can infer that Super Bowl 50 took place after 1985 and before the most recent Super Bowl mentioned, which was Super Bowl XXXVII in 2003. However, without additional context or information about the years of these Super Bowls, I cannot definitively say where Super Bowl 50 took place based solely on the provided context.","Santa Clara, California",0.5861,False,7.61
mistral,squad,256,reranked,Which NFL team won Super Bowl 50?," I cannot find this information in the provided context. The context only mentions that a specific team has made eight appearances in the Super Bowl, but it does not specify which team won Super Bowl 50.",Denver Broncos,0.5381,False,3.31
mistral,squad,256,reranked,What color was used to emphasize the 50th anniversary of the Super Bowl?," The provided context does not specify the exact color used to emphasize the 50th anniversary of the Super Bowl, but it mentions that there were gold-themed initiatives.",gold,0.435,True,3.58
mistral,squad,256,reranked,What was the theme of Super Bowl 50?," I cannot find this information in the provided context. The context only mentions that the game would be called ""Super Bowl 50"" for the logo to feature Arabic numerals, but it does not provide any details about the theme of Super Bowl 50.","""golden anniversary""",0.7626,False,3.59
mistral,squad,256,reranked,What day was the game played on?," The game was played on February 7, 2016.","February 7, 2016",0.8967,False,2.18
mistral,squad,256,reranked,What is the AFC short for?, The context does not provide information about what AFC stands for.,American Football Conference,0.4877,True,1.71
mistral,squad,256,reranked,What was the theme of Super Bowl 50?," I cannot find this information in the provided context. The context only mentions that the game would be called ""Super Bowl 50"" for the logo to feature Arabic numerals, not the theme of the event.","""golden anniversary""",0.7457,False,2.93
mistral,squad,256,reranked,What does AFC stand for?," The context does not provide information about what AFC stands for. However, in American football, AFC refers to the American Football Conference.",American Football Conference,0.6221,False,2.83
mistral,squad,256,reranked,What day was the Super Bowl played on?," I cannot find this information in the provided context. The context only mentions the date of the media day, not the date of the actual Super Bowl.","February 7, 2016",0.5485,False,3.25
mistral,squad,256,reranked,Who won Super Bowl 50?," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was the game for the 2015 NFL season, but it does not specify who won the game.",Denver Broncos,0.6161,False,3.03
mistral,squad,256,reranked,What venue did Super Bowl 50 take place in?," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was held in the San Francisco Bay Area, but it does not specify the exact venue.",Levi's Stadium,0.7724,False,3.46
mistral,squad,256,reranked,What city did Super Bowl 50 take place in?," I cannot find this information in the provided context. The context only mentions that the last Super Bowl held in the San Francisco Bay Area was Super Bowl XIX in 1985, and the first in California since then was Super Bowl XXXVII in 2003 (which took place in San Diego), but it does not specify where Super Bowl 50 took place.",Santa Clara,0.5904,False,5.18
mistral,squad,256,reranked,"If Roman numerals were used, what would Super Bowl 50 have been called?"," If Roman numerals were used for Super Bowl 50, it would have been called ""Super Bowl L"".",Super Bowl L,0.5059,False,2.95
mistral,squad,256,reranked,Super Bowl 50 decided the NFL champion for what season?, The Super Bowl 50 decided the NFL champion for the 2015 season.,2015,0.6644,False,2.26
mistral,squad,256,reranked,What year did the Denver Broncos secure a Super Bowl title for the third time?," I cannot find the exact year of the Super Bowl win for the Denver Broncos in the provided context. However, it is implied that this event occurred after Super Bowl XLIX (which was held in 2015), as the text mentions that the Broncos denied the New England Patriots a chance to defend their title from that game. Therefore, we can infer that the year of the third Super Bowl win for the Denver Broncos is likely after 2015.",2015,0.6239,False,6.87
mistral,squad,256,reranked,What city did Super Bowl 50 take place in?," I cannot find this information in the provided context. The context only mentions that the last Super Bowl held in the San Francisco Bay Area was Super Bowl XIX in 1985, and the first in California since then was Super Bowl XXXVII in 2003 (which took place in San Diego), but it does not specify where Super Bowl 50 took place.",Santa Clara,0.5904,False,5.71
mistral,squad,256,reranked,What stadium did Super Bowl 50 take place in?," I cannot find this information in the provided context. The context only mentions that the last Super Bowl held in the San Francisco Bay Area was Super Bowl XIX, but it does not specify where Super Bowl 50 took place.",Levi's Stadium,0.6045,False,2.8
mistral,squad,256,reranked,What was the final score of Super Bowl 50? ," I cannot find this information in the provided context. The context only states that Super Bowl 50 determined the champion for the 2015 NFL season, but it does not provide the final score.",24–10,0.5728,False,3.28
