dataset,tau,condition,question,ground_truth,faithfulness_score,is_hallucination,gate_fired,ccs_pre
triviaqa,0.6,baseline,"Raclette, Tilsit and Sbrinz are all types of which foodstuff?",Cheese,0.6022,False,False,-1.0
triviaqa,0.6,hcpc_v1,"Raclette, Tilsit and Sbrinz are all types of which foodstuff?",Cheese,1.0,False,False,-1.0
triviaqa,0.6,ccs_gate,"Raclette, Tilsit and Sbrinz are all types of which foodstuff?",Cheese,1.0,False,True,0.5472
triviaqa,0.6,baseline,At what Bikini Bottom restaurant does SpongeBob Squarepants earn a living as a fry cook?,The Krusty Krab,0.7683,False,False,-1.0
triviaqa,0.6,hcpc_v1,At what Bikini Bottom restaurant does SpongeBob Squarepants earn a living as a fry cook?,The Krusty Krab,0.7422,False,False,-1.0
triviaqa,0.6,ccs_gate,At what Bikini Bottom restaurant does SpongeBob Squarepants earn a living as a fry cook?,The Krusty Krab,0.7422,False,True,0.531
triviaqa,0.6,baseline,"What, generally, is the par on a 300 yard golf hole?",Four,0.6474,False,False,-1.0
triviaqa,0.6,hcpc_v1,"What, generally, is the par on a 300 yard golf hole?",Four,0.6472,False,False,-1.0
triviaqa,0.6,ccs_gate,"What, generally, is the par on a 300 yard golf hole?",Four,0.6474,False,False,0.6403
triviaqa,0.6,baseline,The lyrics of which song first put to music by Pete Seeger in 1959 and later made famous by The Byrds were taken almost entirely from the Book of Ecclesiastes in the Bible?,"""""""Turn! Turn! Turn! (to Everything There is a Season)""""""",0.7185,False,False,-1.0
triviaqa,0.6,hcpc_v1,The lyrics of which song first put to music by Pete Seeger in 1959 and later made famous by The Byrds were taken almost entirely from the Book of Ecclesiastes in the Bible?,"""""""Turn! Turn! Turn! (to Everything There is a Season)""""""",0.5531,False,False,-1.0
triviaqa,0.6,ccs_gate,The lyrics of which song first put to music by Pete Seeger in 1959 and later made famous by The Byrds were taken almost entirely from the Book of Ecclesiastes in the Bible?,"""""""Turn! Turn! Turn! (to Everything There is a Season)""""""",0.5531,False,True,0.264
triviaqa,0.6,baseline,From which country was Fulgencio Batista ousted in 1959?,Cuba,0.6024,False,False,-1.0
