question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,quant,model_tag
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The NFL team that represented the American Football Conference (AFC) at Super Bowl 50 was the Denver Broncos.,baseline,0.7157,False,0.6027,False,-1.0,14.42,squad,q8_0,mistral:7b-instruct-q8_0
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v1,0.8579,False,0.6602,False,-1.0,3.45,squad,q8_0,mistral:7b-instruct-q8_0
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The NFL team that represented the American Football Conference (AFC) at Super Bowl 50 was the Denver Broncos.,hcpc_v2,0.7157,False,0.6025,True,0.5463,7.31,squad,q8_0,mistral:7b-instruct-q8_0
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,baseline,0.8891,False,0.6001,False,-1.0,3.61,squad,q8_0,mistral:7b-instruct-q8_0
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6188,False,-1.0,2.11,squad,q8_0,mistral:7b-instruct-q8_0
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v2,0.8891,False,0.5991,True,0.5853,5.82,squad,q8_0,mistral:7b-instruct-q8_0
Where did Super Bowl 50 take place?,"Santa Clara, California","Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9516,False,0.6432,False,-1.0,3.78,squad,q8_0,mistral:7b-instruct-q8_0
Where did Super Bowl 50 take place?,"Santa Clara, California","Super Bowl 50 took place in San Francisco Bay Area, California.",hcpc_v1,0.882,False,0.6279,False,-1.0,3.11,squad,q8_0,mistral:7b-instruct-q8_0
Where did Super Bowl 50 take place?,"Santa Clara, California","Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9516,False,0.6432,False,0.5722,5.12,squad,q8_0,mistral:7b-instruct-q8_0
Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6554,False,-1.0,3.78,squad,q8_0,mistral:7b-instruct-q8_0
Which NFL team won Super Bowl 50?,Denver Broncos,The NFL team that won Super Bowl 50 was the Denver Broncos.,hcpc_v1,0.8694,False,0.6259,False,-1.0,2.49,squad,q8_0,mistral:7b-instruct-q8_0
Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6554,False,0.5701,4.95,squad,q8_0,mistral:7b-instruct-q8_0
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,The color used to emphasize the 50th anniversary of the Super Bowl was gold.,baseline,0.7516,False,0.5495,False,-1.0,3.73,squad,q8_0,mistral:7b-instruct-q8_0
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,The color used to emphasize the 50th anniversary of the Super Bowl was gold.,hcpc_v1,0.7516,False,0.6032,False,-1.0,4.07,squad,q8_0,mistral:7b-instruct-q8_0
