question,ground_truth,answer,template,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,model
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,"Vice-Admiral Iqbal Fazl Quadir was serving in the Pakistan Navy during the time he participated in the attack on the radar station located on the western shore of the Okhamandal Peninsula, India.",expert,baseline,0.5918,False,0.572,False,-1.0,4.05,hotpotqa,mistral
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,"The context provided does not contain information about Vice-Admiral Iqbal Fazl Quadir participating in an attack on a radar station located on the western shore of the Okhamandal Peninsula. Therefore, it is impossible to determine his role or position during such an event.",expert,hcpc_v1,0.6918,False,0.5077,False,-1.0,3.75,hotpotqa,mistral
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,"Vice-Admiral Iqbal Fazl Quadir was serving in the Pakistan Navy during the time he participated in the attack on the radar station located on the western shore of the Okhamandal Peninsula, India.",expert,hcpc_v2,0.5918,False,0.572,False,1.0,3.95,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,"The context does not provide information about when Tivoli Gardens, where Tivolis Koncertsal is located, opened.",expert,baseline,0.7429,False,0.7277,False,-1.0,2.78,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,"The context does not provide information about when Tivoli Gardens, where Tivolis Koncertsal is located, opened.",expert,hcpc_v1,0.7429,False,0.7277,False,-1.0,1.26,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,"The context does not provide information about when Tivoli Gardens, where Tivolis Koncertsal is located, opened.",expert,hcpc_v2,0.7429,False,0.7277,False,1.0,1.27,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,"The context provided does not contain information about Art Laboe's country of ancestry, so it is impossible to determine a shared country of ancestry between Art Laboe and Scout Tufankjian.",expert,baseline,0.4013,True,0.5633,False,-1.0,3.6,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,"The context provided does not offer any information about Art Laboe's country of ancestry. Therefore, it is impossible to determine a shared country of ancestry between Art Laboe and Scout Tufankjian based on the given context.",expert,hcpc_v1,0.5338,False,0.5243,False,-1.0,3.15,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,"The context provided does not offer any information about Art Laboe's country of ancestry, so it is impossible to determine a shared country of ancestry between Art Laboe and Scout Tufankjian.",expert,hcpc_v2,0.3641,True,0.5633,False,1.0,3.35,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,"The school where the Wilmslow Show is held is designated as a venue or event space, rather than a school during the time of the show.",expert,baseline,0.4683,True,0.777,False,-1.0,2.74,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,"The school where the Wilmslow Show is held is designated as a venue or event space, rather than a school during the time of the show.",expert,hcpc_v1,0.4683,True,0.777,False,-1.0,1.39,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,"The school where the Wilmslow Show is held is designated as a venue or event space, rather than a school during the time of the show.",expert,hcpc_v2,0.4683,True,0.777,False,1.0,1.39,hotpotqa,mistral
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,"Billy Howle will be seen opposite Saoirse Ronan in the upcoming British drama film, ""On Chesil Beach"", directed by Dominic Cooke.",expert,baseline,0.7801,False,0.528,False,-1.0,5.01,hotpotqa,mistral
