dataset,quant,condition,n_queries,faith,halluc,sim,refine_rate,ccs,latency
pubmedqa,q4_0,baseline,30,0.6014,0.1333,0.6531,0.0,,8.6207
pubmedqa,q4_0,hcpc_v1,30,0.5814,0.2667,0.6783,0.0,,4.5763
pubmedqa,q4_0,hcpc_v2,30,0.5796,0.2667,0.6526,0.7333,0.57,7.2293
pubmedqa,q5_K_M,baseline,30,0.548,0.3333,0.5166,0.0,,18.008
pubmedqa,q5_K_M,hcpc_v1,30,0.5517,0.3,0.5471,0.0,,9.5717
pubmedqa,q5_K_M,hcpc_v2,30,0.5412,0.3667,0.5168,0.9667,0.3091,16.682
pubmedqa,q8_0,baseline,30,0.5683,0.2,0.5166,0.0,,13.7307
pubmedqa,q8_0,hcpc_v1,30,0.5688,0.1667,0.5471,0.0,,7.8827
pubmedqa,q8_0,hcpc_v2,30,0.5568,0.2667,0.5168,0.9667,0.3091,13.3593
squad,q4_0,baseline,30,0.7907,0.0,0.6154,0.0,,2.7187
squad,q4_0,hcpc_v1,30,0.6959,0.1,0.6172,0.0,,2.2687
squad,q4_0,hcpc_v2,30,0.7826,0.0,0.6152,0.3333,0.5551,3.4513
squad,q5_K_M,baseline,30,0.8087,0.0,0.5877,0.0,,5.1563
squad,q5_K_M,hcpc_v1,30,0.7205,0.0,0.6008,0.0,,2.769
squad,q5_K_M,hcpc_v2,30,0.8056,0.0,0.5879,0.5333,0.5425,5.627
squad,q8_0,baseline,30,0.8132,0.0333,0.5877,0.0,,5.6223
squad,q8_0,hcpc_v1,30,0.7205,0.0,0.6008,0.0,,3.1243
squad,q8_0,hcpc_v2,30,0.7975,0.0333,0.5879,0.5333,0.5425,5.979
