dataset,tau,faith_baseline,faith_hcpc_v1,faith_ccs_gate,recovery
hotpotqa,0.3,0.632815,0.618484,0.616882,-0.111786
hotpotqa,0.4,0.632815,0.618484,0.614315,-0.290908
hotpotqa,0.5,0.632815,0.618484,0.611741,-0.470518
hotpotqa,0.6,0.632815,0.618484,0.613263,-0.364315
hotpotqa,0.7,0.632815,0.618484,0.614037,-0.310306
naturalqs,0.3,0.674915,0.655548,0.672291,0.864512
naturalqs,0.4,0.674915,0.655548,0.677628,1.140084
naturalqs,0.5,0.674915,0.655548,0.68269,1.401456
naturalqs,0.6,0.674403,0.653204,0.662881,0.456484
naturalqs,0.7,0.670616,0.653522,0.658179,0.272435
pubmedqa,0.3,0.559148,0.562581,0.568466,-1.714244
pubmedqa,0.4,0.559148,0.562581,0.557595,1.452374
pubmedqa,0.5,0.559148,0.56372,0.560686,0.663605
pubmedqa,0.6,0.559148,0.56372,0.563128,0.129484
pubmedqa,0.7,0.559148,0.56372,0.564482,-0.166667
squad,0.3,0.704895,0.654248,0.695914,0.822675
squad,0.4,0.704895,0.654248,0.679029,0.489289
squad,0.5,0.700294,0.654248,0.669306,0.327021
squad,0.6,0.700294,0.654248,0.659994,0.124788
squad,0.7,0.700294,0.654248,0.65285,-0.030361
triviaqa,0.3,0.672794,0.654134,0.661569,0.398446
triviaqa,0.4,0.672794,0.654134,0.66279,0.46388
triviaqa,0.5,0.672162,0.654134,0.659955,0.322887
triviaqa,0.6,0.672162,0.654134,0.656624,0.138118
triviaqa,0.7,0.672162,0.654134,0.653656,-0.026514
