dataset,chunking_strategy,strategy_type,chunk_size_param,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_chroma_mean_score
squad,dynamic,dynamic,512,3,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,0.7354,False,faithful,3.93,0.6528,0.6748,0.6089,0.0659,3,0.3492
squad,dynamic,dynamic,512,3,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.8891,False,faithful,1.29,0.6629,0.6841,0.6205,0.0636,3,0.3727
squad,dynamic,dynamic,512,3,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9459,False,faithful,3.49,0.6594,0.6659,0.6562,0.0097,3,0.3687
squad,dynamic,dynamic,512,3,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,2.86,0.6974,0.717,0.6584,0.0586,3,0.4127
squad,dynamic,dynamic,512,3,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,faithful,1.93,0.532,0.5813,0.5074,0.0739,3,0.2246
squad,dynamic,dynamic,512,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify an explicit theme for Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it's important to note that the theme could have been broader than just the gold motif. The statement from NFL Commissioner Roger Goodell suggests that the game was intended to be spectacular and important for the league, but it does not provide a specific theme beyond that.",0.5712,False,faithful,7.96,0.5612,0.5807,0.5514,0.0293,3,0.2366
squad,dynamic,dynamic,512,3,What day was the game played on?,"February 7, 2016"," The Super Bowl game was played on February 7, 2016.",0.8472,False,faithful,5.0,0.4467,0.5273,0.2856,0.2417,3,0.0364
squad,dynamic,dynamic,512,3,What is the AFC short for?,American Football Conference, The AFC in the provided context stands for American Football Conference.,0.995,False,faithful,6.05,0.3645,0.3807,0.3564,0.0243,3,0.0
squad,dynamic,dynamic,512,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly state the theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, a more specific theme might have been announced at a later date or in other sources.",0.6332,False,faithful,5.37,0.5612,0.5807,0.5514,0.0293,3,0.2366
squad,dynamic,dynamic,512,3,What does AFC stand for?,American Football Conference," The context does not provide information about what AFC stands for. However, in American football, AFC typically stands for the American Football Conference.",0.6381,False,faithful,3.59,0.33,0.3318,0.329,0.0028,3,0.0
squad,dynamic,dynamic,512,3,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,faithful,5.22,0.6707,0.7006,0.6109,0.0897,3,0.3631
squad,dynamic,dynamic,512,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,5.58,0.6567,0.681,0.6081,0.0729,3,0.3361
squad,dynamic,dynamic,512,3,What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,False,faithful,4.92,0.6649,0.6831,0.6285,0.0546,3,0.3532
squad,dynamic,dynamic,512,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,faithful,6.22,0.6626,0.6635,0.661,0.0025,3,0.3743
squad,dynamic,dynamic,512,3,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,0.5143,False,faithful,7.07,0.6161,0.7265,0.3954,0.331,3,0.3146
squad,dynamic,dynamic,512,3,Super Bowl 50 decided the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined in Super Bowl 50.,0.713,False,faithful,7.12,0.6711,0.6996,0.6141,0.0855,3,0.3596
squad,dynamic,dynamic,512,3,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time. However, it is known that they won Super Bowl 50, which implies that the event occurred in 2016 since Super Bowl 50 was held on February 7, 2016.",0.5976,False,faithful,9.08,0.6685,0.6743,0.6656,0.0088,3,0.3195
squad,dynamic,dynamic,512,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,faithful,6.18,0.6626,0.6635,0.661,0.0025,3,0.3743
squad,dynamic,dynamic,512,3,What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,False,faithful,1.75,0.6708,0.6974,0.6576,0.0398,3,0.3975
squad,dynamic,dynamic,512,3,What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10.,0.7851,False,faithful,2.56,0.6058,0.6261,0.5652,0.0609,3,0.2663
squad,dynamic,dynamic,512,3,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,faithful,2.61,0.6365,0.6393,0.6307,0.0086,3,0.3352
squad,dynamic,dynamic,512,3,What year was Super Bowl 50?,2015," The Super Bowl 50 was played on February 7, 2016.",0.9074,False,faithful,2.69,0.6426,0.6696,0.5885,0.0811,3,0.3495
squad,dynamic,dynamic,512,3,What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,0.6101,False,faithful,6.03,0.574,0.5861,0.5496,0.0366,3,0.1281
squad,dynamic,dynamic,512,3,What team was the NFC champion?,Carolina Panthers, The Panthers were the NFC champion.,0.665,False,faithful,1.92,0.6256,0.6302,0.6164,0.0138,3,0.2374
squad,dynamic,dynamic,512,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,5.38,0.6567,0.681,0.6081,0.0729,3,0.3361
squad,dynamic,dynamic,512,3,Super Bowl 50 determined the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined in Super Bowl 50.,0.713,False,faithful,3.52,0.6675,0.6929,0.6167,0.0762,3,0.3513
squad,dynamic,dynamic,512,3,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,1.36,0.6749,0.7186,0.5875,0.1311,3,0.3739
squad,dynamic,dynamic,512,3,Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9393,False,faithful,3.04,0.6831,0.6858,0.6778,0.0079,3,0.3964
squad,dynamic,dynamic,512,3,The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, as mentioned in the provided context, is not explicitly stated. However, it can be inferred that the game referred to in the context is Super Bowl 50.",0.5601,False,faithful,4.57,0.52,0.5245,0.5111,0.0134,3,0.106
squad,dynamic,dynamic,512,3,What 2015 NFL team one the AFC playoff?,Denver Broncos," The Broncos finished the regular season with a 12–4 record and defeated the New England Patriots in the AFC Championship Game, so they are the team that won the AFC playoffs in 2015.",0.6771,False,faithful,8.78,0.5523,0.5524,0.5523,0.0001,3,0.0792
