question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,temperature,backend,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.6027,False,-1.0,0.36,squad,0.0,groq,llama-3.3-70b
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v1,0.7354,False,0.6602,False,-1.0,0.28,squad,0.0,groq,llama-3.3-70b
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v2,0.7354,False,0.6025,True,0.5463,0.28,squad,0.0,groq,llama-3.3-70b
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The Carolina Panthers represented the NFC at Super Bowl 50.,baseline,0.813,False,0.6001,False,-1.0,0.47,squad,0.0,groq,llama-3.3-70b
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6188,False,-1.0,0.43,squad,0.0,groq,llama-3.3-70b
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The Carolina Panthers represented the NFC at Super Bowl 50.,hcpc_v2,0.813,False,0.5991,True,0.5853,0.24,squad,0.0,groq,llama-3.3-70b
Where did Super Bowl 50 take place?,"Santa Clara, California","The game was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.8044,False,0.6432,False,-1.0,0.36,squad,0.0,groq,llama-3.3-70b
Where did Super Bowl 50 take place?,"Santa Clara, California",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6279,False,-1.0,0.54,squad,0.0,groq,llama-3.3-70b
Where did Super Bowl 50 take place?,"Santa Clara, California","The game was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.8044,False,0.6432,False,0.5722,0.32,squad,0.0,groq,llama-3.3-70b
Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6554,False,-1.0,0.35,squad,0.0,groq,llama-3.3-70b
Which NFL team won Super Bowl 50?,Denver Broncos,The Broncos won Super Bowl 50.,hcpc_v1,0.8937,False,0.6259,False,-1.0,0.3,squad,0.0,groq,llama-3.3-70b
Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6554,False,0.5701,0.2,squad,0.0,groq,llama-3.3-70b
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,baseline,1.0,False,0.5495,False,-1.0,0.28,squad,0.0,groq,llama-3.3-70b
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,hcpc_v1,1.0,False,0.6032,False,-1.0,0.34,squad,0.0,groq,llama-3.3-70b
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,hcpc_v2,1.0,False,0.5495,True,0.43,0.44,squad,0.0,groq,llama-3.3-70b
What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was the ""golden anniversary"", with various gold-themed initiatives.",baseline,0.8186,False,0.558,False,-1.0,0.32,squad,0.0,groq,llama-3.3-70b
What was the theme of Super Bowl 50?,"""golden anniversary""",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5742,False,-1.0,0.24,squad,0.0,groq,llama-3.3-70b
What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was the ""golden anniversary"", with various gold-themed initiatives.",hcpc_v2,0.8186,False,0.558,False,0.4567,0.18,squad,0.0,groq,llama-3.3-70b
What day was the game played on?,"February 7, 2016","The game, Super Bowl 50, was played on February 7, 2016, at Levi's Stadium.",baseline,0.8451,False,0.3746,False,-1.0,0.25,squad,0.0,groq,llama-3.3-70b
What day was the game played on?,"February 7, 2016","The game was played on Sunday, February 7, 2016.",hcpc_v1,0.8833,False,0.4669,False,-1.0,0.63,squad,0.0,groq,llama-3.3-70b
What day was the game played on?,"February 7, 2016","The game, Super Bowl 50, was played on February 7, 2016, at Levi's Stadium.",hcpc_v2,0.8451,False,0.3746,True,0.5722,0.23,squad,0.0,groq,llama-3.3-70b
What is the AFC short for?,American Football Conference,American Football Conference.,baseline,0.4889,True,0.4121,False,-1.0,0.41,squad,0.0,groq,llama-3.3-70b
What is the AFC short for?,American Football Conference,American Football Conference,hcpc_v1,0.4889,True,0.4702,False,-1.0,0.66,squad,0.0,groq,llama-3.3-70b
What is the AFC short for?,American Football Conference,American Football Conference.,hcpc_v2,0.4889,True,0.4121,True,0.4753,0.86,squad,0.0,groq,llama-3.3-70b
What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was the ""golden anniversary"", as it was the 50th Super Bowl, and the league emphasized this with various gold-themed initiatives.",baseline,0.7331,False,0.558,False,-1.0,0.25,squad,0.0,groq,llama-3.3-70b
What was the theme of Super Bowl 50?,"""golden anniversary""",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5742,False,-1.0,0.26,squad,0.0,groq,llama-3.3-70b
What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was the ""golden anniversary"", with various gold-themed initiatives.",hcpc_v2,0.8186,False,0.558,False,0.4567,0.31,squad,0.0,groq,llama-3.3-70b
What does AFC stand for?,American Football Conference,American Football Conference.,baseline,0.4889,True,0.3787,False,-1.0,0.33,squad,0.0,groq,llama-3.3-70b
What does AFC stand for?,American Football Conference,American Football Conference.,hcpc_v1,0.4889,True,0.4448,False,-1.0,0.53,squad,0.0,groq,llama-3.3-70b
What does AFC stand for?,American Football Conference,American Football Conference.,hcpc_v2,0.4889,True,0.3787,True,0.4753,0.35,squad,0.0,groq,llama-3.3-70b
What day was the Super Bowl played on?,"February 7, 2016","The Super Bowl was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California, on a Sunday.",baseline,0.9091,False,0.6413,False,-1.0,2.96,squad,0.0,groq,llama-3.3-70b
What day was the Super Bowl played on?,"February 7, 2016","The game was played on February 7, 2016, which was a Sunday.",hcpc_v1,0.6961,False,0.6329,False,-1.0,2.45,squad,0.0,groq,llama-3.3-70b
What day was the Super Bowl played on?,"February 7, 2016","The Super Bowl was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California, on a Sunday.",hcpc_v2,0.9091,False,0.6413,False,0.5722,2.57,squad,0.0,groq,llama-3.3-70b
Who won Super Bowl 50?,Denver Broncos,"The Denver Broncos won Super Bowl 50, defeating the Carolina Panthers 24-10.",baseline,0.9687,False,0.6268,False,-1.0,2.41,squad,0.0,groq,llama-3.3-70b
Who won Super Bowl 50?,Denver Broncos,The Broncos won Super Bowl 50.,hcpc_v1,0.8937,False,0.5921,False,-1.0,2.38,squad,0.0,groq,llama-3.3-70b
Who won Super Bowl 50?,Denver Broncos,"The Denver Broncos won Super Bowl 50, defeating the Carolina Panthers 24-10.",hcpc_v2,0.9687,False,0.6246,True,0.5701,2.4,squad,0.0,groq,llama-3.3-70b
What venue did Super Bowl 50 take place in?,Levi's Stadium,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.6918,False,0.6489,False,-1.0,3.2,squad,0.0,groq,llama-3.3-70b
What venue did Super Bowl 50 take place in?,Levi's Stadium,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6224,False,-1.0,2.51,squad,0.0,groq,llama-3.3-70b
What venue did Super Bowl 50 take place in?,Levi's Stadium,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.6918,False,0.653,True,0.6083,2.44,squad,0.0,groq,llama-3.3-70b
What city did Super Bowl 50 take place in?,Santa Clara,"The game was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. However, it does not explicitly state that the city where the game took place is Santa Clara, but rather that it is in the San Francisco Bay Area at Santa Clara.",baseline,0.7321,False,0.6392,False,-1.0,2.72,squad,0.0,groq,llama-3.3-70b
What city did Super Bowl 50 take place in?,Santa Clara,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6284,False,-1.0,2.51,squad,0.0,groq,llama-3.3-70b
What city did Super Bowl 50 take place in?,Santa Clara,"The game was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. However, it does not explicitly state that the city where the game took place is Santa Clara, but rather that it is in the San Francisco Bay Area at Santa Clara.",hcpc_v2,0.7321,False,0.6431,True,0.6083,2.56,squad,0.0,groq,llama-3.3-70b
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,"If Roman numerals were used, Super Bowl 50 would have been called Super Bowl L.",baseline,0.502,False,0.5327,False,-1.0,2.48,squad,0.0,groq,llama-3.3-70b
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,Super Bowl L.,hcpc_v1,0.4909,True,0.6741,False,-1.0,2.63,squad,0.0,groq,llama-3.3-70b
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,"If Roman numerals were used, Super Bowl 50 would have been called Super Bowl L.",hcpc_v2,0.502,False,0.5327,True,0.5184,2.52,squad,0.0,groq,llama-3.3-70b
Super Bowl 50 decided the NFL champion for what season?,2015,Super Bowl 50 was to determine the champion of the National Football League (NFL) for the 2015 season.,baseline,0.5023,False,0.6341,False,-1.0,2.59,squad,0.0,groq,llama-3.3-70b
Super Bowl 50 decided the NFL champion for what season?,2015,Super Bowl 50 decided the NFL champion for the 2015 season.,hcpc_v1,0.7112,False,0.6279,False,-1.0,0.17,squad,0.0,groq,llama-3.3-70b
Super Bowl 50 decided the NFL champion for what season?,2015,Super Bowl 50 was to determine the champion of the National Football League (NFL) for the 2015 season.,hcpc_v2,0.5023,False,0.6341,False,0.4842,2.64,squad,0.0,groq,llama-3.3-70b
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,I cannot find this information in the provided context.,baseline,0.5531,False,0.6795,False,-1.0,2.43,squad,0.0,groq,llama-3.3-70b
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6972,False,-1.0,0.37,squad,0.0,groq,llama-3.3-70b
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.6795,False,0.6115,2.35,squad,0.0,groq,llama-3.3-70b
What city did Super Bowl 50 take place in?,Santa Clara,"The game was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. However, the context does not explicitly state that the city where the game took place is Santa Clara, it only mentions the location as being ""in the San Francisco Bay Area at Santa Clara, California"".",baseline,0.6433,False,0.6392,False,-1.0,2.91,squad,0.0,groq,llama-3.3-70b
What city did Super Bowl 50 take place in?,Santa Clara,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6284,False,-1.0,2.45,squad,0.0,groq,llama-3.3-70b
What city did Super Bowl 50 take place in?,Santa Clara,"The game was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. However, it does not explicitly state that the city where the game took place is Santa Clara, but rather that it is in the San Francisco Bay Area at Santa Clara.",hcpc_v2,0.7321,False,0.6431,True,0.6083,2.5,squad,0.0,groq,llama-3.3-70b
What stadium did Super Bowl 50 take place in?,Levi's Stadium,"The game was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.8044,False,0.6693,False,-1.0,3.74,squad,0.0,groq,llama-3.3-70b
What stadium did Super Bowl 50 take place in?,Levi's Stadium,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6331,False,-1.0,2.54,squad,0.0,groq,llama-3.3-70b
What stadium did Super Bowl 50 take place in?,Levi's Stadium,"The game was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.8044,False,0.6693,False,0.6083,2.92,squad,0.0,groq,llama-3.3-70b
What was the final score of Super Bowl 50? ,24–10,"The final score of Super Bowl 50 was 24-10, with the Denver Broncos defeating the Carolina Panthers.",baseline,0.9185,False,0.584,False,-1.0,2.53,squad,0.0,groq,llama-3.3-70b
What was the final score of Super Bowl 50? ,24–10,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.562,False,-1.0,2.42,squad,0.0,groq,llama-3.3-70b
What was the final score of Super Bowl 50? ,24–10,"The final score of Super Bowl 50 was 24-10, with the Denver Broncos defeating the Carolina Panthers.",hcpc_v2,0.9185,False,0.584,True,0.5147,2.43,squad,0.0,groq,llama-3.3-70b
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","The game was played on February 7, 2016.",baseline,0.8967,False,0.625,False,-1.0,3.59,squad,0.0,groq,llama-3.3-70b
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6258,False,-1.0,0.22,squad,0.0,groq,llama-3.3-70b
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","February 7, 2016.",hcpc_v2,0.6229,False,0.625,True,0.5722,2.51,squad,0.0,groq,llama-3.3-70b
What year was Super Bowl 50?,2015,"The game was played on February 7, 2016.",baseline,0.8967,False,0.6133,False,-1.0,2.75,squad,0.0,groq,llama-3.3-70b
