question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,model
when did the lion king start on broadway,"November 13, 1997"," I cannot find this information in the provided context. The context only mentions the opening of ""The Lion King"" musical in the West End's Lyceum Theatre, but it does not specify when it started on Broadway.",baseline,0.7198,False,0.6591,False,-1.0,naturalqs,mistral
when did the lion king start on broadway,"November 13, 1997"," I cannot find the exact date when ""The Lion King"" started on Broadway in the provided context.",hcpc_v1,0.5363,False,0.634,False,-1.0,naturalqs,mistral
when did the lion king start on broadway,"November 13, 1997"," I cannot find this information in the provided context. The context only mentions the opening of ""The Lion King"" musical in the West End's Lyceum Theatre, not on Broadway.",hcpc_v2,0.7114,False,0.6591,False,0.5696,naturalqs,mistral
what was the key factor that allowed hershey and chase,The results of the Avery–MacLeod–McCarty experiment," The key factor that allowed Hershey and Chase to confirm that DNA is genetic material was their experiments showing that when bacteriophages infect bacteria, their DNA enters the host bacterial cell, but most of their protein does not.",baseline,0.3751,True,0.5171,False,-1.0,naturalqs,mistral
what was the key factor that allowed hershey and chase,The results of the Avery–MacLeod–McCarty experiment," The key factor that allowed Alfred Hershey and Martha Chase to conclude their findings was conducting a series of experiments in 1952, as stated in the provided context. However, the specific experiment details are not mentioned in the given context. For more detailed information about the experiments, you may want to refer to the ""DNA and DNA § History of DNA research"" section mentioned in the context.",hcpc_v1,0.6005,False,0.5909,False,-1.0,naturalqs,mistral
what was the key factor that allowed hershey and chase,The results of the Avery–MacLeod–McCarty experiment," The key factor that allowed Hershey and Chase to confirm that DNA is genetic material was their experiments showing that when bacteriophages infect bacteria, their DNA enters the host bacterial cell, but most of their protein does not.",hcpc_v2,0.3751,True,0.5171,True,0.6662,naturalqs,mistral
what observation led to the theory of seafloor spreading,"magnetic stripe ""anomalies"" on the ocean floor"," The observation that led to the theory of seafloor spreading was the discovery that the seafloor itself moves, and this idea was proposed by Harry Hess from Princeton University in the 1960s. This observation helped explain continental drift in the theory of plate tectonics.",baseline,0.7022,False,0.7624,False,-1.0,naturalqs,mistral
what observation led to the theory of seafloor spreading,"magnetic stripe ""anomalies"" on the ocean floor", I cannot find information in the provided context about what observation led to the theory of seafloor spreading.,hcpc_v1,0.4708,True,0.8042,False,-1.0,naturalqs,mistral
what observation led to the theory of seafloor spreading,"magnetic stripe ""anomalies"" on the ocean floor"," The observation that led to the theory of seafloor spreading was the discovery that the seafloor itself moves, and this idea was proposed by Harry Hess from Princeton University in the 1960s. This movement of the seafloor was observed through the expansion of the oceanic crust from a central axis along mid-ocean ridges.",hcpc_v2,0.7071,False,0.7624,False,0.8245,naturalqs,mistral
when was coffee first made into a drink,the 15th century," The earliest substantiated evidence of coffee being made into a drink is from the 15th century, in Yemen's Sufi monasteries.",baseline,0.5291,False,0.6405,False,-1.0,naturalqs,mistral
when was coffee first made into a drink,the 15th century, The earliest substantiated evidence of coffee being made into a drink was in the 15th century.,hcpc_v1,0.6424,False,0.6707,False,-1.0,naturalqs,mistral
when was coffee first made into a drink,the 15th century," The earliest substantiated evidence of coffee being made into a drink is from the 15th century, in Yemen's Sufi monasteries.",hcpc_v2,0.5291,False,0.6405,False,0.7522,naturalqs,mistral
what is the term for circular movement around a central point,Coriolis effect," The context does not provide information about the term for circular movement around a central point. However, it mentions the centrifugal force which acts outwards in the radial direction and is related to circular motion in a rotating frame of reference.",baseline,0.5474,False,0.5274,False,-1.0,naturalqs,mistral
