question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.6027,False,-1.0,0.29,squad,llama-3.3-70b
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v1,0.7354,False,0.6602,False,-1.0,0.35,squad,llama-3.3-70b
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v2,0.7354,False,0.6025,True,0.5463,0.35,squad,llama-3.3-70b
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The Carolina Panthers represented the NFC at Super Bowl 50.,baseline,0.813,False,0.6001,False,-1.0,0.98,squad,llama-3.3-70b
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6188,False,-1.0,0.16,squad,llama-3.3-70b
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The Carolina Panthers represented the NFC at Super Bowl 50.,hcpc_v2,0.813,False,0.5991,True,0.5853,0.71,squad,llama-3.3-70b
Where did Super Bowl 50 take place?,"Santa Clara, California","The game was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.8044,False,0.6432,False,-1.0,0.38,squad,llama-3.3-70b
Where did Super Bowl 50 take place?,"Santa Clara, California",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6279,False,-1.0,0.26,squad,llama-3.3-70b
Where did Super Bowl 50 take place?,"Santa Clara, California","The game was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.8044,False,0.6432,False,0.5722,0.4,squad,llama-3.3-70b
Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6554,False,-1.0,0.39,squad,llama-3.3-70b
Which NFL team won Super Bowl 50?,Denver Broncos,The Broncos won Super Bowl 50.,hcpc_v1,0.8937,False,0.6259,False,-1.0,0.28,squad,llama-3.3-70b
Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6554,False,0.5701,0.77,squad,llama-3.3-70b
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,baseline,1.0,False,0.5495,False,-1.0,0.57,squad,llama-3.3-70b
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,hcpc_v1,1.0,False,0.6032,False,-1.0,0.26,squad,llama-3.3-70b
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,hcpc_v2,1.0,False,0.5495,True,0.43,0.36,squad,llama-3.3-70b
What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was the ""golden anniversary"", with various gold-themed initiatives.",baseline,0.8186,False,0.558,False,-1.0,0.48,squad,llama-3.3-70b
What was the theme of Super Bowl 50?,"""golden anniversary""",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5742,False,-1.0,0.17,squad,llama-3.3-70b
What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was the ""golden anniversary"", with various gold-themed initiatives.",hcpc_v2,0.8186,False,0.558,False,0.4567,0.49,squad,llama-3.3-70b
What day was the game played on?,"February 7, 2016","The game, Super Bowl 50, was played on February 7, 2016, at Levi's Stadium.",baseline,0.8451,False,0.3746,False,-1.0,0.25,squad,llama-3.3-70b
What day was the game played on?,"February 7, 2016","The game was played on Sunday, February 7, 2016.",hcpc_v1,0.8833,False,0.4669,False,-1.0,0.38,squad,llama-3.3-70b
What day was the game played on?,"February 7, 2016","The game, Super Bowl 50, was played on February 7, 2016, at Levi's Stadium.",hcpc_v2,0.8451,False,0.3746,True,0.5722,0.19,squad,llama-3.3-70b
What is the AFC short for?,American Football Conference,American Football Conference.,baseline,0.4889,True,0.4121,False,-1.0,0.34,squad,llama-3.3-70b
What is the AFC short for?,American Football Conference,American Football Conference,hcpc_v1,0.4889,True,0.4702,False,-1.0,0.16,squad,llama-3.3-70b
What is the AFC short for?,American Football Conference,American Football Conference.,hcpc_v2,0.4889,True,0.4121,True,0.4753,0.36,squad,llama-3.3-70b
What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was the ""golden anniversary"", with various gold-themed initiatives.",baseline,0.8186,False,0.558,False,-1.0,0.14,squad,llama-3.3-70b
What was the theme of Super Bowl 50?,"""golden anniversary""",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5742,False,-1.0,0.26,squad,llama-3.3-70b
