dataset,chunking_strategy,strategy_type,chunk_size_param,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_chroma_mean_score
squad,fixed_1024,fixed,1024,3,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,0.7354,False,faithful,3.17,0.6528,0.6748,0.6089,0.0659,3,0.3492
squad,fixed_1024,fixed,1024,3,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.8891,False,faithful,1.24,0.6629,0.6841,0.6205,0.0636,3,0.3727
squad,fixed_1024,fixed,1024,3,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9459,False,faithful,2.88,0.6594,0.6659,0.6562,0.0097,3,0.3687
squad,fixed_1024,fixed,1024,3,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,2.66,0.6974,0.717,0.6584,0.0586,3,0.4127
squad,fixed_1024,fixed,1024,3,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,faithful,1.98,0.532,0.5813,0.5074,0.0739,3,0.2246
squad,fixed_1024,fixed,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly mention the theme of Super Bowl 50, but it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. So, one could infer that the theme might have been related to the golden anniversary or commemoration of the 50th Super Bowl. However, without additional context or specific confirmation, this is just an inference.",0.6887,False,faithful,6.19,0.5612,0.5807,0.5514,0.0293,3,0.2366
squad,fixed_1024,fixed,1024,3,What day was the game played on?,"February 7, 2016"," The Super Bowl game was played on February 7, 2016.",0.8472,False,faithful,4.46,0.4467,0.5273,0.2856,0.2417,3,0.0364
squad,fixed_1024,fixed,1024,3,What is the AFC short for?,American Football Conference," The provided context does not specify what AFC stands for. However, in the context of American football, AFC typically stands for ""American Football Conference.""",0.7307,False,faithful,5.2,0.4516,0.4992,0.3564,0.1428,3,0.0
squad,fixed_1024,fixed,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly state the theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, a theme beyond this gold-centric focus is not specified in the given context.",0.5653,False,faithful,9.55,0.5612,0.5807,0.5514,0.0293,3,0.2366
squad,fixed_1024,fixed,1024,3,What does AFC stand for?,American Football Conference," The context does not provide information about what AFC stands for. However, in American football, AFC typically stands for ""American Football Conference.""",0.6053,False,faithful,5.86,0.4266,0.4753,0.329,0.1463,3,0.0
squad,fixed_1024,fixed,1024,3,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,faithful,4.7,0.6707,0.7006,0.6109,0.0897,3,0.3631
squad,fixed_1024,fixed,1024,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,5.13,0.6567,0.681,0.6081,0.0729,3,0.3361
squad,fixed_1024,fixed,1024,3,What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,False,faithful,5.52,0.6649,0.6831,0.6285,0.0546,3,0.3532
squad,fixed_1024,fixed,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,faithful,7.02,0.6626,0.6635,0.661,0.0025,3,0.3743
squad,fixed_1024,fixed,1024,3,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals were used.,0.5328,False,faithful,6.06,0.6161,0.7265,0.3954,0.331,3,0.3146
squad,fixed_1024,fixed,1024,3,Super Bowl 50 decided the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined in Super Bowl 50.,0.713,False,faithful,6.14,0.6711,0.6996,0.6141,0.0855,3,0.3596
squad,fixed_1024,fixed,1024,3,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find the exact year of the Super Bowl that the Denver Broncos won in the provided context. However, it is known that they won Super Bowl 50, which was held on February 7, 2016.",0.728,False,faithful,4.94,0.6876,0.6986,0.6656,0.033,3,0.3751
squad,fixed_1024,fixed,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,faithful,5.52,0.6626,0.6635,0.661,0.0025,3,0.3743
