model,dataset,chunk_size,top_k,prompt_strategy,question,answer,ground_truth,faithfulness_score,is_hallucination,nli_label,latency_s
mistral,squad,1024,5,strict,Which NFL team represented the AFC at Super Bowl 50?, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,Denver Broncos,0.8579,False,faithful,5.51
mistral,squad,1024,5,strict,Which NFL team represented the NFC at Super Bowl 50?, The Carolina Panthers represented the NFC at Super Bowl 50.,Carolina Panthers,0.813,False,faithful,2.73
mistral,squad,1024,5,strict,Where did Super Bowl 50 take place?," The provided context states that Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.","Santa Clara, California",0.9928,False,faithful,3.46
mistral,squad,1024,5,strict,Which NFL team won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,3.42
mistral,squad,1024,5,strict,What color was used to emphasize the 50th anniversary of the Super Bowl?, Gold was used to emphasize the 50th anniversary of the Super Bowl.,gold,0.6905,False,faithful,4.25
mistral,squad,1024,5,strict,What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it is mentioned that the league emphasized the ""golden anniversary"" with various gold-themed initiatives for the game. So, one could infer that the theme might have been related to gold or golden anniversary.","""golden anniversary""",0.7365,False,faithful,4.97
mistral,squad,1024,5,strict,What day was the game played on?," The game was played on February 7, 2016.","February 7, 2016",0.8967,False,faithful,5.12
mistral,squad,1024,5,strict,What is the AFC short for?," The context does not provide information about what AFC stands for. However, it refers to the American Football Conference (AFC) multiple times throughout the text.",American Football Conference,0.67,False,faithful,4.86
mistral,squad,1024,5,strict,What was the theme of Super Bowl 50?," The context does not provide information about the specific theme for Super Bowl 50 other than that the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50. However, it does not explicitly state that this was the official theme for the event.","""golden anniversary""",0.4535,True,hallucinated,8.34
mistral,squad,1024,5,strict,What does AFC stand for?," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",American Football Conference,0.697,False,faithful,6.3
mistral,squad,1024,5,strict,What day was the Super Bowl played on?," The Super Bowl was played on February 7, 2016.","February 7, 2016",0.8567,False,faithful,5.65
mistral,squad,1024,5,strict,Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,4.93
mistral,squad,1024,5,strict,What venue did Super Bowl 50 take place in?, The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area.,Levi's Stadium,0.8931,False,faithful,5.01
mistral,squad,1024,5,strict,What city did Super Bowl 50 take place in?," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",Santa Clara,0.9421,False,faithful,5.82
mistral,squad,1024,5,strict,"If Roman numerals were used, what would Super Bowl 50 have been called?"," Super Bowl 50 would have been called ""Super Bowl L"" if Roman numerals had been used.",Super Bowl L,0.5494,False,faithful,6.08
mistral,squad,1024,5,strict,Super Bowl 50 decided the NFL champion for what season?, The Super Bowl 50 decided the NFL champion for the 2015 season.,2015,0.6644,False,faithful,5.85
mistral,squad,1024,5,strict,What year did the Denver Broncos secure a Super Bowl title for the third time?, The Denver Broncos secured a Super Bowl title for the third time in the year 2016.,2015,0.7505,False,faithful,6.38
mistral,squad,1024,5,strict,What city did Super Bowl 50 take place in?," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",Santa Clara,0.9421,False,faithful,6.39
mistral,squad,1024,5,strict,What stadium did Super Bowl 50 take place in?, The Super Bowl 50 took place at Levi's Stadium.,Levi's Stadium,0.8198,False,faithful,2.27
mistral,squad,1024,5,strict,What was the final score of Super Bowl 50? ," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",24–10,0.8695,False,faithful,6.16
mistral,squad,1024,5,strict,"What month, day and year did Super Bowl 50 take place? "," The Super Bowl 50 took place on February 7, 2016.","February 7, 2016",0.945,False,faithful,4.73
mistral,squad,1024,5,strict,What year was Super Bowl 50?," The provided context states that Super Bowl 50 was played on February 7, 2016.",2015,0.9731,False,faithful,4.3
mistral,squad,1024,5,strict,What team was the AFC champion?, The AFC champion was the Denver Broncos.,Denver Broncos,0.7995,False,faithful,5.48
mistral,squad,1024,5,strict,What team was the NFC champion?, The NFC champion was the Carolina Panthers.,Carolina Panthers,0.806,False,faithful,7.18
mistral,squad,1024,5,strict,Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,6.6
mistral,squad,1024,5,strict,Super Bowl 50 determined the NFL champion for what season?, The NFL champion for the 2015 season was determined in Super Bowl 50.,2015,0.7168,False,faithful,4.28
