condition,question,ground_truth,answer,faithfulness_score,is_hallucination,retrieval_latency_ms,generation_latency_ms,total_latency_ms,indexing_cost_note,dataset,model,base_index_s,raptor_index_s
hcpc_v2,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla," The provided context does not specify the type or location of the radar station that Vice-Admiral Iqbal Fazl Quadir attacked during the second war with India. However, it mentions his participation in an attack on a radar station located on the western shore of the Okhamandal Peninsula, which is in India. The Dwarka radar station mentioned in the context is not located on the western shore of the Okhamandal Peninsula but rather on the western coast of India. Therefore, it's likely that Vice-Admiral Iqbal Fazl Quadir attacked a different radar station during the second war with India.",0.8256,False,61.304,5982.641,6043.946,,hotpotqa,mistral,7.967,134.013
crag,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla," Iqbal Fazl Quadir was part of a flotilla during the second war with India when he participated in an attack on a radar station, but the context does not specify where exactly this radar station was located. However, it mentions that the radar station attacked was in Dwarka, which is on the western shore of the Okhamandal Peninsula in India. So, during the attack, Iqbal Fazl Quadir would have been at sea.",0.7146,False,30.254,4218.461,4248.714,,hotpotqa,mistral,7.967,134.013
raptor_2l,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla," The provided context does not specify what Vice-Admiral Iqbal Fazl Quadir was on during his participation in the attack on a radar station. However, it is mentioned that he was part of a flotilla that attacked the radar station in Dwarka, which is located on the western shore of the Okhamandal Peninsula in India.",0.6219,False,12.476,3976.925,3989.401,,hotpotqa,mistral,7.967,134.013
hcpc_v2,When did the park at which Tivolis Koncertsal is located open?,15 August 1843," The park at which Tivolis Koncertsal is located opened on August 15, 1843.",0.4984,True,31.155,1338.716,1369.87,,hotpotqa,mistral,7.967,134.013
crag,When did the park at which Tivolis Koncertsal is located open?,15 August 1843," The park at which Tivolis Koncertsal is located opened on August 15, 1843.",0.4984,True,42.426,1311.074,1353.5,,hotpotqa,mistral,7.967,134.013
raptor_2l,When did the park at which Tivolis Koncertsal is located open?,15 August 1843, The park at which Tivolis Koncertsal is located opened on 15 August 1843.,0.4842,True,11.186,1621.919,1633.105,,hotpotqa,mistral,7.967,134.013
hcpc_v2,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian," The provided context does not specify a shared country of ancestry between Art Laboe and Scout Tufankjian, as it only mentions they are both of Armenian descent. However, it is known that they are both of Armenian origin.",0.7654,False,52.94,2407.364,2460.304,,hotpotqa,mistral,7.967,134.013
crag,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian, Armenia,1.0,False,36.687,293.843,330.53,,hotpotqa,mistral,7.967,134.013
raptor_2l,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian," Both Art Laboe and Scout Tufankjian are Armenian-American, as stated in the provided context.",0.9068,False,10.471,1741.351,1751.822,,hotpotqa,mistral,7.967,134.013
hcpc_v2,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence," I cannot find information about the designation of the school in the provided context where the Wilmslow Show is held. The context only mentions that it's Wilmslow High School, but does not specify any designations.",0.6697,False,53.495,2319.272,2372.768,,hotpotqa,mistral,7.967,134.013
