question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,gate_fired,latency_s,dataset,k,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.6418,False,-1.0,False,6.09,squad,2,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v1,0.8579,False,0.6557,False,-1.0,False,1.78,squad,2,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,ccs_gate,0.7354,False,0.6418,False,0.6325,False,2.92,squad,2,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v2,0.7354,False,0.6418,False,0.6325,False,0.82,squad,2,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Carolina Panthers represented the NFC at Super Bowl 50.,baseline,0.813,False,0.6523,False,-1.0,False,0.98,squad,2,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," I cannot find this information in the provided context. The context only mentions that Denver Broncos joined a group of four teams with eight Super Bowl appearances, but it does not specify which Super Bowl they were in or which conference they represented.",hcpc_v1,0.5631,False,0.6391,False,-1.0,False,2.99,squad,2,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Carolina Panthers represented the NFC at Super Bowl 50.,ccs_gate,0.813,False,0.6523,False,0.6325,False,2.78,squad,2,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Carolina Panthers represented the NFC at Super Bowl 50.,hcpc_v2,0.813,False,0.6523,False,0.6325,False,0.84,squad,2,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, which is located in the San Francisco Bay Area, California.",baseline,0.955,False,0.661,False,-1.0,False,2.28,squad,2,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context does not specify the exact location where Super Bowl 50 took place. However, it mentions that it was held in the San Francisco Bay Area, and it was the first Super Bowl in California since 2003.",hcpc_v1,0.6777,False,0.6353,False,-1.0,False,3.39,squad,2,mistral
