question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,reranker
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.6027,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v1,0.8579,False,0.6602,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v2,0.7354,False,0.6027,False,0.5463,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,baseline,0.8891,False,0.6001,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," I cannot find this information in the provided context. The context only mentions that the team that played against the Denver Broncos in Super Bowl 50 was one of four teams to have made eight appearances in the Super Bowl and that both coaches were previously coached by John Fox, but it does not specify which conference they represented.",hcpc_v1,0.474,True,0.6188,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v2,0.8891,False,0.5991,True,0.5853,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9533,False,0.6432,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context does not specify the exact location where Super Bowl 50 took place. However, it is mentioned that it was held in the San Francisco Bay Area, and no other location is given.",hcpc_v1,0.6674,False,0.6279,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9533,False,0.6432,False,0.5722,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6554,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
Which NFL team won Super Bowl 50?,Denver Broncos," The Broncos, as they took an early lead in Super Bowl 50 and never trailed.",hcpc_v1,0.254,True,0.6259,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6554,False,0.5701,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,baseline,1.0,False,0.5495,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v1,1.0,False,0.6032,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v2,1.0,False,0.5495,True,0.43,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50 other than the ""golden anniversary"" emphasis, but it doesn't refer to a thematic concept for the actual game or event.",baseline,0.9757,False,0.558,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention any specific theme for Super Bowl 50.,hcpc_v1,0.7504,False,0.5742,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50 other than the ""golden anniversary"" emphasis, but it doesn't refer to a thematic concept for the actual game or event.",hcpc_v2,0.9757,False,0.558,False,0.4567,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",baseline,0.8967,False,0.3746,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-12-v2
