model,dataset,chunk_size,top_k,prompt_strategy,question,answer,ground_truth,faithfulness_score,is_hallucination,nli_label,latency_s
llama3,squad,512,5,strict,Which NFL team represented the AFC at Super Bowl 50?,The Denver Broncos.,Denver Broncos,0.6985,False,faithful,5.02
llama3,squad,512,5,strict,Which NFL team represented the NFC at Super Bowl 50?,The Carolina Panthers.,Carolina Panthers,0.6996,False,faithful,0.51
llama3,squad,512,5,strict,Where did Super Bowl 50 take place?,"According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California",0.986,False,faithful,3.52
llama3,squad,512,5,strict,Which NFL team won Super Bowl 50?,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,2.53
llama3,squad,512,5,strict,What color was used to emphasize the 50th anniversary of the Super Bowl?,"Gold. According to the context, the NFL emphasized the ""golden anniversary"" with various gold-themed initiatives.",gold,0.7543,False,faithful,2.78
llama3,squad,512,5,strict,What was the theme of Super Bowl 50?,"The theme of Super Bowl 50 was emphasized as the ""golden anniversary"" with various gold-themed initiatives.","""golden anniversary""",0.8111,False,faithful,2.67
llama3,squad,512,5,strict,What day was the game played on?,I cannot find this information in the provided context.,"February 7, 2016",0.5531,False,faithful,2.9
llama3,squad,512,5,strict,What is the AFC short for?,The American Football Conference (AFC) champion Denver Broncos... The answer is: The AFC is short for American Football Conference.,American Football Conference,0.8611,False,faithful,3.15
llama3,squad,512,5,strict,What was the theme of Super Bowl 50?,"The theme of Super Bowl 50 was emphasized as ""golden anniversary"" with various gold-themed initiatives.","""golden anniversary""",0.8574,False,faithful,2.93
llama3,squad,512,5,strict,What does AFC stand for?,The answer is: American Football Conference.,American Football Conference,0.754,False,faithful,2.38
llama3,squad,512,5,strict,What day was the Super Bowl played on?,"According to the provided context, the answer is:

February 7, 2016","February 7, 2016",0.8314,False,faithful,3.1
llama3,squad,512,5,strict,Who won Super Bowl 50?,The Denver Broncos defeated the Carolina Panthers 24-10.,Denver Broncos,0.918,False,faithful,2.72
llama3,squad,512,5,strict,What venue did Super Bowl 50 take place in?,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",Levi's Stadium,0.6918,False,faithful,3.06
llama3,squad,512,5,strict,What city did Super Bowl 50 take place in?,"According to the provided context, Super Bowl 50 took place in Santa Clara, California at Levi's Stadium.",Santa Clara,0.9496,False,faithful,3.18
llama3,squad,512,5,strict,"If Roman numerals were used, what would Super Bowl 50 have been called?","According to the context, if Roman numerals were used, Super Bowl 50 would have been called ""Super Bowl L"".",Super Bowl L,0.5988,False,faithful,3.19
llama3,squad,512,5,strict,Super Bowl 50 decided the NFL champion for what season?,The answer is: the 2015 season.,2015,0.7723,False,faithful,2.67
llama3,squad,512,5,strict,What year did the Denver Broncos secure a Super Bowl title for the third time?,"I cannot find this information in the provided context. The context only mentions that the Broncos won Super Bowl 50, but it does not specify whether it was their first, second, or third Super Bowl title.",2015,0.5546,False,faithful,4.28
llama3,squad,512,5,strict,What city did Super Bowl 50 take place in?,"According to the provided context, Super Bowl 50 took place in Santa Clara, California at Levi's Stadium.",Santa Clara,0.9496,False,faithful,3.21
llama3,squad,512,5,strict,What stadium did Super Bowl 50 take place in?,Levi's Stadium.,Levi's Stadium,0.5799,False,faithful,2.59
llama3,squad,512,5,strict,What was the final score of Super Bowl 50? ,The Broncos defeated the Carolina Panthers with a final score of 24-10.,24–10,0.9339,False,faithful,3.12
llama3,squad,512,5,strict,"What month, day and year did Super Bowl 50 take place? ","According to the provided context, Super Bowl 50 took place on February 7, 2016.","February 7, 2016",0.867,False,faithful,2.56
llama3,squad,512,5,strict,What year was Super Bowl 50?,"According to the provided context, Super Bowl 50 took place in the year 2016.",2015,0.7237,False,faithful,2.22
llama3,squad,512,5,strict,What team was the AFC champion?,The Denver Broncos were the AFC champion.,Denver Broncos,0.6101,False,faithful,2.77
llama3,squad,512,5,strict,What team was the NFC champion?,The Carolina Panthers were the NFC champions.,Carolina Panthers,0.7408,False,faithful,2.61
llama3,squad,512,5,strict,Who won Super Bowl 50?,The Denver Broncos defeated the Carolina Panthers 24-10.,Denver Broncos,0.918,False,faithful,2.81
llama3,squad,512,5,strict,Super Bowl 50 determined the NFL champion for what season?,The answer is: the 2015 season.,2015,0.7723,False,faithful,2.43
llama3,squad,512,5,strict,Which team won Super Bowl 50.,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,2.36
llama3,squad,512,5,strict,Where was Super Bowl 50 held?,"According to the provided context, Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California.",0.9858,False,faithful,3.24
