dataset,condition,chunk_size,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_hcpc_n_weak,ret_hcpc_n_refined,hcpc_n_strong,hcpc_n_weak,hcpc_n_refined,hcpc_mean_ce_improvement,hcpc_mean_sim_improvement
squad,hcpc,1024,3,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,0.8579,False,faithful,1.76,0.6602,0.6745,0.6368,0.0377,3,3,3,0,3,3,0.2903,0.4098
squad,hcpc,1024,3,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," I cannot find this information in the provided context. The context only mentions that the team that played against the Denver Broncos in Super Bowl 50 was one of four teams to have made eight appearances in the Super Bowl and that they were coached by John Fox in their last Super Bowl appearance prior to Super Bowl 50, but it does not specify which conference they represented.",0.4548,True,hallucinated,4.7,0.6188,0.6555,0.5783,0.0772,3,3,3,0,3,3,0.1253,0.3612
squad,hcpc,1024,3,Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context does not specify the exact location where Super Bowl 50 took place. However, it is mentioned that it was held in the San Francisco Bay Area, and no other location is given.",0.6674,False,faithful,3.3,0.6279,0.682,0.5887,0.0933,3,3,3,0,3,3,-2.4985,0.3167
squad,hcpc,1024,3,Which NFL team won Super Bowl 50?,Denver Broncos, The Broncos,0.7276,False,faithful,1.41,0.6259,0.6716,0.5489,0.1227,3,3,3,0,3,3,-0.5657,0.3001
squad,hcpc,1024,3,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,faithful,1.28,0.6032,0.6888,0.5598,0.129,3,3,3,0,3,3,0.0742,0.4212
squad,hcpc,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention any specific theme for Super Bowl 50.,0.7504,False,faithful,2.11,0.5742,0.6354,0.5065,0.1288,3,3,3,0,3,3,-2.5554,0.4009
squad,hcpc,1024,3,What day was the game played on?,"February 7, 2016"," February 7, 2016",0.6229,False,faithful,1.81,0.4669,0.5556,0.3105,0.2451,3,3,3,0,3,3,1.7831,0.4487
squad,hcpc,1024,3,What is the AFC short for?,American Football Conference, The AFC in the provided context stands for the American Football Conference.,0.9967,False,faithful,1.94,0.4702,0.4992,0.4282,0.071,3,3,3,0,3,3,0.9369,0.4701
squad,hcpc,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention any specific theme for Super Bowl 50.,0.7504,False,faithful,2.24,0.5742,0.6354,0.5065,0.1288,3,3,3,0,3,3,-2.5554,0.4009
squad,hcpc,1024,3,What does AFC stand for?,American Football Conference," The context does not explicitly state what AFC stands for. However, in the context of American football, AFC typically stands for ""American Football Conference.""",0.7339,False,faithful,2.86,0.4448,0.4775,0.3817,0.0958,3,3,3,0,3,3,1.4923,0.4448
squad,hcpc,1024,3,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,faithful,2.23,0.6329,0.7261,0.5624,0.1637,3,3,3,0,3,3,-1.7932,0.3286
