question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,sub_chunk,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.6027,False,-1.0,squad,128,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos," The NFL team that represented the AFC at Super Bowl 50 is not explicitly stated in the provided context. However, since we know that they defeated the New England Patriots (the AFC champion from Super Bowl XLIX) in the AFC Championship Game, it can be inferred that the team that won the AFC Championship Game in 2016 represented the AFC at Super Bowl 50. Without additional context, I cannot definitively name this team.",hcpc_v1,0.5603,False,0.647,False,-1.0,squad,128,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v2,0.8579,False,0.6013,True,0.5223,squad,128,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,baseline,0.8891,False,0.6001,False,-1.0,squad,128,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v1,0.8891,False,0.625,False,-1.0,squad,128,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v2,0.8891,False,0.6019,True,0.5917,squad,128,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9533,False,0.6432,False,-1.0,squad,128,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," I cannot find this information in the provided context. The context only mentions that the Arabic numerals 50 would be prominently featured, but it does not specify where Super Bowl 50 took place.",hcpc_v1,0.5541,False,0.5988,False,-1.0,squad,128,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9533,False,0.6432,False,0.5722,squad,128,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6554,False,-1.0,squad,128,mistral
Which NFL team won Super Bowl 50?,Denver Broncos," The NFL team that won Super Bowl 50, according to the provided context, is the Denver Broncos.",hcpc_v1,0.9477,False,0.6611,False,-1.0,squad,128,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6554,False,0.5701,squad,128,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,baseline,1.0,False,0.5495,False,-1.0,squad,128,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v1,1.0,False,0.6208,False,-1.0,squad,128,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold was used to emphasize the 50th anniversary of the Super Bowl.,hcpc_v2,0.6905,False,0.55,True,0.4377,squad,128,mistral
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",baseline,0.5107,False,0.558,False,-1.0,squad,128,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention any specific theme for Super Bowl 50.,hcpc_v1,0.7504,False,0.5202,False,-1.0,squad,128,mistral
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly state that this was the official theme of the game.",hcpc_v2,0.5429,False,0.558,False,0.4567,squad,128,mistral
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",baseline,0.8967,False,0.3746,False,-1.0,squad,128,mistral
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",hcpc_v1,0.8967,False,0.5021,False,-1.0,squad,128,mistral
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",hcpc_v2,0.8967,False,0.3739,True,0.5721,squad,128,mistral
What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",baseline,0.697,False,0.4121,False,-1.0,squad,128,mistral
What is the AFC short for?,American Football Conference," The provided context does not specify what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",hcpc_v1,0.8018,False,0.4997,False,-1.0,squad,128,mistral
What is the AFC short for?,American Football Conference, The AFC in the provided context stands for American Football Conference.,hcpc_v2,0.995,False,0.4138,True,0.4802,squad,128,mistral
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly state that this was the official theme of the game.",baseline,0.5429,False,0.558,False,-1.0,squad,128,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention any specific theme for Super Bowl 50.,hcpc_v1,0.7504,False,0.5202,False,-1.0,squad,128,mistral
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly state that this was the official theme of the game.",hcpc_v2,0.5429,False,0.558,False,0.4567,squad,128,mistral
What does AFC stand for?,American Football Conference, AFC stands for American Football Conference.,baseline,0.982,False,0.3787,False,-1.0,squad,128,mistral
What does AFC stand for?,American Football Conference," The provided context does not state what AFC stands for. However, in American football, AFC typically stands for the American Football Conference.",hcpc_v1,0.6886,False,0.479,False,-1.0,squad,128,mistral
What does AFC stand for?,American Football Conference," The context does not provide a direct definition for what AFC stands for. However, given the context of the National Football League (NFL) and the discussion about the American Football Conference (AFC), it can be inferred that AFC stands for ""American Football Conference.""",hcpc_v2,0.7821,False,0.3789,True,0.4802,squad,128,mistral
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",baseline,0.8567,False,0.6413,False,-1.0,squad,128,mistral
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v1,0.8567,False,0.6025,False,-1.0,squad,128,mistral
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v2,0.8567,False,0.6413,False,0.5722,squad,128,mistral
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6268,False,-1.0,squad,128,mistral
Who won Super Bowl 50?,Denver Broncos," The context does not specify who won Super Bowl 50, but it implies that the team that was trailing (not mentioned) lost the game. Since the Broncos took an early lead and never trailed, they are likely the winners of Super Bowl 50. However, without further information, this cannot be confirmed with absolute certainty.",hcpc_v1,0.6966,False,0.6474,False,-1.0,squad,128,mistral
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6279,True,0.5698,squad,128,mistral
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.6918,False,0.6489,False,-1.0,squad,128,mistral
What venue did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that Super Bowl XXXVII took place in San Diego in 2003 and that Super Bowl 50 would have been known as ""Super Bowl L"" if it were held in a different year, but it does not specify where Super Bowl 50 actually took place.",hcpc_v1,0.7203,False,0.609,False,-1.0,squad,128,mistral
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.6918,False,0.6603,True,0.6098,squad,128,mistral
