source_folder,relative_path,size_bytes,sha256,exclusion_reason
cleanup_20260506_final_code_artifact_cleanup,.DS_Store,10244,b3ddcbf274ecd5794787483d37dc205d288e132f34bd72cbba4e2cb2280fc313,operating-system metadata
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/.DS_Store,8196,ff07b17ddf2db5a1d9ccd4b18392ec62953dfc2df4a3597bc55362c5e7d1a7d7,operating-system metadata
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/data/.DS_Store,6148,a3c333ec5a2e9eab71da97ade3f2e56774d9361a6aaf13ab37393fd1262d73c0,operating-system metadata
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/human_eval_final/.DS_Store,6148,4e4fa6ab3dd9f27a17ba82ac5aaa0b8d115d2bb67eda8c50a940fc3cfcda384e,operating-system metadata
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/results/.DS_Store,14340,c05baeff90eb9dab906f9745dd857b55891f8aeb9b20fa5304c6babdaff966bd,operating-system metadata
cleanup_20260506_final_code_artifact_cleanup,root_before_cleanup/.DS_Store,8196,c847e302c3d512c3b206dc08d2dd7ce3bbbc56e77a27acd29263128c1192aa8b,operating-system metadata
cleanup_20260506_final_code_artifact_cleanup,root_before_cleanup/data/.DS_Store,6148,4ded644bd9af0a0a588dc259977b038eace58e4ef7a08caa6c9d737b2b4dbaef,operating-system metadata
cleanup_20260506_final_code_artifact_cleanup,root_before_cleanup/data/revision/.DS_Store,8196,bf027bdde573c7769af154614593e253d4ad2f3f66aa6529833402ba4a18c1f0,operating-system metadata
cleanup_20260506_final_code_artifact_cleanup,root_before_cleanup/human_eval/.DS_Store,6148,012bca84d011530aebeffefdf671436146f8a3846c07503398e71ce23eb09e60,operating-system metadata
cleanup_20260506_final_code_artifact_cleanup,root_before_cleanup/results/.DS_Store,14340,913618ae7b981928bd5135babfa79d12bcc69c336ec015b3612a3ecc170c549d,operating-system metadata
cleanup_20260506_final_code_artifact_cleanup,root_before_cleanup/results/revision/.DS_Store,8196,79bcdcf1eef3b0b4bf03a1171b2b88e5f4e1a21c472a3de207831a34f0c7dd2f,operating-system metadata
