dataset,model,n_noise,noise_rate,question,ground_truth,answer,faithfulness_score,is_hallucination
hotpotqa,mistral,0,0.0,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla," The provided context does not specify the type or location of the radar station that Vice-Admiral Iqbal Fazl Quadir attacked during the second war with India. However, it mentions his participation in an attack on a radar station located on the western shore of the Okhamandal Peninsula, which is different from the Mukachevo and Sevastopol radar stations mentioned in the other context.",0.7944,False
hotpotqa,mistral,1,0.333,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla," The provided context does not mention any specific event or time period for Vice-Admiral Iqbal Fazl Quadir's participation in an attack on a radar station. However, it is stated that he was renowned for his participation in the second war with India, and it is also mentioned that he attacked a radar station in Dwarka, India. Therefore, it can be inferred that Vice-Admiral Iqbal Fazl Quadir was on active duty during the Indo-Pakistani War when he participated in an attack on the radar station located on the western shore of the Okhamandal Peninsula (which is likely Dwarka, India).",0.7029,False
hotpotqa,mistral,2,0.667,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla, The provided context does not mention what Vice-Admiral Iqbal Fazl Quadir was on during his participation in the attack on a radar station located on the western shore of the Okhamandal Peninsula.,0.4282,True
hotpotqa,mistral,3,1.0,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla, I cannot find this information in the provided context. The context does not provide any details about Iqbal F. Qadir or his involvement in an attack on a radar station.,0.6216,False
hotpotqa,mistral,0,0.0,When did the park at which Tivolis Koncertsal is located open?,15 August 1843," The park at which Tivolis Koncertsal is located opened on August 15, 1843.",0.4984,True
hotpotqa,mistral,1,0.333,When did the park at which Tivolis Koncertsal is located open?,15 August 1843," I cannot find this information in the provided context. The context only mentions that Tivoli's Koncertsal was built between 1954 and 1956, but it does not provide any information about when the park where it is located opened.",0.4952,True
hotpotqa,mistral,2,0.667,When did the park at which Tivolis Koncertsal is located open?,15 August 1843," I cannot find this information in the provided context. The context only mentions that Tivoli's Concert Hall was built between 1954 and 1956, but it does not provide any information about when Tivoli Gardens, where the concert hall is located, opened.",0.5584,False
hotpotqa,mistral,3,1.0,When did the park at which Tivolis Koncertsal is located open?,15 August 1843, I cannot find this information in the provided context. The context does not provide any details about a park where Tivolis Koncertsal is located.,0.5108,False
hotpotqa,mistral,0,0.0,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian," Both Art Laboe and Scout Tufankjian share Armenian ancestry, as stated in their respective descriptions in the provided context.",0.757,False
hotpotqa,mistral,1,0.333,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian, I cannot find this information in the provided context as it does not relate to the ancestry or nationality of Art Laboe or Scout Tufankjian.,0.643,False
hotpotqa,mistral,2,0.667,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian, I cannot find this information in the provided context. The context does not provide any details about Scout Tufankjian's ancestry or nationality.,0.6734,False
