question,ground_truth,answer,template,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos represented the AFC at Super Bowl 50.,strict,baseline,0.7354,False,0.6027,False,-1.0,3.86,squad,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,strict,hcpc_v1,0.8579,False,0.6602,False,-1.0,1.71,squad,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,strict,hcpc_v2,0.8579,False,0.6025,True,0.5463,4.37,squad,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,strict,baseline,0.8891,False,0.6001,False,-1.0,1.94,squad,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"I cannot find this information in the provided context. The context only mentions that the team that played against the Denver Broncos in Super Bowl 50 was one of four teams to have made eight appearances in the Super Bowl and that they were previously coached by John Fox, but it does not specify which conference they represented.",strict,hcpc_v1,0.4729,True,0.6188,False,-1.0,3.59,squad,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,strict,hcpc_v2,0.8891,False,0.5991,True,0.5853,3.9,squad,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",strict,baseline,0.9533,False,0.6432,False,-1.0,2.11,squad,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California","The provided context does not specify the exact location where Super Bowl 50 took place. However, it is mentioned that it was held in the San Francisco Bay Area, and no other location is given.",strict,hcpc_v1,0.6674,False,0.6279,False,-1.0,2.84,squad,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",strict,hcpc_v2,0.9533,False,0.6432,False,0.5722,3.37,squad,mistral
Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,strict,baseline,0.9247,False,0.6554,False,-1.0,2.11,squad,mistral
Which NFL team won Super Bowl 50?,Denver Broncos,The Broncos,strict,hcpc_v1,0.7276,False,0.6259,False,-1.0,0.8,squad,mistral
Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,strict,hcpc_v2,0.9247,False,0.6554,False,0.5701,3.03,squad,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold,strict,baseline,1.0,False,0.5495,False,-1.0,1.3,squad,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold,strict,hcpc_v1,1.0,False,0.6032,False,-1.0,1.09,squad,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold,strict,hcpc_v2,1.0,False,0.5495,True,0.43,2.4,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""","The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly state that this was the official theme of the game.",strict,baseline,0.5429,False,0.558,False,-1.0,3.59,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""",I cannot find this information in the provided context. The context does not mention any specific theme for Super Bowl 50.,strict,hcpc_v1,0.7504,False,0.5742,False,-1.0,2.12,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""","The provided context does not specify a particular theme for Super Bowl 50 other than the ""golden anniversary"" emphasis, as mentioned in the context. However, it doesn't provide details about a specific theme for the event itself.",strict,hcpc_v2,0.758,False,0.558,False,0.4567,4.55,squad,mistral
What day was the game played on?,"February 7, 2016","The game was played on February 7, 2016.",strict,baseline,0.8967,False,0.3746,False,-1.0,3.32,squad,mistral
What day was the game played on?,"February 7, 2016","February 7, 2016",strict,hcpc_v1,0.6229,False,0.4669,False,-1.0,1.12,squad,mistral
What day was the game played on?,"February 7, 2016","The game was played on February 7, 2016.",strict,hcpc_v2,0.8967,False,0.3746,True,0.5722,2.84,squad,mistral
What is the AFC short for?,American Football Conference,"The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",strict,baseline,0.697,False,0.4121,False,-1.0,3.64,squad,mistral
What is the AFC short for?,American Football Conference,The AFC in the provided context stands for the American Football Conference.,strict,hcpc_v1,0.9967,False,0.4702,False,-1.0,1.38,squad,mistral
What is the AFC short for?,American Football Conference,"The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",strict,hcpc_v2,0.697,False,0.4121,True,0.4753,3.57,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""","The context does not provide information about the specific theme of Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",strict,baseline,0.486,True,0.558,False,-1.0,4.33,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""",I cannot find this information in the provided context. The context does not mention any specific theme for Super Bowl 50.,strict,hcpc_v1,0.7504,False,0.5742,False,-1.0,2.24,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""","The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",strict,hcpc_v2,0.5107,False,0.558,False,0.4567,4.32,squad,mistral
What does AFC stand for?,American Football Conference,AFC stands for American Football Conference.,strict,baseline,0.982,False,0.3787,False,-1.0,3.03,squad,mistral
