question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,n_summaries_returned,n_leaves_returned,dataset,model
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla," The provided context does not specify the type or location of the radar station that Vice-Admiral Iqbal Fazl Quadir participated in attacking during the second war with India. However, it mentions his involvement in an attack on a radar station located on the western shore of the Okhamandal Peninsula, which is in India. The Dwarka radar station mentioned in the context is not located on the western shore but rather on the western coast of Gujarat, India. Therefore, it's likely that the radar station Vice-Admiral Iqbal Fazl Quadir attacked during the second war with India was a different one than the ones mentioned in the context about the Mukachevo and Sevastopol radar stations.",baseline,0.7383,False,0.5217,False,-1.0,0,0,hotpotqa,mistral
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla, I cannot find this information in the provided context regarding Vice-Admiral Iqbal Fazl Quadir's participation in an attack on a radar station located on the western shore of the Okhamandal Peninsula. The context only provides information about radar stations in Ukraine and does not mention any location related to Pakistan or the Indian subcontinent.,hcpc_v1,0.6763,False,0.5011,False,-1.0,0,0,hotpotqa,mistral
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla," The provided context does not specify the type or location of the radar station that Vice-Admiral Iqbal Fazl Quadir participated in attacking during the second war with India. However, it mentions his involvement in an attack on a radar station located on the western shore of the Okhamandal Peninsula, which is in India. The Dwarka radar station mentioned in the context is not located on the western shore of the Okhamandal Peninsula but rather on the western coast of Gujarat, India. Therefore, it's likely that Vice-Admiral Iqbal Fazl Quadir was part of an attack on a different radar station than the ones mentioned in the second context.",hcpc_v2,0.83,False,0.5217,True,0.1812,0,0,hotpotqa,mistral
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla," The provided context does not specify the exact location of the radar station that Vice-Admiral Iqbal Fazl Quadir participated in attacking during the second war with India. Therefore, it is impossible to determine if it was located on the western shore of the Okhamandal Peninsula based solely on the given context.",raptor,0.6863,False,0.4921,True,-1.0,1,2,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843," The park at which Tivolis Koncertsal is located opened on August 15, 1843.",baseline,0.4984,True,0.6046,False,-1.0,0,0,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843," I cannot find this information in the provided context. The context only mentions that Tivolis Koncertsal was built between 1954 and 1956, but it does not provide any details about when Tivoli Gardens, the amusement park where the concert hall is located, opened.",hcpc_v1,0.5444,False,0.5715,False,-1.0,0,0,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843," The park at which Tivolis Koncertsal is located opened on August 15, 1843.",hcpc_v2,0.4984,True,0.6046,False,0.4606,0,0,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843, The park at which Tivolis Koncertsal is located opened on 15 August 1843.,raptor,0.4842,True,0.6603,True,-1.0,1,2,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian," Both Art Laboe and Scout Tufankjian share Armenian ancestry, as stated in their respective descriptions in the provided context.",baseline,0.757,False,0.4265,False,-1.0,0,0,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian," Both Art Laboe and Scout Tufankjian share Armenian ancestry, as stated in their respective descriptions.",hcpc_v1,0.7817,False,0.4105,False,-1.0,0,0,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian," Both Art Laboe and Scout Tufankjian share Armenian ancestry, as stated in their respective descriptions in the provided context.",hcpc_v2,0.757,False,0.4265,True,0.1252,0,0,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian," The provided context does not specify a shared country of ancestry between Art Laboe and Scout Tufankjian, but it does mention that both are Armenian-American.",raptor,0.5721,False,0.3559,True,-1.0,1,2,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence," The context does not provide information about any designation of the school (Wilmslow High School) other than it being a mixed-sex comprehensive secondary school and a designated Centre of Excellence. It is also noted that Dr. James Pullé is the head teacher, but no specific designations are mentioned for the school itself. Therefore, I cannot find this information in the provided context.",baseline,0.6356,False,0.5763,False,-1.0,0,0,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence, A Centre of Excellence,hcpc_v1,0.4903,True,0.5997,False,-1.0,0,0,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence, The school in which the Wilmslow Show is held is designated as a Centre of Excellence.,hcpc_v2,0.66,False,0.5753,True,0.1914,0,0,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence," The school in which the Wilmslow Show is held is designated as a mixed-sex 11–18 comprehensive secondary school, specifically Wilmslow High School.",raptor,0.398,True,0.5111,True,-1.0,1,2,hotpotqa,mistral
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan," I cannot find information about who Billy Howle will be seen opposite in an upcoming British drama film directed by Dominic Cooke, as there is no such information provided in the context.",baseline,0.5831,False,0.4522,False,-1.0,0,0,hotpotqa,mistral
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan," Saoirse Ronan, according to the provided context.",hcpc_v1,0.643,False,0.4514,False,-1.0,0,0,hotpotqa,mistral
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan, I cannot find this information in the provided context as it does not mention any upcoming British drama film directed by Dominic Cooke featuring Billy Howle.,hcpc_v2,0.3807,True,0.4526,True,0.2865,0,0,hotpotqa,mistral
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan, Saoirse Ronan,raptor,0.519,False,0.5056,True,-1.0,1,2,hotpotqa,mistral
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax, I cannot find this information in the provided context. The context does not mention any animated movie featuring Danny DeVito that was written or produced by Kool Kojak.,baseline,0.6723,False,0.3942,False,-1.0,0,0,hotpotqa,mistral
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax, I cannot find this information in the provided context. The context does not mention any animated movie starring Danny DeVito or involving Kool Kojak.,hcpc_v1,0.7316,False,0.4229,False,-1.0,0,0,hotpotqa,mistral
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax, I cannot find this information in the provided context. The context does not mention any animated movie featuring Danny DeVito that was written or produced by Kool Kojak.,hcpc_v2,0.6723,False,0.3942,False,0.0129,0,0,hotpotqa,mistral
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax, I cannot find this information in the provided context. The context does not mention any animated movie featuring music written and produced by Kool Kojak that stars Danny DeVito.,raptor,0.6331,False,0.37,True,-1.0,1,2,hotpotqa,mistral
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins," I cannot find this information in the provided context. The context only mentions Jean-Claude Van Damme and Matt Battaglia as actors who have portrayed Luc Deveraux, but it does not provide any information about their roles in other films such as Holby City, Doctor Strange, The Bourne Ultimatum, or Zero Dark Thirty.",baseline,0.4651,True,0.7012,False,-1.0,0,0,hotpotqa,mistral
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins," I cannot find this information in the provided context. The actors mentioned in the context are Jean-Claude Van Damme and Matt Battaglia, neither of whom have been associated with the movies Holby City, Doctor Strange, the Bourne Ultimatum, or Zero Dark Thirty.",hcpc_v1,0.5919,False,0.6784,False,-1.0,0,0,hotpotqa,mistral
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins, I cannot find this information in the provided context. The context does not mention any other roles for Jean-Claude Van Damme beyond the Universal Soldier franchise.,hcpc_v2,0.744,False,0.7012,False,0.7209,0,0,hotpotqa,mistral
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins," I cannot find this information in the provided context. The actors mentioned in the context only appeared in the Universal Soldier franchise or other unrelated films, but none of them have been associated with Holby City, Doctor Strange, The Bourne Ultimatum, or Zero Dark Thirty.",raptor,0.4695,True,0.5895,True,-1.0,1,2,hotpotqa,mistral
Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace," Jack Lowden, who portrayed Young Tom Morris in Tommy's Honour, found his first major international onscreen success with the 2016 BBC miniseries ""War & Peace.""",baseline,0.5322,False,0.4425,False,-1.0,0,0,hotpotqa,mistral
Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace," I cannot find this information in the provided context. The context does not mention any connection between the actor in Tommy's Honour and the 2016 BBC miniseries ""War & Peace"".",hcpc_v1,0.5478,False,0.487,False,-1.0,0,0,hotpotqa,mistral
Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace," Jack Lowden, who portrayed Young Tom Morris in Tommy's Honour, found his first major international onscreen success with the 2016 BBC miniseries ""War & Peace.""",hcpc_v2,0.5322,False,0.447,True,0.2349,0,0,hotpotqa,mistral
Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace," Jack Lowden, who portrayed Young Tom Morris in Tommy's Honour, found his first major international onscreen success with the 2016 BBC miniseries ""War & Peace.""",raptor,0.5322,False,0.4088,True,-1.0,1,2,hotpotqa,mistral
"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil, Midnight Oil chose its name by drawing it out of a hat.,baseline,0.6932,False,0.5509,False,-1.0,0,0,hotpotqa,mistral
"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil, I cannot find this information in the provided context regarding either Switchfoot or Midnight Oil choosing their names by drawing it from a hat.,hcpc_v1,0.8225,False,0.5693,False,-1.0,0,0,hotpotqa,mistral
"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil, Midnight Oil chose its name by drawing it out of a hat.,hcpc_v2,0.6932,False,0.5509,True,0.2547,0,0,hotpotqa,mistral
"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil, Midnight Oil chose its name by drawing it out of a hat.,raptor,0.6932,False,0.5382,True,-1.0,1,2,hotpotqa,mistral
"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967," I cannot find the birth year of the artist Daler Mehndi who sang ""Tunak"" in the provided context.",baseline,0.6179,False,0.4999,False,-1.0,0,0,hotpotqa,mistral
"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967," I cannot find the birth year of the artist Daler Mehndi who sang ""Tunak"" in the provided context.",hcpc_v1,0.6179,False,0.5122,False,-1.0,0,0,hotpotqa,mistral
"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967," I cannot find this information in the provided context. The context does not mention the birth year of Daler Mehndi, the artist who sang ""Tunak Tunak Tun.""",hcpc_v2,0.6739,False,0.4999,True,0.2998,0,0,hotpotqa,mistral
"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967," I cannot find this information in the provided context. The context does not mention the birth year of Daler Mehndi, the artist who created ""Tunak Tunak Tun.""",raptor,0.6761,False,0.4254,True,-1.0,1,2,hotpotqa,mistral
Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill, Captain John Underhill launched the attack that led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population.,baseline,0.5854,False,0.489,False,-1.0,0,0,hotpotqa,mistral
Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill, Captain John Underhill launched the attack that led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population.,hcpc_v1,0.5854,False,0.5212,False,-1.0,0,0,hotpotqa,mistral
Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill, Captain John Underhill launched the attack that led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population.,hcpc_v2,0.5854,False,0.489,True,0.2461,0,0,hotpotqa,mistral
Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill," Captain John Underhill launched the attack that led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population. The battle was the Pound Ridge massacre, which took place during Kieft's War in March 1644 at a Wappinger Confederacy village in the present-day town of Pound Ridge, New York.",raptor,0.5114,False,0.4049,True,-1.0,1,2,hotpotqa,mistral
In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders," The context does not provide information about which other film Emilio Estevez starred in the same year as ""Nightmares"". However, it is known that he acted in the 1983 hit movie ""The Outsiders"" along with ""Nightmares"".",baseline,0.6607,False,0.5696,False,-1.0,0,0,hotpotqa,mistral
In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders," I cannot find information about which other film Emilio Estevez starred in the same year as ""Nightmares"" in the provided context.",hcpc_v1,0.5234,False,0.6225,False,-1.0,0,0,hotpotqa,mistral
In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders," The context does not provide information about which other films Emilio Estevez starred in the same year as ""Nightmares"". However, it is known that he acted in the 1983 hit movie ""The Outsiders"" along with ""Nightmares"".",hcpc_v2,0.6815,False,0.5696,True,0.1683,0,0,hotpotqa,mistral
In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders," The context does not provide information about any other film released in the same year as ""Nightmares"" that Emilio Estevez starred in.",raptor,0.2842,True,0.4966,True,-1.0,1,2,hotpotqa,mistral
What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region," I cannot find information about the specific business that Eric S. Pistorius worked for after being an attorney, as the provided context only mentions his areas of specialization in law and does not provide details about the businesses he represented.",baseline,0.4009,True,0.4267,False,-1.0,0,0,hotpotqa,mistral
What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region, I cannot find this information in the provided context as it does not mention the type of business or organization that Eric S. Pistorius worked for after becoming a Circuit court Judge of the Seventh Circuit of Illinois.,hcpc_v1,0.4393,True,0.4305,False,-1.0,0,0,hotpotqa,mistral
What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region," I cannot find information about the specific business that Eric S. Pistorius worked for after being an attorney, as the provided context only mentions his areas of specialization in law.",hcpc_v2,0.5587,False,0.4265,True,0.2017,0,0,hotpotqa,mistral
What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region, I cannot find this information in the provided context. The context does not mention what kind of business Eric S. Pistorius worked for after being an attorney.,raptor,0.4779,True,0.3245,True,-1.0,1,2,hotpotqa,mistral
Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung, I cannot find this information in the provided context. The context does not mention any port city located approximately 25 km north of the Lingnan Fine Arts Museum.,baseline,0.7128,False,0.4282,False,-1.0,0,0,hotpotqa,mistral
Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung, I cannot find this information in the provided context as it does not mention any port city located north of the Lingnan Fine Arts Museum.,hcpc_v1,0.5688,False,0.4305,False,-1.0,0,0,hotpotqa,mistral
Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung, I cannot find this information in the provided context. The context does not mention any specific port city located approximately 25 km north of the Lingnan Fine Arts Museum.,hcpc_v2,0.7495,False,0.4282,True,0.1265,0,0,hotpotqa,mistral
Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung, I cannot find this information in the provided context. The context does not mention any port city located approximately 25 km north of the Lingnan Fine Arts Museum.,raptor,0.7128,False,0.4113,True,-1.0,1,2,hotpotqa,mistral
Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes," I cannot find information about Édouard Roger-Vasselin's career records in the provided context, so I am unable to compare the number of events won by Stefan Edberg and Édouard Roger-Vasselin.",baseline,0.4756,True,0.5402,False,-1.0,0,0,hotpotqa,mistral
Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes, I cannot find this information in the provided context as it does not mention Édouard Roger-Vasselin or his tennis career.,hcpc_v1,0.588,False,0.5513,False,-1.0,0,0,hotpotqa,mistral
Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes, I cannot find this information in the provided context as there is no mention of Édouard Roger-Vasselin or his tennis career.,hcpc_v2,0.5086,False,0.5402,False,0.726,0,0,hotpotqa,mistral
Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes," Yes, according to the provided context, Stefan Edberg has won more events than Édouard Roger-Vasselin. While both have won Grand Slam titles (Edberg with six and Roger-Vasselin none), Edberg also has a higher number of Masters Series titles (four compared to zero for Roger-Vasselin) and Championship Series titles (also four, compared to zero for Roger-Vasselin). Additionally, Edberg was ranked in the singles top 10 for ten successive years, while information about Roger-Vasselin's career rankings is not provided in the context.",raptor,0.4982,True,0.5343,True,-1.0,1,2,hotpotqa,mistral
" Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ, I cannot find this information in the provided context. The context does not mention any song played on an instrument.,baseline,0.7033,False,0.306,False,-1.0,0,0,hotpotqa,mistral
" Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ, I cannot find this information in the provided context. The context does not mention any specific instrument related to the Coldplay concert where Jason Regler got his idea for the flashing wristbands.,hcpc_v1,0.6854,False,0.5093,False,-1.0,0,0,hotpotqa,mistral
" Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ, I cannot find this information in the provided context. The context does not mention any song played on an instrument.,hcpc_v2,0.7033,False,0.3044,True,0.1366,0,0,hotpotqa,mistral
" Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ, I cannot find this information in the provided context. The context does not mention any specific instrument during which Jason Regler had the idea for the flashing wristbands.,raptor,0.7182,False,0.2744,True,-1.0,1,2,hotpotqa,mistral
 The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,the George Washington Bridge," I cannot find this information in the provided context. The context does not mention the location where The Soul of Buddha was shot, only that it was shot at the Fox Studio in Fort Lee, New Jersey.",baseline,0.7403,False,0.5201,False,-1.0,0,0,hotpotqa,mistral
 The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,the George Washington Bridge," I cannot find this information in the provided context. The context does not specify the location where The Soul of Buddha was filmed beyond stating it was shot at the Fox Studio in Fort Lee, New Jersey. However, Fort Lee is a borough located in Bergen County, New Jersey, which is the western terminus of the Henry Hudson Parkway and the Palisades Interstate Parkway.",hcpc_v1,0.6879,False,0.5201,False,-1.0,0,0,hotpotqa,mistral
 The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,the George Washington Bridge," I cannot find this information in the provided context. The context does not specify the location where The Soul of Buddha was filmed beyond it being shot at the Fox Studio in Fort Lee, New Jersey. However, it's important to note that Fort Lee is a borough located in Bergen County, New Jersey, which is the western terminus of the Henry Hudson Parkway and the Palisades Interstate Parkway.",hcpc_v2,0.6044,False,0.5201,True,0.2703,0,0,hotpotqa,mistral
 The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,the George Washington Bridge," I cannot find this information in the provided context. The context does not mention the location where The Soul of Buddha was shot, only that it was shot at the Fox Studio in Fort Lee, New Jersey, but it does not specify which borough within Fort Lee.",raptor,0.5323,False,0.4634,True,-1.0,1,2,hotpotqa,mistral
"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort, I cannot find this information in the provided context as it does not mention any Blackzilians fighters currently competing in the Middleweight division of the Ultimate Fighting Championship.,baseline,0.4797,True,0.6205,False,-1.0,0,0,hotpotqa,mistral
"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort, I cannot find information about any Blackzilians fighter competing in the UFC's Middleweight division within the provided context.,hcpc_v1,0.6596,False,0.6004,False,-1.0,0,0,hotpotqa,mistral
"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort, I cannot find this information in the provided context as it does not mention any Blackzilians fighters currently competing in the Middleweight division of the Ultimate Fighting Championship.,hcpc_v2,0.4797,True,0.6205,False,0.2871,0,0,hotpotqa,mistral
"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort, Kelvin Gastelum,raptor,0.6423,False,0.5214,True,-1.0,1,2,hotpotqa,mistral
"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",tip of the Baja California, I cannot find this information in the provided context. The context only mentions that Villa Unión is a city in the north-eastern Mexican state of Coahuila. It does not specify where the state of Sinaloa is located.,baseline,0.7813,False,0.6416,False,-1.0,0,0,hotpotqa,mistral
"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",tip of the Baja California, I cannot find this information in the provided context. The context only mentions that Villa Unión is a city in the north-eastern Mexican state of Coahuila. It does not provide any information about the location of the state of Sinaloa.,hcpc_v1,0.7579,False,0.6416,False,-1.0,0,0,hotpotqa,mistral
"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",tip of the Baja California," I cannot find this information in the provided context. The context only mentions the location of Villa Unión in the state of Coahuila, Mexico, but it does not provide any information about the location of the state of Sinaloa.",hcpc_v2,0.655,False,0.6416,False,0.7236,0,0,hotpotqa,mistral
"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",tip of the Baja California," I cannot find this information in the provided context. The context does not mention any location named ""Sinaloa.""",raptor,0.7111,False,0.48,True,-1.0,1,2,hotpotqa,mistral
"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",The Tugurt language," The Berber language, specifically the Tugurt variety, which is also known as Oued Righ Berber and Temacine Tamazight, is traditionally written with the ancient Libyco-Berber script (Tifinagh) and is closely related to the nearby Tumzabt (Mozabite) and Teggargrent (Ouargli) languages.",baseline,0.6761,False,0.6682,False,-1.0,0,0,hotpotqa,mistral
"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",The Tugurt language," I cannot find information about the relationship between the Tugurt language and the Tumzabt or Teggargrent languages in the provided context. The context only mentions that the Tugurt language is a Zenati Berber variety, but it does not provide any information about its relation to other Berber languages such as Tumzabt or Teggargrent.",hcpc_v1,0.4435,True,0.6576,False,-1.0,0,0,hotpotqa,mistral
"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",The Tugurt language," The Berber language, specifically the Tugurt variety, which is also known as Oued Righ Berber and Temacine Tamazight, is traditionally written with the ancient Libyco-Berber script (Tifinagh) and is closely related to the nearby Tumzabt (Mozabite) and Teggargrent (Ouargli) languages.",hcpc_v2,0.6761,False,0.6682,False,0.4441,0,0,hotpotqa,mistral
