model,dataset,chunk_size,condition,question,answer,ground_truth,faithfulness_score,is_hallucination,latency_s
llama3,squad,512,baseline,Which NFL team represented the AFC at Super Bowl 50?,The Denver Broncos.,Denver Broncos,0.6985,False,2.14
llama3,squad,512,baseline,Which NFL team represented the NFC at Super Bowl 50?,"According to the provided context, the answer is:

Carolina Panthers",Carolina Panthers,0.7197,False,0.9
llama3,squad,512,baseline,Where did Super Bowl 50 take place?,"According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California",0.986,False,3.5
llama3,squad,512,baseline,Which NFL team won Super Bowl 50?,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,2.31
llama3,squad,512,baseline,What color was used to emphasize the 50th anniversary of the Super Bowl?,"Gold. The league emphasized the ""golden anniversary"" with various gold-themed initiatives.",gold,0.8495,False,2.82
llama3,squad,512,baseline,What was the theme of Super Bowl 50?,"The theme of Super Bowl 50 was emphasized as ""golden anniversary"" with various gold-themed initiatives.","""golden anniversary""",0.8574,False,1.95
llama3,squad,512,baseline,What day was the game played on?,I cannot find this information in the provided context.,"February 7, 2016",0.5531,False,2.59
llama3,squad,512,baseline,What is the AFC short for?,"The answer to this question can be found in the second paragraph of the provided context:

""...earned home-field advantage throughout the AFC playoffs.""

Therefore, the AFC stands for American Football Conference.",American Football Conference,0.7848,False,3.17
llama3,squad,512,baseline,What was the theme of Super Bowl 50?,"The theme of Super Bowl 50 was emphasized as the ""golden anniversary"" with various gold-themed initiatives.","""golden anniversary""",0.8111,False,2.7
llama3,squad,512,baseline,What does AFC stand for?,"I can answer that! According to the provided context, AFC stands for American Football Conference.",American Football Conference,0.8038,False,2.6
llama3,squad,512,baseline,What day was the Super Bowl played on?,"According to the provided context, the Super Bowl was played on February 7, 2016.","February 7, 2016",0.6946,False,2.92
llama3,squad,512,baseline,Who won Super Bowl 50?,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,2.02
llama3,squad,512,baseline,What venue did Super Bowl 50 take place in?,"According to the provided context, Levi's Stadium was awarded the game (Super Bowl) by NFL owners at their spring meetings in Boston on May 21, 2013. Therefore, I can confidently answer that Super Bowl 50 took place in Levi's Stadium.",Levi's Stadium,0.7844,False,4.56
llama3,squad,512,baseline,What city did Super Bowl 50 take place in?,"According to the provided context, Super Bowl 50 took place in Santa Clara, California at Levi's Stadium.",Santa Clara,0.9496,False,3.3
llama3,squad,512,baseline,"If Roman numerals were used, what would Super Bowl 50 have been called?","According to the provided context, if Roman numerals were used, Super Bowl 50 would have been known as ""Super Bowl L"".",Super Bowl L,0.5414,False,3.21
llama3,squad,512,baseline,Super Bowl 50 decided the NFL champion for what season?,The answer is: the 2015 season.,2015,0.7723,False,2.56
llama3,squad,512,baseline,What year did the Denver Broncos secure a Super Bowl title for the third time?,"I can answer that! According to the provided context, there is no information about the Denver Broncos securing a Super Bowl title for the third time. The context only mentions their appearance in Super Bowl 50 and Von Miller being named Super Bowl MVP, but it does not mention them winning the title. Therefore, I cannot find this information in the provided context.",2015,0.5298,False,5.26
llama3,squad,512,baseline,What city did Super Bowl 50 take place in?,"According to the provided context, Super Bowl 50 took place in Santa Clara, California at Levi's Stadium.",Santa Clara,0.9496,False,3.24
