dataset,condition,chunk_size,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_chroma_mean_score,hcpc_n_strong,hcpc_n_weak,hcpc_n_refined
squad,baseline,1024,3,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,0.7354,False,faithful,6.39,0.6027,0.6748,0.5244,0.1504,3,0.2504,3,0,0
squad,baseline,1024,3,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.8891,False,faithful,1.89,0.6001,0.6841,0.4958,0.1883,3,0.2576,3,0,0
squad,baseline,1024,3,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.9533,False,faithful,2.01,0.6432,0.6659,0.6074,0.0585,3,0.3112,3,0,0
squad,baseline,1024,3,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,1.93,0.6554,0.717,0.591,0.126,3,0.3258,3,0,0
squad,baseline,1024,3,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,faithful,1.17,0.5495,0.5813,0.5074,0.0739,3,0.182,3,0,0
squad,baseline,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50 other than the ""golden anniversary"" emphasis, as mentioned in the context. However, it doesn't provide details about a specific theme for the event itself.",0.758,False,faithful,3.1,0.558,0.5807,0.542,0.0387,3,0.1733,3,0,0
squad,baseline,1024,3,What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",0.8967,False,faithful,2.75,0.3746,0.5273,0.2856,0.2417,3,0.0182,3,0,0
squad,baseline,1024,3,What is the AFC short for?,American Football Conference, The AFC in the provided context stands for American Football Conference.,0.995,False,faithful,2.51,0.4121,0.4992,0.3564,0.1428,3,0.0,3,0,0
squad,baseline,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly state that this was the official theme of the game.",0.5429,False,faithful,4.48,0.558,0.5807,0.542,0.0387,3,0.1733,3,0,0
squad,baseline,1024,3,What does AFC stand for?,American Football Conference, AFC stands for American Football Conference.,0.982,False,faithful,2.3,0.3787,0.4753,0.329,0.1463,3,0.0,3,0,0
squad,baseline,1024,3,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,faithful,2.83,0.6413,0.7006,0.6109,0.0897,3,0.3043,3,0,0
