dataset,model,n_noise,noise_rate,question,ground_truth,answer,faithfulness_score,is_hallucination
squad,mistral,0,0.0,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,0.7354,False
squad,mistral,1,0.333,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,0.8579,False
squad,mistral,2,0.667,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos," The context does not provide information about which NFL team represented the AFC at Super Bowl 50. However, it is mentioned that the Broncos were the designated home team in the annual rotation between AFC and NFC teams for Super Bowl 50.",0.6447,False
squad,mistral,3,1.0,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos," The provided context does not specify which NFL team represented the AFC at Super Bowl 50. However, given that Peyton Manning led a team to Super Bowl 50 and he played for the Denver Broncos, it can be inferred that the Denver Broncos represented the AFC at Super Bowl 50.",0.7238,False
squad,mistral,0,0.0,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.8891,False
squad,mistral,1,0.333,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.8891,False
squad,mistral,2,0.667,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," The NFL team that represented the NFC at Super Bowl 50 was not explicitly mentioned in the provided context. However, it can be inferred that the team was the Carolina Panthers as they were the only NFC team mentioned and they advanced to the Super Bowl.",0.6104,False
squad,mistral,3,1.0,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," The context does not provide information about which NFL team represented the NFC at Super Bowl 50. However, we can infer that the opposing team was the Carolina Panthers as they wore black jerseys with silver pants, which is their standard home uniform. But to confirm this, additional context or information would be needed.",0.6146,False
squad,mistral,0,0.0,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.9533,False
squad,mistral,1,0.333,Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context states that Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.9928,False
squad,mistral,2,0.667,Where did Super Bowl 50 take place?,"Santa Clara, California", I cannot find this information in the provided context. The context does not specify where Super Bowl 50 took place.,0.7051,False
squad,mistral,3,1.0,Where did Super Bowl 50 take place?,"Santa Clara, California", I cannot find this information in the provided context. The context does not specify where Super Bowl 50 took place.,0.7051,False
squad,mistral,0,0.0,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False
squad,mistral,1,0.333,Which NFL team won Super Bowl 50?,Denver Broncos, The Broncos won Super Bowl 50.,0.8937,False
