model,dataset,chunk_size,condition,question,answer,ground_truth,faithfulness_score,is_hallucination,latency_s
mistral,squad,1024,reranked,Which NFL team represented the AFC at Super Bowl 50?, The Denver Broncos represented the AFC at Super Bowl 50.,Denver Broncos,0.7354,False,3.62
mistral,squad,1024,reranked,Which NFL team represented the NFC at Super Bowl 50?, The National Football Conference (NFC) champion Carolina Panthers represented the NFC at Super Bowl 50.,Carolina Panthers,0.8005,False,1.33
mistral,squad,1024,reranked,Where did Super Bowl 50 take place?," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California",0.9459,False,3.4
mistral,squad,1024,reranked,Which NFL team won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,2.06
mistral,squad,1024,reranked,What color was used to emphasize the 50th anniversary of the Super Bowl?, Gold,gold,1.0,False,1.87
mistral,squad,1024,reranked,What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, a theme beyond this gold-centric focus is not specified in the given context.","""golden anniversary""",0.5653,False,4.62
mistral,squad,1024,reranked,What day was the game played on?," The game was played on February 1, 2016.","February 7, 2016",0.884,False,4.41
mistral,squad,1024,reranked,What is the AFC short for?, The AFC in the provided context stands for American Football Conference.,American Football Conference,0.995,False,4.6
mistral,squad,1024,reranked,What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, a theme beyond this gold-themed emphasis is not specified in the given context.","""golden anniversary""",0.6129,False,4.8
mistral,squad,1024,reranked,What does AFC stand for?," The context does not provide information about what AFC stands for. However, in American football, AFC typically stands for the American Football Conference.",American Football Conference,0.6381,False,2.74
mistral,squad,1024,reranked,What day was the Super Bowl played on?," The Super Bowl was played on February 7, 2016.","February 7, 2016",0.8567,False,4.77
mistral,squad,1024,reranked,Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,5.01
mistral,squad,1024,reranked,What venue did Super Bowl 50 take place in?," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",Levi's Stadium,0.9459,False,2.5
mistral,squad,1024,reranked,What city did Super Bowl 50 take place in?," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",Santa Clara,0.9421,False,1.94
mistral,squad,1024,reranked,"If Roman numerals were used, what would Super Bowl 50 have been called?", Super Bowl 50 would have been called Super Bowl L if Roman numerals were used.,Super Bowl L,0.5328,False,6.23
