question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,model
What colour cat is a Russian Blue?,Grey,"According to the provided context, a Russian Blue has a blue-grey coat that is the dilute expression of the black gene.",baseline,0.5761,False,0.7237,False,-1.0,triviaqa,llama3
What colour cat is a Russian Blue?,Grey,"According to the provided context, a Russian Blue has a blue-grey coat that is the dilute expression of the black gene.",hcpc_v1,0.5761,False,0.7237,False,-1.0,triviaqa,llama3
What colour cat is a Russian Blue?,Grey,"According to the provided context, a Russian Blue has a blue-grey coat that is the dilute expression of the black gene.",hcpc_v2,0.5761,False,0.7237,False,0.782,triviaqa,llama3
"Vijay Singh, a US Masters champion, comes from where?",Fiji,Fiji,baseline,1.0,False,0.5758,False,-1.0,triviaqa,llama3
"Vijay Singh, a US Masters champion, comes from where?",Fiji,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5377,False,-1.0,triviaqa,llama3
"Vijay Singh, a US Masters champion, comes from where?",Fiji,Fiji,hcpc_v2,1.0,False,0.5758,True,0.475,triviaqa,llama3
What is the name of the backing band for noted bluesman Stevie Ray Vaughan?,Double Trouble,I cannot find this information in the provided context.,baseline,0.5531,False,0.6369,False,-1.0,triviaqa,llama3
What is the name of the backing band for noted bluesman Stevie Ray Vaughan?,Double Trouble,"According to the provided context, the name of the backing band that Stevie Ray Vaughan was a part of before forming his own group is not explicitly mentioned. However, it is mentioned that he left the band and joined the Brooklyn Underground, playing professionally at local bars.

So, based on the context, I would say: ""I cannot find this information in the provided context.""",hcpc_v1,0.5205,False,0.6261,False,-1.0,triviaqa,llama3
What is the name of the backing band for noted bluesman Stevie Ray Vaughan?,Double Trouble,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.6268,True,0.5988,triviaqa,llama3
Who was the first Olympic heavyweight boxing gold medallist to become world professional heavyweight boxing champion?,(Joe) FRAZIER,I cannot find this information in the provided context.,baseline,0.5531,False,0.4429,False,-1.0,triviaqa,llama3
Who was the first Olympic heavyweight boxing gold medallist to become world professional heavyweight boxing champion?,(Joe) FRAZIER,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.4642,False,-1.0,triviaqa,llama3
Who was the first Olympic heavyweight boxing gold medallist to become world professional heavyweight boxing champion?,(Joe) FRAZIER,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.4504,True,0.5069,triviaqa,llama3
Which British city is served by Eastleigh airport?,Southampton,"I cannot find this information in the provided context. The context only mentions Eastleigh Airport's history and use as a military airport in Kenya, but does not mention any connection to a specific British city.",baseline,0.5263,False,0.5334,False,-1.0,triviaqa,llama3
Which British city is served by Eastleigh airport?,Southampton,"According to the provided context, Eastleigh airport serves Nairobi, Kenya.",hcpc_v1,0.9374,False,0.5337,False,-1.0,triviaqa,llama3
Which British city is served by Eastleigh airport?,Southampton,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.5327,True,0.0698,triviaqa,llama3
The plant Atropa Belladonna is better known as what?,Deadly Nightshade,Belladonna or deadly nightshade.,baseline,0.6538,False,0.7906,False,-1.0,triviaqa,llama3
The plant Atropa Belladonna is better known as what?,Deadly Nightshade,belladonna or deadly nightshade,hcpc_v1,0.704,False,0.7949,False,-1.0,triviaqa,llama3
The plant Atropa Belladonna is better known as what?,Deadly Nightshade,Belladonna or deadly nightshade.,hcpc_v2,0.6538,False,0.7906,False,0.678,triviaqa,llama3
"""What kind of character is """"Touchstone"""", who appears in Shakespeare's """"As You Like It""""?""",Clown,"According to the provided context, Touchstone is described as a ""court fool or jester"" and one of the main characters in the play.",baseline,0.7757,False,0.4644,False,-1.0,triviaqa,llama3
"""What kind of character is """"Touchstone"""", who appears in Shakespeare's """"As You Like It""""?""",Clown,"According to the provided context, Touchstone is one of the characters that was suggested by the play, but not actually provided with a tale or plot. Therefore, I can infer that Touchstone is likely a character in the play ""As You Like It"", but no further information about their kind or nature is given in this context.",hcpc_v1,0.3512,True,0.4577,False,-1.0,triviaqa,llama3
"""What kind of character is """"Touchstone"""", who appears in Shakespeare's """"As You Like It""""?""",Clown,"According to the provided context, Touchstone is described as ""a court fool or jester"" and is listed under the category ""Main Characters: The Court of Duke Frederick"". Therefore, Touchstone is a character who appears in Shakespeare's ""As You Like It"" and can be classified as a court fool or jester.",hcpc_v2,0.6768,False,0.4648,True,0.372,triviaqa,llama3
Nguyen Tan Dung became Prime Minister of which country in June 2006?,Vietnam,"According to the provided context, Nguyễn Tấn Dũng became the Prime Minister of Vietnam in June 2006.",baseline,0.8253,False,0.668,False,-1.0,triviaqa,llama3
Nguyen Tan Dung became Prime Minister of which country in June 2006?,Vietnam,"According to the provided context, Nguyễn Tấn Dũng became the Prime Minister of Vietnam in June 2006.",hcpc_v1,0.8253,False,0.7209,False,-1.0,triviaqa,llama3
Nguyen Tan Dung became Prime Minister of which country in June 2006?,Vietnam,"According to the provided context, Nguyễn Tấn Dũng became the Prime Minister of Vietnam in June 2006.",hcpc_v2,0.8253,False,0.668,True,0.642,triviaqa,llama3
"Opened in 1637, in which city was the first public opera house?",Venice,"Venice, Italy.",baseline,0.5173,False,0.665,False,-1.0,triviaqa,llama3
"Opened in 1637, in which city was the first public opera house?",Venice,"According to the provided context, the answer is:

Venice, Italy.",hcpc_v1,0.8751,False,0.6804,False,-1.0,triviaqa,llama3
"Opened in 1637, in which city was the first public opera house?",Venice,"Venice, Italy.",hcpc_v2,0.5173,False,0.6637,True,0.5436,triviaqa,llama3
"According to famous American architect Louis Henri Sullivan, known as the father of skyscrapers, ""form follows what""?",Function,"According to the provided context, Louis Henry Sullivan attributed the concept ""Form follows function"" to Marcus Vitruvius Pollio, a Roman architect, engineer, and author.",baseline,0.8308,False,0.5877,False,-1.0,triviaqa,llama3
"According to famous American architect Louis Henri Sullivan, known as the father of skyscrapers, ""form follows what""?",Function,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6187,False,-1.0,triviaqa,llama3
"According to famous American architect Louis Henri Sullivan, known as the father of skyscrapers, ""form follows what""?",Function,"According to the provided context, Louis Henry Sullivan attributed the concept ""Form follows function"" to Marcus Vitruvius Pollio, a Roman architect, engineer, and author.",hcpc_v2,0.8308,False,0.5774,True,0.3173,triviaqa,llama3
Which national anthem was originally called the 'War Song for the Rhine Army'?,MARSELLAISE,"""La Marseillaise"" was originally called ""Chant de guerre pour l'Armée du Rhin"" (""War Song for the Rhine Army"").",baseline,0.9817,False,0.5545,False,-1.0,triviaqa,llama3
Which national anthem was originally called the 'War Song for the Rhine Army'?,MARSELLAISE,"The French national anthem was originally called ""Chant de guerre pour l'Armée du Rhin"" (""War Song for the Rhine Army"").",hcpc_v1,0.9485,False,0.6571,False,-1.0,triviaqa,llama3
Which national anthem was originally called the 'War Song for the Rhine Army'?,MARSELLAISE,"""La Marseillaise"" was originally called ""Chant de guerre pour l'Armée du Rhin"" (""War Song for the Rhine Army"").",hcpc_v2,0.9817,False,0.5545,True,0.5713,triviaqa,llama3
Gingivitis affects which part of the body,Gums,The answer is: The gum tissue.,baseline,0.7488,False,0.6728,False,-1.0,triviaqa,llama3
Gingivitis affects which part of the body,Gums,"According to the provided context, Gingivitis affects the mouth/oral cavity.",hcpc_v1,0.8469,False,0.7179,False,-1.0,triviaqa,llama3
Gingivitis affects which part of the body,Gums,The answer is: The gum tissue.,hcpc_v2,0.7488,False,0.6728,False,0.6757,triviaqa,llama3
Which is the only cactus fruit that is widely eaten?,PRICKLY PEAR,I cannot find this information in the provided context.,baseline,0.5531,False,0.5519,False,-1.0,triviaqa,llama3
Which is the only cactus fruit that is widely eaten?,PRICKLY PEAR,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5379,False,-1.0,triviaqa,llama3
Which is the only cactus fruit that is widely eaten?,PRICKLY PEAR,"I can find this information in the provided context. According to the text, many species of cacti have their fruit used for food, but it does not specify which one is widely eaten. Therefore, I cannot provide a specific answer.",hcpc_v2,0.6389,False,0.5521,True,0.7448,triviaqa,llama3
What is the only sequel to win an Academy Award for Best Picture?,The Godfather Part II,I cannot find this information in the provided context.,baseline,0.5531,False,0.6271,False,-1.0,triviaqa,llama3
What is the only sequel to win an Academy Award for Best Picture?,The Godfather Part II,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6394,False,-1.0,triviaqa,llama3
What is the only sequel to win an Academy Award for Best Picture?,The Godfather Part II,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.627,True,0.5294,triviaqa,llama3
In children's TV by what name is Sir Topham Hatt better known,The Fat Controller,The Fat Controller.,baseline,0.5815,False,0.612,False,-1.0,triviaqa,llama3
In children's TV by what name is Sir Topham Hatt better known,The Fat Controller,The answer cannot be found in the provided context.,hcpc_v1,0.5857,False,0.6916,False,-1.0,triviaqa,llama3
In children's TV by what name is Sir Topham Hatt better known,The Fat Controller,The Fat Controller.,hcpc_v2,0.5815,False,0.612,False,0.4634,triviaqa,llama3
What was the previous name of the city of Maputo?,LOURENCO MARQUES,"According to the provided context, the previous name of the city of Maputo was Lourenço Marques.",baseline,0.658,False,0.6449,False,-1.0,triviaqa,llama3
