dataset,model,condition,n_queries,faith,halluc,sim,refine_rate,ccs,latency
pubmedqa,gpt-oss-120b,baseline,30,0.548,0.2667,0.5166,0.0,,4.8133
pubmedqa,gpt-oss-120b,hcpc_v1,30,0.5355,0.3,0.5471,0.0,,3.7447
pubmedqa,gpt-oss-120b,hcpc_v2,30,0.5362,0.3333,0.5168,0.9667,0.3091,5.7347
pubmedqa,llama-3.3-70b,baseline,30,0.5518,0.1667,0.5166,0.0,,2.025
pubmedqa,llama-3.3-70b,hcpc_v1,30,0.5468,0.2333,0.5471,0.0,,1.6403
pubmedqa,llama-3.3-70b,hcpc_v2,30,0.5775,0.0667,0.5168,0.9667,0.3091,1.9687
squad,gpt-oss-120b,baseline,30,0.7103,0.0667,0.5877,0.0,,2.9
squad,gpt-oss-120b,hcpc_v1,30,0.6804,0.0,0.6008,0.0,,0.8677
squad,gpt-oss-120b,hcpc_v2,30,0.7064,0.0667,0.5879,0.5333,0.5425,3.3707
squad,llama-3.3-70b,baseline,30,0.7668,0.0667,0.5877,0.0,,1.7233
squad,llama-3.3-70b,hcpc_v1,30,0.6668,0.1,0.6008,0.0,,1.652
squad,llama-3.3-70b,hcpc_v2,30,0.7582,0.0667,0.5879,0.5333,0.5425,1.7427
