question,ground_truth,answer,template,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,model
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,Vice-Admiral Iqbal Fazl Quadir was on a military mission during the second war with India.,cot,baseline,0.6156,False,0.5519,False,-1.0,9.42,hotpotqa,mistral
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,"The context does not provide information about Vice-Admiral Iqbal Fazl Quadir participating in an attack on a radar station located on the western shore of the Okhamandal Peninsula, so it cannot be determined what he was on during such an event.",cot,hcpc_v1,0.3837,True,0.5066,False,-1.0,6.77,hotpotqa,mistral
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,Vice-Admiral Iqbal Fazl Quadir was on a military operation during the second war with India.,cot,hcpc_v2,0.533,False,0.5519,True,0.1075,9.3,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,"Tivoli Gardens opened on August 15, 1843.",cot,baseline,0.634,False,0.6959,False,-1.0,6.63,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,The exact opening year of Tivoli Gardens is not provided in the context.,cot,hcpc_v1,0.5438,False,0.6628,False,-1.0,6.22,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,"Tivoli Gardens opened on August 15, 1843.",cot,hcpc_v2,0.634,False,0.6959,False,0.6048,5.63,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,Armenia,cot,baseline,1.0,False,0.4983,False,-1.0,1.95,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,Armenia,cot,hcpc_v1,1.0,False,0.4723,False,-1.0,1.08,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,Armenia,cot,hcpc_v2,1.0,False,0.4983,False,0.1153,1.3,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,The school in which the Wilmslow Show is held is not designated with any specific term related to the show.,cot,baseline,0.7397,False,0.7334,False,-1.0,7.92,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,"The school in which the Wilmslow Show is held is designated as a ""Centre of Excellence"".",cot,hcpc_v1,0.6761,False,0.7498,False,-1.0,1.2,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,"The school in which the Wilmslow Show is held is designated as a Centre of Excellence and good by Ofsted. However, it is not directly stated that the school is designated for the show.",cot,hcpc_v2,0.5502,False,0.7334,False,0.5539,7.65,hotpotqa,mistral
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,Billy Howle will be seen opposite Saoirse Ronan in the upcoming British drama film.,cot,baseline,0.8149,False,0.4989,False,-1.0,4.2,hotpotqa,mistral
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,"It is not specified who Billy Howle will be seen opposite in the upcoming British drama film directed by Dominic Cooke, according to the provided context.",cot,hcpc_v1,0.6523,False,0.5009,False,-1.0,7.4,hotpotqa,mistral
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,Billy Howle will be seen opposite Saoirse Ronan in the upcoming British drama film.,cot,hcpc_v2,0.8149,False,0.4989,True,0.2601,4.22,hotpotqa,mistral
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,"The context provided does not mention any animated movie starring Danny DeVito that was written or produced by Kool Kojak. Therefore, based on the given information, it is impossible to determine the correct answer to this question.",cot,baseline,0.7068,False,0.3951,False,-1.0,3.84,hotpotqa,mistral
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,"The context provided does not mention any animated movie starring Danny Devito that features music written and produced by Kool Kojak. Therefore, based on the given information, it is impossible to answer the question accurately.",cot,hcpc_v1,0.6126,False,0.3915,False,-1.0,3.0,hotpotqa,mistral
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,"The context provided does not mention any animated movie starring Danny DeVito that was written or produced by Kool Kojak. Therefore, based on the given information, it is impossible to determine the correct answer to this question.",cot,hcpc_v2,0.7068,False,0.3951,False,0.1147,3.98,hotpotqa,mistral
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,"The actor Jean-Claude Van Damme has portrayed Luc Deveraux in the Universal Soldier franchise. However, he is not known to have starred in any of the movies mentioned (Holby City, Doctor Strange, The Bourne Ultimatum, and Zero Dark Thirty). Matt Battaglia, who played Luc Deveraux in two direct-to-video sequels, also does not appear to have been involved in those specific films. Therefore, none of the actors who have portrayed Luc Deveraux in the Universal Soldier franchise have starred in Holby City, Doctor Strange, The Bourne Ultimatum, and Zero Dark Thirty.",cot,baseline,0.5852,False,0.7362,False,-1.0,9.93,hotpotqa,mistral
