dataset,chunking_strategy,strategy_type,chunk_size_param,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_chroma_mean_score
squad,semantic_tight,semantic,512,3,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos," The American Football Conference (AFC) champion was Denver Broncos, as stated in the provided context.",0.839,False,faithful,2.08,0.6957,0.7004,0.6864,0.014,3,0.3914
squad,semantic_tight,semantic,512,3,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The National Football Conference (NFC) champion at Super Bowl 50 was the Carolina Panthers.,0.7545,False,faithful,1.14,0.6825,0.6901,0.6671,0.023,3,0.3649
squad,semantic_tight,semantic,512,3,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9459,False,faithful,4.2,0.6718,0.6748,0.6659,0.0089,3,0.3436
squad,semantic_tight,semantic,512,3,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,2.76,0.7249,0.7462,0.6824,0.0638,3,0.4499
squad,semantic_tight,semantic,512,3,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,faithful,3.24,0.6421,0.6614,0.6036,0.0578,3,0.2842
squad,semantic_tight,semantic,512,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify an exact theme for Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with gold-themed initiatives. However, it's important to note that the context only covers details up to February 7, 2016, and doesn't provide information about any potential theme announcements made after this date.",0.5451,False,faithful,5.83,0.6136,0.63,0.5807,0.0492,3,0.2271
squad,semantic_tight,semantic,512,3,What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",0.8967,False,faithful,3.48,0.5177,0.5605,0.4322,0.1284,3,0.0807
squad,semantic_tight,semantic,512,3,What is the AFC short for?,American Football Conference, The AFC in the provided context stands for American Football Conference.,0.995,False,faithful,2.99,0.4467,0.4537,0.4326,0.0211,3,0.0
squad,semantic_tight,semantic,512,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify an explicit theme for Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",0.4748,True,hallucinated,5.61,0.6136,0.63,0.5807,0.0492,3,0.2271
squad,semantic_tight,semantic,512,3,What does AFC stand for?,American Football Conference," The context does not provide information about what AFC stands for. However, in American football, AFC typically stands for ""American Football Conference.""",0.6053,False,faithful,4.35,0.4042,0.4125,0.3877,0.0248,3,0.0
squad,semantic_tight,semantic,512,3,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,faithful,3.68,0.6974,0.7319,0.6283,0.1035,3,0.3948
squad,semantic_tight,semantic,512,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,2.73,0.6803,0.7198,0.6012,0.1186,3,0.3606
squad,semantic_tight,semantic,512,3,What venue did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,0.5799,False,faithful,2.83,0.6785,0.6831,0.6695,0.0136,3,0.3571
squad,semantic_tight,semantic,512,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area in California.",0.9543,False,faithful,4.46,0.666,0.6685,0.661,0.0075,3,0.3319
squad,semantic_tight,semantic,512,3,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl L,0.4909,True,hallucinated,3.6,0.739,0.7867,0.6438,0.1429,3,0.4781
squad,semantic_tight,semantic,512,3,Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,False,faithful,3.1,0.6955,0.7489,0.5886,0.1603,3,0.3909
squad,semantic_tight,semantic,512,3,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Broncos denied the New England Patriots a chance to defend their title from Super Bowl XLIX, but it does not specify the year when the Broncos secured a third Super Bowl title.",0.4934,True,hallucinated,6.02,0.7055,0.7307,0.6552,0.0756,3,0.411
squad,semantic_tight,semantic,512,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area in California.",0.9543,False,faithful,5.0,0.666,0.6685,0.661,0.0075,3,0.3319
squad,semantic_tight,semantic,512,3,What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium, according to the provided context.",0.6483,False,faithful,3.68,0.6939,0.6974,0.687,0.0104,3,0.3878
squad,semantic_tight,semantic,512,3,What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10.,0.7851,False,faithful,3.72,0.6248,0.6378,0.5988,0.0391,3,0.2496
squad,semantic_tight,semantic,512,3,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,faithful,4.38,0.6636,0.6681,0.6548,0.0133,3,0.3273
squad,semantic_tight,semantic,512,3,What year was Super Bowl 50?,2015," The year Super Bowl 50 was played was 2016, as stated in the provided context.",0.4802,True,hallucinated,4.35,0.6828,0.6861,0.6763,0.0098,3,0.3657
squad,semantic_tight,semantic,512,3,What team was the AFC champion?,Denver Broncos, The AFC champion was Denver Broncos.,0.7866,False,faithful,1.31,0.6088,0.6201,0.5862,0.0339,3,0.2176
squad,semantic_tight,semantic,512,3,What team was the NFC champion?,Carolina Panthers, The team that was the NFC champion is the Panthers.,0.8073,False,faithful,3.49,0.6404,0.6524,0.6164,0.036,3,0.2809
squad,semantic_tight,semantic,512,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,2.79,0.6803,0.7198,0.6012,0.1186,3,0.3606
squad,semantic_tight,semantic,512,3,Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.6757,False,faithful,2.32,0.6954,0.7506,0.5851,0.1655,3,0.3909
squad,semantic_tight,semantic,512,3,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,1.43,0.7244,0.7476,0.6779,0.0698,3,0.4487
squad,semantic_tight,semantic,512,3,Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9393,False,faithful,5.0,0.6813,0.683,0.6778,0.0052,3,0.3626
squad,semantic_tight,semantic,512,3,The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, as mentioned in the context, is Super Bowl.",0.621,False,faithful,3.71,0.5622,0.5631,0.5603,0.0028,3,0.1243
squad,semantic_tight,semantic,512,3,What 2015 NFL team one the AFC playoff?,Denver Broncos," The context does not provide information about which specific team won the AFC playoffs in 2015, only that the Denver Broncos represented the AFC in Super Bowl 50.",0.5046,False,faithful,3.59,0.5922,0.6366,0.5033,0.1333,3,0.1844
