question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,reranker
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.6027,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v1,0.8579,False,0.6602,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v2,0.8579,False,0.6025,True,0.5463,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,baseline,0.8891,False,0.6001,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," I cannot find this information in the provided context. The context only mentions that the team that played against the Denver Broncos in Super Bowl 50 was one of four teams to have made eight appearances in the Super Bowl and that they were coached by John Fox in their last Super Bowl appearance prior to Super Bowl 50, but it does not specify which conference they represented.",hcpc_v1,0.4548,True,0.6188,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v2,0.8891,False,0.5991,True,0.5853,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9533,False,0.6432,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context does not specify the exact location where Super Bowl 50 took place. However, it is mentioned that it was held in the San Francisco Bay Area, and no other location is given.",hcpc_v1,0.6674,False,0.6279,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9533,False,0.6432,False,0.5722,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6554,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Which NFL team won Super Bowl 50?,Denver Broncos, The Broncos,hcpc_v1,0.7276,False,0.6259,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6554,False,0.5701,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,baseline,1.0,False,0.5495,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v1,1.0,False,0.6032,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v2,1.0,False,0.5495,True,0.43,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",baseline,0.5107,False,0.558,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention any specific theme for Super Bowl 50.,hcpc_v1,0.7504,False,0.5742,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50, but it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly say that this was the official theme of the game.",hcpc_v2,0.5451,False,0.558,False,0.4567,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",baseline,0.8967,False,0.3746,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What day was the game played on?,"February 7, 2016"," February 7, 2016",hcpc_v1,0.6229,False,0.4669,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",hcpc_v2,0.8967,False,0.3746,True,0.5722,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What is the AFC short for?,American Football Conference," The provided context does not explicitly state what AFC stands for. However, it can be inferred that AFC refers to the American Football Conference as it is mentioned multiple times in the context.",baseline,0.5977,False,0.4121,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, it refers to the American Football Conference.",hcpc_v1,0.654,False,0.4702,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What is the AFC short for?,American Football Conference," The provided context does not explicitly state what AFC stands for. However, it can be inferred that AFC refers to the American Football Conference as it is mentioned multiple times in the context.",hcpc_v2,0.5977,False,0.4121,True,0.4753,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly state that this was the official theme of the game.",baseline,0.5429,False,0.558,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention any specific theme for Super Bowl 50.,hcpc_v1,0.7504,False,0.5742,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly state that this was the official theme of the game.",hcpc_v2,0.5429,False,0.558,False,0.4567,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What does AFC stand for?,American Football Conference," The context does not provide a direct definition for what AFC stands for. However, given the context of the National Football League (NFL) and the discussion about the American Football Conference (AFC), it is reasonable to infer that AFC stands for ""American Football Conference.""",baseline,0.7009,False,0.3787,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What does AFC stand for?,American Football Conference," The context does not explicitly state what AFC stands for. However, in the context of American football, AFC typically stands for ""American Football Conference.""",hcpc_v1,0.7339,False,0.4448,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What does AFC stand for?,American Football Conference, AFC stands for American Football Conference.,hcpc_v2,0.982,False,0.3787,True,0.4753,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",baseline,0.8567,False,0.6413,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v1,0.8567,False,0.6329,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v2,0.8567,False,0.6413,False,0.5722,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6268,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Who won Super Bowl 50?,Denver Broncos," The context does not specify who won Super Bowl 50, but it implies that the team that took an early lead and never trailed (the Broncos) might have been the winning team. However, without further information, I cannot confirm this.",hcpc_v1,0.7306,False,0.5921,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6246,True,0.5701,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.6918,False,0.6489,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What venue did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that the San Francisco Bay Area last hosted a Super Bowl in 1985 (Super Bowl XIX), but it does not specify where Super Bowl 50 took place.",hcpc_v1,0.5995,False,0.6224,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.6918,False,0.653,True,0.6083,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",baseline,0.9421,False,0.6392,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What city did Super Bowl 50 take place in?,Santa Clara, San Francisco Bay Area,hcpc_v1,0.4784,True,0.6284,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",hcpc_v2,0.9421,False,0.6431,True,0.6083,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,baseline,0.5143,False,0.5327,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Based on the provided context, if Roman numerals had been used, Super Bowl 50 would have been called ""Super Bowl L"" (which stands for 50 in Roman numerals). However, it's stated that Arabic numerals were used instead to prominently feature the number 50 in the logo.",hcpc_v1,0.5268,False,0.6741,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals were used.,hcpc_v2,0.5328,False,0.5327,True,0.5184,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,baseline,0.6644,False,0.6341,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,hcpc_v1,0.6644,False,0.6279,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,hcpc_v2,0.6644,False,0.6341,False,0.4842,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time. However, it is implied that this event happened in Super Bowl 50, which was held in 2016.",baseline,0.795,False,0.6795,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos won the AFC Championship Game and secured home-field advantage throughout the AFC playoffs, but it does not specify the year they won Super Bowl 50 or if it was their third title.",hcpc_v1,0.4847,True,0.6972,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time. However, it is implied that this event happened in Super Bowl 50, which was held in 2016.",hcpc_v2,0.795,False,0.6795,False,0.6115,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",baseline,0.9421,False,0.6392,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What city did Super Bowl 50 take place in?,Santa Clara, San Francisco Bay Area,hcpc_v1,0.4784,True,0.6284,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",hcpc_v2,0.9421,False,0.6431,True,0.6083,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,baseline,0.5799,False,0.6693,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What stadium did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that the San Francisco Bay Area last hosted a Super Bowl in 1985 (Super Bowl XIX), but it does not specify where Super Bowl 50 took place.",hcpc_v1,0.5995,False,0.6331,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,hcpc_v2,0.5799,False,0.6693,False,0.6083,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What was the final score of Super Bowl 50? ,24–10," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",baseline,0.8695,False,0.584,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
