model,dataset,chunk_size,top_k,prompt_strategy,question,answer,ground_truth,faithfulness_score,is_hallucination,nli_label,latency_s
mistral,squad,256,5,cot,Which NFL team represented the AFC at Super Bowl 50?, I cannot find this information in the provided context. The context does not specify which NFL team represented the AFC at Super Bowl 50.,Denver Broncos,0.6975,False,faithful,2.58
mistral,squad,256,5,cot,Which NFL team represented the NFC at Super Bowl 50?," I cannot find this information in the provided context. The context only mentions that a certain team has made eight appearances in the Super Bowl, but it does not specify which teams they played against or represented which conference in those games.",Carolina Panthers,0.5348,False,faithful,4.94
mistral,squad,256,5,cot,Where did Super Bowl 50 take place?," I cannot find this information in the provided context. The context only mentions that San Francisco Bay Area last hosted a Super Bowl in 1985 (Super Bowl XIX), but it does not specify where Super Bowl 50 took place.","Santa Clara, California",0.6055,False,faithful,5.5
mistral,squad,256,5,cot,Which NFL team won Super Bowl 50?," I cannot find this information in the provided context. The context only mentions that the team made eight appearances in the Super Bowl, but it does not specify which team won Super Bowl 50.",Denver Broncos,0.5329,False,faithful,4.74
mistral,squad,256,5,cot,What color was used to emphasize the 50th anniversary of the Super Bowl?," The provided context does not specify the exact color that was used to emphasize the 50th anniversary of the Super Bowl. However, it mentions various gold-themed initiatives, which suggests that gold might have been the color used for this purpose.",gold,0.8215,False,faithful,6.5
mistral,squad,256,5,cot,What was the theme of Super Bowl 50?," I cannot find this information in the provided context. The context only discusses the reason for using Roman numerals instead of Arabic numerals, but it does not provide any details about the theme of Super Bowl 50.","""golden anniversary""",0.4731,True,hallucinated,4.53
mistral,squad,256,5,cot,What day was the game played on?," The game was played on February 7, 2016.","February 7, 2016",0.8967,False,faithful,3.86
mistral,squad,256,5,cot,What is the AFC short for?," The context does not provide information about what AFC stands for. However, it can be inferred that AFC refers to the American Football Conference as it is mentioned multiple times in the provided context.",American Football Conference,0.6173,False,faithful,4.8
mistral,squad,256,5,cot,What was the theme of Super Bowl 50?," I cannot find this information in the provided context. The context only discusses the reason for using Roman numerals instead of Arabic numerals, but it does not mention the theme of Super Bowl 50.","""golden anniversary""",0.4817,True,hallucinated,4.86
mistral,squad,256,5,cot,What does AFC stand for?," The context does not provide information about what AFC stands for. However, in American football, AFC typically refers to the American Football Conference.",American Football Conference,0.631,False,faithful,4.47
mistral,squad,256,5,cot,What day was the Super Bowl played on?," I cannot find this information in the provided context. The context only mentions the date when the Super Bowl Opening Night event took place, but it does not specify the date of the actual Super Bowl game.","February 7, 2016",0.7706,False,faithful,5.44
mistral,squad,256,5,cot,Who won Super Bowl 50?," I cannot find this information in the provided context. The context only mentions that 39 of the 43 previous Super Bowl Most Valuable Players were introduced during the pregame ceremony for Super Bowl 50, but it does not specify who won the game itself.",Denver Broncos,0.6073,False,faithful,5.98
mistral,squad,256,5,cot,What venue did Super Bowl 50 take place in?, I cannot find this information in the provided context. The context does not specify where Super Bowl 50 took place.,Levi's Stadium,0.7051,False,faithful,4.1
mistral,squad,256,5,cot,What city did Super Bowl 50 take place in?, San Francisco Bay Area,Santa Clara,0.4784,True,hallucinated,2.5
mistral,squad,256,5,cot,"If Roman numerals were used, what would Super Bowl 50 have been called?", Super Bowl L,Super Bowl L,0.4909,True,hallucinated,2.38
mistral,squad,256,5,cot,Super Bowl 50 decided the NFL champion for what season?, The Super Bowl 50 decided the NFL champion for the 2015 season.,2015,0.6644,False,faithful,2.67
mistral,squad,256,5,cot,What year did the Denver Broncos secure a Super Bowl title for the third time?," The provided context does not specify the year when the Denver Broncos secured their third Super Bowl title. However, it can be inferred that this event happened after they defeated the New England Patriots in the AFC Championship Game (which was likely the 2015-2016 season) and faced off against the Carolina Panthers in the Super Bowl (also implied to be the 2015-2016 season). To confirm this, additional context or external research would be needed.",2015,0.7524,False,faithful,10.17
mistral,squad,256,5,cot,What city did Super Bowl 50 take place in?, San Francisco Bay Area,Santa Clara,0.4784,True,hallucinated,2.61
mistral,squad,256,5,cot,What stadium did Super Bowl 50 take place in?," I cannot find this information in the provided context. The context only mentions Stanford Stadium for Super Bowl XIX, but not for any other Super Bowl.",Levi's Stadium,0.7453,False,faithful,4.05
mistral,squad,256,5,cot,What was the final score of Super Bowl 50? ," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 determined the champion for the 2015 NFL season and includes a reference to a fumble return touchdown, but it does not provide the final score.",24–10,0.5245,False,faithful,5.36
mistral,squad,256,5,cot,"What month, day and year did Super Bowl 50 take place? "," The Super Bowl 50 took place on February 1, 2016.","February 7, 2016",0.9364,False,faithful,3.43
mistral,squad,256,5,cot,What year was Super Bowl 50?," The context does not provide a direct answer to the year Super Bowl 50 took place, but since it was the 50th Super Bowl, we can infer that it occurred in the year 2015.",2015,0.3994,True,hallucinated,4.5
mistral,squad,256,5,cot,What team was the AFC champion?, The AFC champion was the Denver Broncos.,Denver Broncos,0.7995,False,faithful,3.15
mistral,squad,256,5,cot,What team was the NFC champion?," The NFC champion, as stated in the provided context, is the Carolina Panthers.",Carolina Panthers,0.9481,False,faithful,3.21
mistral,squad,256,5,cot,Who won Super Bowl 50?," I cannot find this information in the provided context. The context only mentions that 39 previous Super Bowl Most Valuable Players were introduced during the pregame ceremony of Super Bowl 50, but it does not specify who won Super Bowl 50.",Denver Broncos,0.6725,False,faithful,5.13
mistral,squad,256,5,cot,Super Bowl 50 determined the NFL champion for what season?, The Super Bowl 50 determined the NFL champion for the 2015 season.,2015,0.6757,False,faithful,2.9
mistral,squad,256,5,cot,Which team won Super Bowl 50.," I cannot find this information in the provided context. The context only mentions that the team made eight appearances in the Super Bowl, but it does not specify which team won Super Bowl 50.",Denver Broncos,0.5329,False,faithful,4.2
mistral,squad,256,5,cot,Where was Super Bowl 50 held?," The provided context does not specify the exact location where Super Bowl 50 was held, but it is mentioned that it was held in the San Francisco Bay Area.","Santa Clara, California.",0.6498,False,faithful,3.78
mistral,squad,256,5,cot,The name of the NFL championship game is?, Super Bowl 50,Super Bowl,0.6293,False,faithful,2.6
mistral,squad,256,5,cot,What 2015 NFL team one the AFC playoff?," The context does not specify the exact name of the 2015 AFC playoff-winning team. However, it states that the Denver Broncos won the AFC Championship and subsequently Super Bowl 50, implying they were the AFC playoff winners for the 2015 season.",Denver Broncos,0.9197,False,faithful,6.11
mistral,squad,256,5,cot,Which Carolina Panthers player was named Most Valuable Player?, Cam Newton,Cam Newton,1.0,False,faithful,2.97
mistral,squad,256,5,cot,How many appearances have the Denver Broncos made in the Super Bowl?, Eight appearances,8,0.6721,False,faithful,1.7
mistral,squad,256,5,cot,What year was the Carolina Panthers franchise founded?, I cannot find this information in the provided context. The context does not mention the year when the Carolina Panthers franchise was founded.,1995,0.6925,False,faithful,4.23
mistral,squad,256,5,cot,What team did the Panthers defeat?, The Panthers defeated the Seattle Seahawks and the Arizona Cardinals.,Arizona Cardinals,0.8018,False,faithful,3.77
mistral,squad,256,5,cot,Who did the Broncos prevent from going to the Super Bowl?, The Broncos prevented the New England Patriots from going to the Super Bowl.,New England Patriots,0.4731,True,hallucinated,3.55
mistral,squad,256,5,cot,Who did the Panthers beat in the NFC Championship Game?, The Panthers beat the Arizona Cardinals in the NFC Championship Game.,Arizona Cardinals,0.9736,False,faithful,3.29
mistral,squad,256,5,cot,Who lost to the Broncos in the AFC Championship?, The New England Patriots lost to the Broncos in the AFC Championship.,New England Patriots,0.7878,False,faithful,3.29
