question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,quant,model_tag
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The NFL team that represented the American Football Conference (AFC) at Super Bowl 50 was the Denver Broncos.,baseline,0.7157,False,0.6027,False,-1.0,8.68,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v1,0.8579,False,0.6602,False,-1.0,2.36,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The NFL team that represented the American Football Conference (AFC) at Super Bowl 50 was the Denver Broncos.,hcpc_v2,0.7157,False,0.6025,True,0.5463,5.48,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,baseline,0.8891,False,0.6001,False,-1.0,2.36,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6188,False,-1.0,1.26,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v2,0.8891,False,0.5991,True,0.5853,3.97,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Where did Super Bowl 50 take place?,"Santa Clara, California","Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9516,False,0.6432,False,-1.0,2.34,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Where did Super Bowl 50 take place?,"Santa Clara, California","Super Bowl 50 took place in San Francisco Bay Area, California.",hcpc_v1,0.882,False,0.6279,False,-1.0,1.94,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Where did Super Bowl 50 take place?,"Santa Clara, California","Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9516,False,0.6432,False,0.5722,3.46,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Which NFL team won Super Bowl 50?,Denver Broncos,The NFL team that won Super Bowl 50 was the Denver Broncos.,baseline,0.8694,False,0.6554,False,-1.0,2.57,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Which NFL team won Super Bowl 50?,Denver Broncos,The NFL team that won Super Bowl 50 was the Denver Broncos.,hcpc_v1,0.8694,False,0.6259,False,-1.0,1.64,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Which NFL team won Super Bowl 50?,Denver Broncos,The NFL team that won Super Bowl 50 was the Denver Broncos.,hcpc_v2,0.8694,False,0.6554,False,0.5701,3.5,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,The color used to emphasize the 50th anniversary of the Super Bowl was gold.,baseline,0.7516,False,0.5495,False,-1.0,2.37,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,The color used to emphasize the 50th anniversary of the Super Bowl was gold.,hcpc_v1,0.7516,False,0.6032,False,-1.0,2.35,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,The color used to emphasize the 50th anniversary of the Super Bowl was gold.,hcpc_v2,0.7516,False,0.5495,True,0.43,3.65,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was ""golden anniversary"" as it marked the 50th Super Bowl and the league emphasized this with various gold-themed initiatives.",baseline,0.807,False,0.558,False,-1.0,3.63,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What was the theme of Super Bowl 50?,"""golden anniversary""",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5742,False,-1.0,1.8,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was ""golden anniversary"" as it marked the 50th Super Bowl. The league emphasized this theme with various gold-themed initiatives and temporarily suspended the tradition of naming each Super Bowl game with Roman numerals to prominently feature the Arabic numerals 50 in the logo.",hcpc_v2,0.7205,False,0.558,False,0.4567,7.46,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What day was the game played on?,"February 7, 2016","The game was played on February 7, 2016.",baseline,0.8967,False,0.3746,False,-1.0,4.18,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What day was the game played on?,"February 7, 2016","The game was played on February 7, 2016.",hcpc_v1,0.8967,False,0.4669,False,-1.0,2.08,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What day was the game played on?,"February 7, 2016","The game was played on February 7, 2016.",hcpc_v2,0.8967,False,0.3746,True,0.5722,3.94,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What is the AFC short for?,American Football Conference,I cannot find this information in the provided context.,baseline,0.5531,False,0.4121,False,-1.0,3.94,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What is the AFC short for?,American Football Conference,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.4702,False,-1.0,1.82,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What is the AFC short for?,American Football Conference,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.4121,True,0.4753,3.94,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was ""golden anniversary"" as it marked the 50th Super Bowl and the league emphasized this with various gold-themed initiatives.",baseline,0.807,False,0.558,False,-1.0,6.72,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What was the theme of Super Bowl 50?,"""golden anniversary""",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5742,False,-1.0,2.55,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was ""golden anniversary"" as it marked the 50th Super Bowl and the league emphasized this with various gold-themed initiatives.",hcpc_v2,0.807,False,0.558,False,0.4567,7.16,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What does AFC stand for?,American Football Conference,I cannot find this information in the provided context.,baseline,0.5531,False,0.3787,False,-1.0,4.64,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What does AFC stand for?,American Football Conference,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.4448,False,-1.0,2.26,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What does AFC stand for?,American Football Conference,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.3787,True,0.4753,4.39,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What day was the Super Bowl played on?,"February 7, 2016","The Super Bowl was played on February 7, 2016.",baseline,0.8567,False,0.6413,False,-1.0,5.64,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What day was the Super Bowl played on?,"February 7, 2016","The Super Bowl was played on February 7, 2016.",hcpc_v1,0.8567,False,0.6329,False,-1.0,2.99,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What day was the Super Bowl played on?,"February 7, 2016","The Super Bowl was played on February 7, 2016.",hcpc_v2,0.8567,False,0.6413,False,0.5722,5.06,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6268,False,-1.0,5.86,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Who won Super Bowl 50?,Denver Broncos,The Broncos won Super Bowl 50.,hcpc_v1,0.8937,False,0.5921,False,-1.0,2.55,squad,q5_K_M,mistral:7b-instruct-q5_K_M
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6246,True,0.5701,5.45,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What venue did Super Bowl 50 take place in?,Levi's Stadium,"Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.9445,False,0.6489,False,-1.0,7.57,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What venue did Super Bowl 50 take place in?,Levi's Stadium,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6224,False,-1.0,3.12,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What venue did Super Bowl 50 take place in?,Levi's Stadium,"Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.9445,False,0.653,True,0.6083,7.31,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What city did Super Bowl 50 take place in?,Santa Clara,"Super Bowl 50 took place in Santa Clara, California at Levi's Stadium.",baseline,0.907,False,0.6392,False,-1.0,6.87,squad,q5_K_M,mistral:7b-instruct-q5_K_M
What city did Super Bowl 50 take place in?,Santa Clara,"Super Bowl 50 took place in San Francisco, California.",hcpc_v1,0.8117,False,0.6284,False,-1.0,3.04,squad,q5_K_M,mistral:7b-instruct-q5_K_M
