dataset,condition,chunk_size,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_hcpc_v2_n_refined,ret_hcpc_v2_n_merged,ret_hcpc_v2_context_coherence,hcpc_refined,hcpc_n_chunks_before,hcpc_n_chunks_after,hcpc_n_refined,hcpc_n_merged,hcpc_best_sim_before,hcpc_best_sim_after,hcpc_best_ce_before,hcpc_best_ce_after,hcpc_context_coherence,hcpc_context_token_count
squad,hcpc_v2,1024,3,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The American Football Conference (AFC) champion Denver Broncos represented the AFC at Super Bowl 50.,0.8049,False,faithful,6.19,0.6748,0.6748,0.6748,0.0,3,0,0,1.0,False,3,3,0,0,0.3967,0.3967,8.7047,8.7047,1.0,581
squad,hcpc_v2,1024,3,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The National Football Conference (NFC) champion represented by Carolina Panthers at Super Bowl 50.,0.7465,False,faithful,2.11,0.6841,0.6841,0.6841,0.0,3,0,0,1.0,False,3,3,0,0,0.4176,0.4176,8.3569,8.3569,1.0,581
squad,hcpc_v2,1024,3,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9459,False,faithful,2.37,0.6562,0.6562,0.6562,0.0,3,0,0,1.0,False,3,3,0,0,0.3872,0.3872,8.4794,8.4794,1.0,581
squad,hcpc_v2,1024,3,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,1.28,0.717,0.717,0.717,0.0,3,0,0,1.0,False,3,3,0,0,0.4426,0.4426,9.7919,9.7919,1.0,581
squad,hcpc_v2,1024,3,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, The context mentions that gold-themed initiatives were used to emphasize the 50th anniversary of the Super Bowl.,0.7191,False,faithful,2.5,0.5074,0.5074,0.5074,0.0,3,0,0,1.0,False,3,3,0,0,0.2475,0.2475,3.2164,3.2164,1.0,581
squad,hcpc_v2,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The theme of Super Bowl 50 was the ""golden anniversary.""",0.7533,False,faithful,1.65,0.5514,0.5514,0.5514,0.0,3,0,0,1.0,False,3,3,0,0,0.2742,0.2742,5.7234,5.7234,1.0,581
squad,hcpc_v2,1024,3,What day was the game played on?,"February 7, 2016"," The provided context does not mention the day when the game was played. It only states that the Super Bowl Opening Night, which featured media availabilities and an opening ceremony, was held on February 1, 2016.",0.7706,False,faithful,8.09,0.5273,0.5273,0.5273,0.0,3,0,0,1.0,False,3,3,0,0,0.0546,0.0546,4.9923,4.9923,1.0,288
squad,hcpc_v2,1024,3,What is the AFC short for?,American Football Conference, I cannot find this information in the provided context. The context does not specify what AFC stands for.,0.6762,False,faithful,3.41,0.4992,0.4992,0.4992,0.0,3,1,0,1.0,True,3,3,1,0,0.0,0.4992,-7.8142,-7.8142,1.0,144
squad,hcpc_v2,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The theme of Super Bowl 50 was the ""golden anniversary.""",0.7533,False,faithful,7.55,0.5514,0.5514,0.5514,0.0,3,0,0,1.0,False,3,3,0,0,0.2742,0.2742,5.7234,5.7234,1.0,581
squad,hcpc_v2,1024,3,What does AFC stand for?,American Football Conference," I cannot find the abbreviation ""AFC"" explicitly defined in the provided context. However, in American football, AFC typically stands for the American Football Conference.",0.6233,False,faithful,4.08,0.4753,0.4753,0.4753,0.0,3,1,0,1.0,True,3,3,1,0,0.0,0.4753,-5.3964,-5.3964,1.0,144
squad,hcpc_v2,1024,3,What day was the Super Bowl played on?,"February 7, 2016"," I cannot find this information in the provided context. The context only mentions the date when the Super Bowl Opening Night was held, but it does not specify the date of the actual Super Bowl game.",0.7694,False,faithful,5.46,0.7006,0.7006,0.7006,0.0,3,0,0,1.0,False,3,3,0,0,0.4012,0.4012,8.0041,8.0041,1.0,288
squad,hcpc_v2,1024,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,6.53,0.681,0.681,0.681,0.0,3,0,0,1.0,False,3,3,0,0,0.396,0.396,8.9704,8.9704,1.0,581
squad,hcpc_v2,1024,3,What venue did Super Bowl 50 take place in?,Levi's Stadium," The provided context does not specify the venue for Super Bowl 50. However, it mentions that the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985 was awarded to Levi's Stadium, which opened in 2014. Since Super Bowl 50 took place in 2016 and Levi's Stadium is located in the San Francisco Bay Area, it is a possibility that Super Bowl 50 could have been held at Levi's Stadium. However, without additional context or information, I cannot confirm this definitively.",0.5906,False,faithful,11.45,0.6831,0.6831,0.6831,0.0,3,0,0,1.0,False,3,3,0,0,0.3661,0.3661,2.7831,2.7831,1.0,244
squad,hcpc_v2,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, California (specifically at Levi's Stadium in the San Francisco Bay Area).",0.9733,False,faithful,7.15,0.6635,0.6635,0.6635,0.0,3,0,0,1.0,False,3,3,0,0,0.4005,0.4005,7.8036,7.8036,1.0,581
squad,hcpc_v2,1024,3,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl L (which stands for 50 in Roman numerals) was temporarily not used for Super Bowl 50. Instead, it was named Super Bowl 50 using Arabic numerals.",0.6544,False,faithful,8.54,0.7265,0.7265,0.7265,0.0,3,0,0,1.0,False,3,3,0,0,0.3753,0.3753,7.6579,7.6579,1.0,586
squad,hcpc_v2,1024,3,Super Bowl 50 decided the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was decided in Super Bowl 50.,0.6932,False,faithful,8.5,0.6996,0.6996,0.6996,0.0,3,0,0,1.0,False,3,3,0,0,0.4222,0.4222,9.5303,9.5303,1.0,581
squad,hcpc_v2,1024,3,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs in a year that is not specified, but it does not state that they won a Super Bowl title.",0.5621,False,faithful,8.57,0.6986,0.6986,0.6986,0.0,3,1,0,1.0,True,3,3,1,0,0.3971,0.6986,-6.1077,-6.1077,1.0,144
squad,hcpc_v2,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, California (specifically at Levi's Stadium in the San Francisco Bay Area).",0.9733,False,faithful,8.43,0.6635,0.6635,0.6635,0.0,3,0,0,1.0,False,3,3,0,0,0.4005,0.4005,7.8036,7.8036,1.0,581
squad,hcpc_v2,1024,3,What stadium did Super Bowl 50 take place in?,Levi's Stadium," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9459,False,faithful,2.28,0.6576,0.6576,0.6576,0.0,3,0,0,1.0,False,3,3,0,0,0.3989,0.3989,8.8889,8.8889,1.0,581
squad,hcpc_v2,1024,3,What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10.,0.7851,False,faithful,1.52,0.6261,0.6261,0.6261,0.0,3,0,0,1.0,False,3,3,0,0,0.3342,0.3342,5.5438,5.5438,1.0,581
squad,hcpc_v2,1024,3,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,faithful,1.7,0.6393,0.6393,0.6393,0.0,3,0,0,1.0,False,3,3,0,0,0.372,0.372,6.6291,6.6291,1.0,581
squad,hcpc_v2,1024,3,What year was Super Bowl 50?,2015, The Super Bowl 50 was played in the year 2016.,0.7056,False,faithful,1.63,0.6696,0.6696,0.6696,0.0,3,0,0,1.0,False,3,3,0,0,0.4358,0.4358,9.1714,9.1714,1.0,581
