dataset,question,answer,ccs,faithfulness_score,is_hallucination,self_confidence,confidence_raw,passage_redundancy
squad,Which NFL team represented the AFC at Super Bowl 50?, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,0.5463,0.8579,False,100.0,100,
squad,Which NFL team represented the NFC at Super Bowl 50?, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.5853,0.8891,False,100.0,100,
squad,Where did Super Bowl 50 take place?," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.5722,0.9533,False,100.0,100,
squad,Which NFL team won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.5701,0.9247,False,100.0,100,
squad,What color was used to emphasize the 50th anniversary of the Super Bowl?, Gold,0.43,1.0,False,100.0,100,
squad,What was the theme of Super Bowl 50?," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly state that this was the official theme of the game.",0.4567,0.5429,False,60.0,60,
squad,What day was the game played on?," The game was played on February 7, 2016.",0.5722,0.8967,False,40.0,40,
squad,What is the AFC short for?, The AFC in the provided context stands for American Football Conference.,0.4753,0.995,False,100.0,100,
squad,What was the theme of Super Bowl 50?," The provided context does not specify a particular theme for Super Bowl 50 other than the ""golden anniversary"" emphasis, as mentioned in the context. However, it doesn't provide details about a specific theme for the event itself.",0.4567,0.758,False,30.0,30,
squad,What does AFC stand for?, AFC stands for American Football Conference.,0.4753,0.982,False,100.0,100,
squad,What day was the Super Bowl played on?," The Super Bowl was played on February 7, 2016.",0.5722,0.8567,False,100.0,100,
squad,Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.5701,0.9247,False,100.0,100,
squad,What venue did Super Bowl 50 take place in?," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6083,0.6918,False,100.0,100,
squad,What city did Super Bowl 50 take place in?," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.6083,0.9421,False,100.0,100,
squad,"If Roman numerals were used, what would Super Bowl 50 have been called?", Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,0.5184,0.5143,False,0.0,0,
squad,Super Bowl 50 decided the NFL champion for what season?, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.4842,0.6644,False,100.0,100,
squad,What year did the Denver Broncos secure a Super Bowl title for the third time?," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it implies that the event happened after their regular season in 2015 (as they played against the Panthers in Super Bowl 50), and before their AFC Championship Game victory over the New England Patriots in 2016. However, without additional context or information, I cannot definitively state the exact year.",0.6115,0.4539,True,95.0,95,
squad,What city did Super Bowl 50 take place in?," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.6083,0.9421,False,100.0,100,
squad,What stadium did Super Bowl 50 take place in?, Levi's Stadium,0.6083,0.5799,False,100.0,100,
squad,What was the final score of Super Bowl 50? ," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",0.5147,0.8695,False,100.0,100,
squad,"What month, day and year did Super Bowl 50 take place? "," The Super Bowl 50 took place on February 7, 2016.",0.5722,0.945,False,100.0,100,
squad,What year was Super Bowl 50?, The Super Bowl 50 was played in the year 2016.,0.5294,0.7056,False,100.0,100,
squad,What team was the AFC champion?, The Denver Broncos were the AFC champion.,0.5132,0.6101,False,100.0,100,
squad,What team was the NFC champion?, The NFC champion was the Carolina Panthers.,0.552,0.806,False,100.0,100,
squad,Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.5701,0.9247,False,100.0,100,
squad,Super Bowl 50 determined the NFL champion for what season?, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.4842,0.6757,False,100.0,100,
squad,Which team won Super Bowl 50., The Denver Broncos won Super Bowl 50.,0.5701,0.9247,False,100.0,100,
squad,Where was Super Bowl 50 held?," Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",0.6083,0.9411,False,100.0,100,
squad,The name of the NFL championship game is?, Super Bowl 50,0.5192,0.6293,False,100.0,100,
squad,What 2015 NFL team one the AFC playoff?, The Denver Broncos,0.5132,0.6985,False,100.0,100,
pubmedqa,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?," Yes, according to the provided context, mitochondria do play a role in remodeling lace plant leaves during programmed cell death (PCD). The text states that the role of mitochondria during PCD has been elucidated in the lace plant and that mitochondrial dynamics were delineated into four categories based on characteristics including distribution, motility, and membrane potential. Additionally, the possible importance of mitochondrial permeability transition pore (PTP) formation during PCD was indirectly examined, suggesting a role for mitochondria in this process.",0.1358,0.7247,False,100.0,100,
