dataset,tau,condition,question,ground_truth,faithfulness_score,is_hallucination,gate_fired,ccs_pre
naturalqs,0.4,baseline,when was half life 2 episode 2 released,in 2007,0.7525,False,False,-1.0
naturalqs,0.4,hcpc_v1,when was half life 2 episode 2 released,in 2007,0.561,False,False,-1.0
naturalqs,0.4,ccs_gate,when was half life 2 episode 2 released,in 2007,0.561,False,True,0.2128
naturalqs,0.4,baseline,who played ashley on the young and the restless,Eileen Davidson,0.7484,False,False,-1.0
naturalqs,0.4,hcpc_v1,who played ashley on the young and the restless,Eileen Davidson,0.6929,False,False,-1.0
naturalqs,0.4,ccs_gate,who played ashley on the young and the restless,Eileen Davidson,0.7484,False,False,0.7825
naturalqs,0.4,baseline,factories that assemble parts made in other countries,special economic zones,0.8601,False,False,-1.0
naturalqs,0.4,hcpc_v1,factories that assemble parts made in other countries,special economic zones,0.6901,False,False,-1.0
naturalqs,0.4,ccs_gate,factories that assemble parts made in other countries,special economic zones,0.8601,False,False,0.7223
naturalqs,0.4,baseline,where does kylo ren's name come from,"the character, ""came to the name Kylo Ren when he joined a group called the Knights of Ren.""",0.6958,False,False,-1.0
naturalqs,0.4,hcpc_v1,where does kylo ren's name come from,"the character, ""came to the name Kylo Ren when he joined a group called the Knights of Ren.""",0.6768,False,False,-1.0
naturalqs,0.4,ccs_gate,where does kylo ren's name come from,"the character, ""came to the name Kylo Ren when he joined a group called the Knights of Ren.""",0.6958,False,False,0.7226
naturalqs,0.4,baseline,what is the source of electrons during photosynthesis,"suitable substances, such as water",0.5976,False,False,-1.0
naturalqs,0.4,hcpc_v1,what is the source of electrons during photosynthesis,"suitable substances, such as water",0.6052,False,False,-1.0
naturalqs,0.4,ccs_gate,what is the source of electrons during photosynthesis,"suitable substances, such as water",0.5976,False,False,0.7054
naturalqs,0.4,baseline,when did i ain't mad at cha come out,"September 15, 1996",0.5597,False,False,-1.0
naturalqs,0.4,hcpc_v1,when did i ain't mad at cha come out,"September 15, 1996",0.5201,False,False,-1.0
naturalqs,0.4,ccs_gate,when did i ain't mad at cha come out,"September 15, 1996",0.5597,False,False,0.6131
naturalqs,0.4,baseline,who wrote shes always a woman to me,Billy Joel,0.7998,False,False,-1.0
naturalqs,0.4,hcpc_v1,who wrote shes always a woman to me,Billy Joel,0.5443,False,False,-1.0
naturalqs,0.4,ccs_gate,who wrote shes always a woman to me,Billy Joel,0.7998,False,False,0.6337
naturalqs,0.4,baseline,who were the major countries involved in the cold war,Soviet Union and its satellite states,0.733,False,False,-1.0
naturalqs,0.4,hcpc_v1,who were the major countries involved in the cold war,Soviet Union and its satellite states,0.7598,False,False,-1.0
naturalqs,0.4,ccs_gate,who were the major countries involved in the cold war,Soviet Union and its satellite states,0.733,False,False,0.583
naturalqs,0.4,baseline,song have i told you lately i love you,Have I Told You Lately,0.5558,False,False,-1.0
naturalqs,0.4,hcpc_v1,song have i told you lately i love you,Have I Told You Lately,0.4542,True,False,-1.0
naturalqs,0.4,ccs_gate,song have i told you lately i love you,Have I Told You Lately,0.5558,False,False,0.6505
naturalqs,0.4,baseline,how many grams of alcohol in one beer,14 grams,0.6245,False,False,-1.0
naturalqs,0.4,hcpc_v1,how many grams of alcohol in one beer,14 grams,0.5574,False,False,-1.0
naturalqs,0.4,ccs_gate,how many grams of alcohol in one beer,14 grams,0.5046,False,False,0.6364
naturalqs,0.4,baseline,why does cooling water run through the condenser,condense the steam,0.6948,False,False,-1.0
naturalqs,0.4,hcpc_v1,why does cooling water run through the condenser,condense the steam,0.7503,False,False,-1.0
