model,dataset,chunk_size,top_k,prompt_strategy,question,answer,ground_truth,faithfulness_score,is_hallucination,nli_label,latency_s
llama3,squad,1024,5,strict,Which NFL team represented the AFC at Super Bowl 50?,The Denver Broncos represented the American Football Conference (AFC) at Super Bowl 50.,Denver Broncos,0.7368,False,faithful,4.87
llama3,squad,1024,5,strict,Which NFL team represented the NFC at Super Bowl 50?,The Carolina Panthers represented the NFC at Super Bowl 50.,Carolina Panthers,0.813,False,faithful,2.66
llama3,squad,1024,5,strict,Where did Super Bowl 50 take place?,"According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California",0.986,False,faithful,3.34
llama3,squad,1024,5,strict,Which NFL team won Super Bowl 50?,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,3.04
llama3,squad,1024,5,strict,What color was used to emphasize the 50th anniversary of the Super Bowl?,Gold.,gold,1.0,False,faithful,3.0
llama3,squad,1024,5,strict,What was the theme of Super Bowl 50?,"The theme of Super Bowl 50 was ""golden anniversary"" with various gold-themed initiatives.","""golden anniversary""",0.8712,False,faithful,2.74
llama3,squad,1024,5,strict,What day was the game played on?,"According to the provided context, the game was played on February 7, 2016.","February 7, 2016",0.9398,False,faithful,4.68
llama3,squad,1024,5,strict,What is the AFC short for?,The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers.,American Football Conference,0.8789,False,faithful,3.85
llama3,squad,1024,5,strict,What was the theme of Super Bowl 50?,"The answer is: ""golden anniversary"". According to the context, as this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives.","""golden anniversary""",0.749,False,faithful,4.58
llama3,squad,1024,5,strict,What does AFC stand for?,The answer is: American Football Conference.,American Football Conference,0.754,False,faithful,4.36
llama3,squad,1024,5,strict,What day was the Super Bowl played on?,"According to the provided context, the game was played on February 7, 2016.","February 7, 2016",0.9398,False,faithful,4.88
llama3,squad,1024,5,strict,Who won Super Bowl 50?,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,4.98
llama3,squad,1024,5,strict,What venue did Super Bowl 50 take place in?,Levi's Stadium.,Levi's Stadium,0.5799,False,faithful,3.58
llama3,squad,1024,5,strict,What city did Super Bowl 50 take place in?,"Santa Clara, California.",Santa Clara,0.6452,False,faithful,4.0
llama3,squad,1024,5,strict,"If Roman numerals were used, what would Super Bowl 50 have been called?","According to the context, if Roman numerals were used, Super Bowl 50 would have been called ""Super Bowl L"".",Super Bowl L,0.5988,False,faithful,4.88
llama3,squad,1024,5,strict,Super Bowl 50 decided the NFL champion for what season?,The answer is: the 2015 season.,2015,0.7723,False,faithful,4.23
llama3,squad,1024,5,strict,What year did the Denver Broncos secure a Super Bowl title for the third time?,"According to the provided context, the answer is:

2016",2015,0.6648,False,faithful,3.95
llama3,squad,1024,5,strict,What city did Super Bowl 50 take place in?,"Santa Clara, California.",Santa Clara,0.6452,False,faithful,4.24
llama3,squad,1024,5,strict,What stadium did Super Bowl 50 take place in?,"According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",Levi's Stadium,0.986,False,faithful,2.2
llama3,squad,1024,5,strict,What was the final score of Super Bowl 50? ,The Broncos defeated the Panthers 24–10.,24–10,0.9058,False,faithful,3.61
llama3,squad,1024,5,strict,"What month, day and year did Super Bowl 50 take place? ","According to the provided context, Super Bowl 50 took place on February 7, 2016.","February 7, 2016",0.867,False,faithful,3.45
llama3,squad,1024,5,strict,What year was Super Bowl 50?,"According to the provided context, Super Bowl 50 was played on February 7, 2016.",2015,0.7844,False,faithful,3.58
llama3,squad,1024,5,strict,What team was the AFC champion?,The Denver Broncos were the AFC champions.,Denver Broncos,0.7321,False,faithful,4.05
llama3,squad,1024,5,strict,What team was the NFC champion?,The Carolina Panthers were the NFC champions.,Carolina Panthers,0.7408,False,faithful,4.51
llama3,squad,1024,5,strict,Who won Super Bowl 50?,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,4.37
llama3,squad,1024,5,strict,Super Bowl 50 determined the NFL champion for what season?,The answer is: the 2015 season.,2015,0.7723,False,faithful,2.97
llama3,squad,1024,5,strict,Which team won Super Bowl 50.,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,2.19
llama3,squad,1024,5,strict,Where was Super Bowl 50 held?,"According to the provided context, Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California.",0.9858,False,faithful,4.28
llama3,squad,1024,5,strict,The name of the NFL championship game is?,Super Bowl.,Super Bowl,1.0,False,faithful,2.99
llama3,squad,1024,5,strict,What 2015 NFL team one the AFC playoff?,The Denver Broncos won the AFC playoffs.,Denver Broncos,0.9644,False,faithful,4.29
llama3,squad,1024,5,strict,Which Carolina Panthers player was named Most Valuable Player?,I cannot find this information in the provided context.,Cam Newton,0.5531,False,faithful,5.33
llama3,squad,1024,5,strict,How many appearances have the Denver Broncos made in the Super Bowl?,"According to the provided context, the Denver Broncos have made eight appearances in the Super Bowl.",8,0.539,False,faithful,4.22
llama3,squad,1024,5,strict,What year was the Carolina Panthers franchise founded?,I cannot find this information in the provided context.,1995,0.5531,False,faithful,4.18
llama3,squad,1024,5,strict,What team did the Panthers defeat?,The Panthers defeated the Seattle Seahawks and the Arizona Cardinals.,Arizona Cardinals,0.8018,False,faithful,5.93
llama3,squad,1024,5,strict,Who did the Broncos prevent from going to the Super Bowl?,"The answer is: The New England Patriots. According to the context, the Broncos denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game.",New England Patriots,0.8868,False,faithful,5.97
llama3,squad,1024,5,strict,Who did the Panthers beat in the NFC Championship Game?,"The Panthers beat the Arizona Cardinals in the NFC Championship Game, winning 49–15.",Arizona Cardinals,0.8925,False,faithful,6.37
llama3,squad,1024,5,strict,Who lost to the Broncos in the AFC Championship?,The New England Patriots.,New England Patriots,0.7667,False,faithful,4.12
llama3,squad,1024,5,strict,Who were the defending Super Bowl champions?,The New England Patriots were the defending Super Bowl XLIX champions.,New England Patriots,0.8154,False,faithful,4.39
llama3,squad,1024,5,strict,How many teams have been in the Super Bowl eight times?,"According to the provided context, four teams have made eight appearances in the Super Bowl:

1. The Denver Broncos
2. The New England Patriots
3. The Dallas Cowboys
4. The Pittsburgh Steelers",four,0.7089,False,faithful,6.19
llama3,squad,1024,5,strict,Who was this season's NFL MVP?,"According to the provided context, Cam Newton, quarterback of the Panthers, was named the NFL Most Valuable Player (MVP) for his performance that season.",Cam Newton,0.8093,False,faithful,7.96
llama3,squad,1024,5,strict,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,The answer is: 15-1.,15–1,0.5228,False,faithful,5.64
llama3,squad,1024,5,strict,Which Carolina Panthers team member was picked as the team's MVP in 2015? ,"I cannot find this information in the provided context. The text only mentions the performance of various players, but does not specify which one was named the team's MVP in 2015.",Cam Newton,0.5812,False,faithful,6.54
llama3,squad,1024,5,strict,What were the win/loss game stats for the Denver Bronco's regular season in 2015?,The answer is: 12-4.,12–4,0.5684,False,faithful,4.93
llama3,squad,1024,5,strict,How many teams have played in the Super Bowl eight times?,"According to the provided context, four teams have made eight appearances in the Super Bowl:

1. The Denver Broncos
2. The New England Patriots
3. The Dallas Cowboys
4. The Pittsburgh Steelers",4,0.7089,False,faithful,6.07
llama3,squad,1024,5,strict,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,The New England Patriots did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50.,New England Patriots,0.5369,False,faithful,5.55
llama3,squad,1024,5,strict,Who is the quarterback for the Panthers?,Cam Newton.,Cam Newton,1.0,False,faithful,5.79
llama3,squad,1024,5,strict,Who did Carolina beat in the NFC championship game?,"The Carolina Panthers blew out the Arizona Cardinals in the NFC Championship Game, winning 49–15.",Arizona Cardinals,0.8586,False,faithful,6.17
