model,dataset,chunk_size,top_k,prompt_strategy,question,answer,ground_truth,faithfulness_score,is_hallucination,nli_label,latency_s
mistral,squad,256,5,strict,Which NFL team represented the AFC at Super Bowl 50?," The Denver Broncos, as stated in the context: ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title""",Denver Broncos,0.9297,False,faithful,3.81
mistral,squad,256,5,strict,Which NFL team represented the NFC at Super Bowl 50?," The NFL team that represented the NFC at Super Bowl 50 is not explicitly stated in the provided context. However, it can be inferred that they are the team that defeated the Arizona Cardinals 49–15 in the NFC Championship Game, as mentioned in one of the passages.",Carolina Panthers,0.6468,False,faithful,7.57
mistral,squad,256,5,strict,Where did Super Bowl 50 take place?," The provided context does not specify the exact location of Super Bowl 50, but it states that it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985. Therefore, it can be inferred that Super Bowl 50 took place in the San Francisco Bay Area. However, the specific venue is not mentioned in the context.","Santa Clara, California",0.5777,False,faithful,8.58
mistral,squad,256,5,strict,Which NFL team won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,2.84
mistral,squad,256,5,strict,What color was used to emphasize the 50th anniversary of the Super Bowl?," The context does not specify the exact color used to emphasize the 50th anniversary of the Super Bowl, but it mentions that the league temporarily suspended the tradition of naming each Super Bowl game with Roman numerals so that the logo could prominently feature Arabic numerals 50.",gold,0.3901,True,hallucinated,6.87
mistral,squad,256,5,strict,What was the theme of Super Bowl 50?," The context does not provide information about the specific theme of Super Bowl 50. However, it mentions that in honor of the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives.","""golden anniversary""",0.6917,False,faithful,5.34
mistral,squad,256,5,strict,What day was the game played on?," The game was played on February 7, 2016.","February 7, 2016",0.8967,False,faithful,3.19
mistral,squad,256,5,strict,What is the AFC short for?," The context does not provide information about what AFC stands for. However, it refers to the American Football Conference.",American Football Conference,0.654,False,faithful,3.47
mistral,squad,256,5,strict,What was the theme of Super Bowl 50?," The context does not provide information about the specific theme of Super Bowl 50. However, it mentions that in honor of the 50th Super Bowl, there were gold-themed initiatives.","""golden anniversary""",0.6721,False,faithful,5.81
mistral,squad,256,5,strict,What does AFC stand for?," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",American Football Conference,0.697,False,faithful,4.41
mistral,squad,256,5,strict,What day was the Super Bowl played on?," I cannot find this information in the provided context. The context only mentions that the Super Bowl Opening Night was held on February 1, 2016, but it does not specify the day when the actual game took place.","February 7, 2016",0.7453,False,faithful,5.8
mistral,squad,256,5,strict,Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,2.59
mistral,squad,256,5,strict,What venue did Super Bowl 50 take place in?, I cannot find this information in the provided context. The context does not specify the venue for Super Bowl 50.,Levi's Stadium,0.6866,False,faithful,4.22
mistral,squad,256,5,strict,What city did Super Bowl 50 take place in?, San Francisco Bay Area,Santa Clara,0.4784,True,hallucinated,2.77
mistral,squad,256,5,strict,"If Roman numerals were used, what would Super Bowl 50 have been called?", Super Bowl L,Super Bowl L,0.4909,True,hallucinated,2.34
mistral,squad,256,5,strict,Super Bowl 50 decided the NFL champion for what season?, The Super Bowl 50 decided the NFL champion for the 2015 season.,2015,0.6644,False,faithful,3.34
mistral,squad,256,5,strict,What year did the Denver Broncos secure a Super Bowl title for the third time?," The context does not provide the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it can be inferred that it happened after their appearance in Super Bowl XLVIII (which was in 2014) and before the provided context, suggesting it might have been in 2015. However, without explicit information stating the year, I cannot confirm the exact year with certainty.",2015,0.5783,False,faithful,8.97
mistral,squad,256,5,strict,What city did Super Bowl 50 take place in?, San Francisco Bay Area,Santa Clara,0.4784,True,hallucinated,2.78
mistral,squad,256,5,strict,What stadium did Super Bowl 50 take place in?," The context does not specify the stadium where Super Bowl 50 took place. However, it is mentioned that San Francisco Bay Area's Levi's Stadium was one of the three final bids for hosting Super Bowl 50.",Levi's Stadium,0.7335,False,faithful,5.71
mistral,squad,256,5,strict,What was the final score of Super Bowl 50? ," The provided context does not specify the final score of Super Bowl 50. However, it is mentioned that the Broncos defeated another team (not named in the context), but the score is not given.",24–10,0.8008,False,faithful,4.77
mistral,squad,256,5,strict,"What month, day and year did Super Bowl 50 take place? "," The Super Bowl 50 took place on February 1, 2016.","February 7, 2016",0.9364,False,faithful,3.67
mistral,squad,256,5,strict,What year was Super Bowl 50?," The provided context does not specify the exact year of Super Bowl 50, but we know it was for the 2015 NFL season. So, Super Bowl 50 took place in the year 2015.",2015,0.6819,False,faithful,5.18
mistral,squad,256,5,strict,What team was the AFC champion?, The AFC champion was the Denver Broncos.,Denver Broncos,0.7995,False,faithful,3.44
mistral,squad,256,5,strict,What team was the NFC champion?, The NFC champion was the Carolina Panthers.,Carolina Panthers,0.806,False,faithful,3.27
mistral,squad,256,5,strict,Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,2.64
mistral,squad,256,5,strict,Super Bowl 50 determined the NFL champion for what season?, The Super Bowl 50 determined the NFL champion for the 2015 season.,2015,0.6757,False,faithful,3.1
mistral,squad,256,5,strict,Which team won Super Bowl 50.," I cannot find this information in the provided context. The context only mentions that the team participating in Super Bowl 50 joined a select group of teams, but it does not specify who won the game.",Denver Broncos,0.5627,False,faithful,5.08
mistral,squad,256,5,strict,Where was Super Bowl 50 held?," The provided context does not specify the exact location where Super Bowl 50 was held, but it is mentioned that it was in the San Francisco Bay Area.","Santa Clara, California.",0.574,False,faithful,4.28
mistral,squad,256,5,strict,The name of the NFL championship game is?, Super Bowl 50,Super Bowl,0.6293,False,faithful,2.72
mistral,squad,256,5,strict,What 2015 NFL team one the AFC playoff?, The 2015 NFL team that won the AFC playoffs is the Denver Broncos.,Denver Broncos,0.876,False,faithful,3.54
mistral,squad,256,5,strict,Which Carolina Panthers player was named Most Valuable Player?, Cam Newton,Cam Newton,1.0,False,faithful,2.81
mistral,squad,256,5,strict,How many appearances have the Denver Broncos made in the Super Bowl?," The Denver Broncos have made eight appearances in the Super Bowl, as stated in the provided context.",8,0.6247,False,faithful,3.19
mistral,squad,256,5,strict,What year was the Carolina Panthers franchise founded?, I cannot find this information in the provided context. The context does not specify the year when the Carolina Panthers franchise was founded.,1995,0.7366,False,faithful,4.52
mistral,squad,256,5,strict,What team did the Panthers defeat?, The Panthers defeated the Seattle Seahawks and the Arizona Cardinals (in the NFC Championship Game).,Arizona Cardinals,0.8769,False,faithful,4.4
mistral,squad,256,5,strict,Who did the Broncos prevent from going to the Super Bowl?, The Broncos prevented the New England Patriots from going to the Super Bowl.,New England Patriots,0.4731,True,hallucinated,3.8
mistral,squad,256,5,strict,Who did the Panthers beat in the NFC Championship Game?, The Panthers beat the Arizona Cardinals in the NFC Championship Game.,Arizona Cardinals,0.9736,False,faithful,4.41
mistral,squad,256,5,strict,Who lost to the Broncos in the AFC Championship?, The New England Patriots lost to the Broncos in the AFC Championship.,New England Patriots,0.7878,False,faithful,4.1
mistral,squad,256,5,strict,Who were the defending Super Bowl champions?, I cannot find this information in the provided context. The context does not specify who the defending Super Bowl champions were before the Denver Broncos won Super Bowl 50.,New England Patriots,0.6736,False,faithful,4.55
mistral,squad,256,5,strict,How many teams have been in the Super Bowl eight times?, Four teams have been in the Super Bowl eight times.,four,0.6485,False,faithful,2.97
mistral,squad,256,5,strict,Who was this season's NFL MVP?," The provided context does not mention who the NFL MVP of this specific season is, only that Cam Newton was named the NFL MVP at some point.",Cam Newton,0.4805,True,hallucinated,4.2
mistral,squad,256,5,strict,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?, The Carolina Panthers had a win/loss ratio of 15-1 during their regular season in 2015.,15–1,0.5198,False,faithful,5.12
mistral,squad,256,5,strict,Which Carolina Panthers team member was picked as the team's MVP in 2015? ," The Carolina Panthers' MVP in 2015, according to the provided context, was quarterback Cam Newton.",Cam Newton,0.922,False,faithful,4.56
mistral,squad,256,5,strict,What were the win/loss game stats for the Denver Bronco's regular season in 2015?," The provided context does not specify the exact win-loss record for each game during the Denver Broncos' regular season in 2015. However, it is stated that they finished the regular season with a 12–4 record.",12–4,0.7264,False,faithful,6.73
mistral,squad,256,5,strict,How many teams have played in the Super Bowl eight times?," Four teams have played in the Super Bowl eight times, as mentioned in the first sentence of the context.",4,0.7044,False,faithful,4.73
mistral,squad,256,5,strict,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?," The New England Patriots did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50, as they were defeated by the Broncos in the AFC Championship Game.",New England Patriots,0.4739,True,hallucinated,6.4
mistral,squad,256,5,strict,Who is the quarterback for the Panthers?, Cam Newton,Cam Newton,1.0,False,faithful,3.15
mistral,squad,256,5,strict,Who did Carolina beat in the NFC championship game?, The Carolina Panthers beat the Arizona Cardinals in the NFC Championship Game.,Arizona Cardinals,0.9783,False,faithful,3.77
mistral,squad,256,5,strict,How many times have the Panthers been in the Super Bowl?, The Carolina Panthers have been in the Super Bowl twice.,2,0.6254,False,faithful,3.42
mistral,squad,256,5,strict,Who did Denver beat in the AFC championship?, The Denver Broncos defeated the New England Patriots in the AFC Championship Game.,New England Patriots,0.944,False,faithful,3.59
mistral,squad,256,5,strict,Who was the Most Valuable Player for the 2015 NFL season?, Cam Newton,Cam Newton,1.0,False,faithful,2.69
