model,dataset,chunk_size,condition,question,answer,ground_truth,faithfulness_score,is_hallucination,latency_s
mistral,squad,1024,baseline,Which NFL team represented the AFC at Super Bowl 50?, The Denver Broncos represented the AFC at Super Bowl 50.,Denver Broncos,0.7354,False,3.86
mistral,squad,1024,baseline,Which NFL team represented the NFC at Super Bowl 50?, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,Carolina Panthers,0.8891,False,2.48
mistral,squad,1024,baseline,Where did Super Bowl 50 take place?," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.","Santa Clara, California",0.9533,False,2.82
mistral,squad,1024,baseline,Which NFL team won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,2.79
mistral,squad,1024,baseline,What color was used to emphasize the 50th anniversary of the Super Bowl?, Gold,gold,1.0,False,1.73
mistral,squad,1024,baseline,What was the theme of Super Bowl 50?," The provided context does not explicitly mention the theme of Super Bowl 50. However, it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives for the game. So, one could infer that the theme might have been related to gold or anniversaries, but the text does not provide a definitive answer.","""golden anniversary""",0.6372,False,5.06
mistral,squad,1024,baseline,What day was the game played on?," The game was played on February 1, 2016.","February 7, 2016",0.884,False,4.96
mistral,squad,1024,baseline,What is the AFC short for?, The AFC in the provided context stands for American Football Conference.,American Football Conference,0.995,False,3.5
mistral,squad,1024,baseline,What was the theme of Super Bowl 50?," The provided context does not mention any specific theme for Super Bowl 50 other than it emphasizing the ""golden anniversary"" with various gold-themed initiatives.","""golden anniversary""",0.7738,False,4.37
mistral,squad,1024,baseline,What does AFC stand for?," The context does not provide a direct definition for what AFC stands for. However, given the context of the National Football League (NFL) and the discussion about the American Football Conference (AFC), it can be inferred that AFC stands for ""American Football Conference.""",American Football Conference,0.7821,False,6.2
mistral,squad,1024,baseline,What day was the Super Bowl played on?," The Super Bowl was played on February 7, 2016.","February 7, 2016",0.8567,False,4.03
