embedder,pair_id,set_type,question,ground_truth,faithfulness_score,is_hallucination,answer_span_present,reencoded_mean_query_sim,reencoded_ccs,n_passages
minilm,fix01_26c450a6107b,high_ccs,What clothing company was a Super Bowl sponsor?,Gap,0.7695,False,False,0.5086783175438507,0.633565331345006,3
minilm,fix01_26c450a6107b,low_ccs,What clothing company was a Super Bowl sponsor?,Gap,0.5531,False,False,0.5016440495162358,0.17109949997491505,3
minilm,fix01_c3f0d64bf2c3,high_ccs,When did Tesla's father die?,1879,0.6252,False,True,0.615714218438591,0.6378461156082746,3
minilm,fix01_c3f0d64bf2c3,low_ccs,When did Tesla's father die?,1879,0.6039,False,False,0.6084286378890694,0.3513751399449301,3
minilm,fix01_11f04d13ba15,high_ccs,This was the first time that the Carolina team faced what in the post season?,a deficit.,0.597,False,False,0.3482988157267415,0.7431583173846807,3
minilm,fix01_11f04d13ba15,low_ccs,This was the first time that the Carolina team faced what in the post season?,a deficit.,0.5712,False,True,0.34671684326048774,0.15646342984255598,3
minilm,fix01_86b690485506,high_ccs,What has been the result of this publicity?,increased scrutiny on teacher misconduct,0.4942,True,False,0.21083560531439008,0.479484520189583,3
minilm,fix01_86b690485506,low_ccs,What has been the result of this publicity?,increased scrutiny on teacher misconduct,0.5957,False,False,0.21879735116579915,-0.17890951303021685,3
minilm,fix01_cce15f557ccc,high_ccs,Who scored the first points for Denver?,Brandon McManus,0.8167,False,False,0.5093523286473345,0.765632943250123,3
minilm,fix01_cce15f557ccc,low_ccs,Who scored the first points for Denver?,Brandon McManus,0.8599,False,True,0.5003151976240431,0.20306939873522661,3
minilm,fix01_30360fe55536,high_ccs,What is the concrete choice typically assumed by most complexity-theoretic theorems?,input encoding,0.6915,False,False,0.5616217677821721,0.7816517014475971,3
minilm,fix01_30360fe55536,low_ccs,What is the concrete choice typically assumed by most complexity-theoretic theorems?,input encoding,0.6536,False,False,0.5657702912646131,0.27084938407659503,3
minilm,fix01_ca56dd58f99a,high_ccs,Complexity theory seeks to define the relationship between the scale of algorithms with respect to what other variable?,an increase in the input size,0.6358,False,False,0.486633167709321,0.6682806168810123,3
minilm,fix01_ca56dd58f99a,low_ccs,Complexity theory seeks to define the relationship between the scale of algorithms with respect to what other variable?,an increase in the input size,0.529,False,False,0.4894142649031721,0.3037781106502703,3
minilm,fix01_eb7c8d237540,high_ccs,Who wrote a resounding letter to the elector praising Luther?,Jerome Schurf,0.6201,False,False,0.5102411339773758,0.6384729780412213,3
minilm,fix01_eb7c8d237540,low_ccs,Who wrote a resounding letter to the elector praising Luther?,Jerome Schurf,0.8312,False,False,0.5076767142595976,0.24178055115075223,3
minilm,fix01_309833205de9,high_ccs,"What took place in his lab in 1895, causing him to lose thousands of dollars of data and tools? ",5th Avenue laboratory fire of March 1895,0.4761,True,True,0.4074050660937734,0.7018272310013146,3
minilm,fix01_309833205de9,low_ccs,"What took place in his lab in 1895, causing him to lose thousands of dollars of data and tools? ",5th Avenue laboratory fire of March 1895,0.4761,True,True,0.41196721640890305,0.2881473872891017,3
minilm,fix01_4f1e15899ff9,high_ccs,What did Luther write as an outline of the new faith?,two catechisms,0.5901,False,False,0.6168951741698807,0.7350705284393451,3
minilm,fix01_4f1e15899ff9,low_ccs,What did Luther write as an outline of the new faith?,two catechisms,0.5346,False,False,0.6027260542100482,0.4144045819177548,3
minilm,fix01_0ea7842f88d9,high_ccs,What kingdom annexed Warsaw in 1796?,Prussia,0.6391,False,False,0.43913675349060455,0.6742707624798001,3
minilm,fix01_0ea7842f88d9,low_ccs,What kingdom annexed Warsaw in 1796?,Prussia,0.6783,False,False,0.43754252465937427,0.24992929762853233,3
minilm,fix01_867718e9a234,high_ccs,What began in 1527 when Luther introdued the new order of worship?,visitation of the Electorate,0.4029,True,False,0.5316141456733093,0.6799696078356907,3
minilm,fix01_867718e9a234,low_ccs,What began in 1527 when Luther introdued the new order of worship?,visitation of the Electorate,0.6732,False,False,0.5340460543607309,0.35032822216701054,3
minilm,fix01_e95e623b0027,high_ccs,What class sizes can make keeping order difficult?,40 to 50 students,0.5299,False,False,0.24555675142244357,0.6318223334822735,3
minilm,fix01_e95e623b0027,low_ccs,What class sizes can make keeping order difficult?,40 to 50 students,0.6855,False,False,0.24315823384994853,-0.1113079777410099,3
minilm,fix01_09931c8df3d2,high_ccs,How many other important people sent letters?,more than 70,0.8207,False,True,0.22467899738722094,0.5397517125175436,3
minilm,fix01_09931c8df3d2,low_ccs,How many other important people sent letters?,more than 70,0.8622,False,False,0.2220056779055277,-0.13506545872966855,3
minilm,fix01_4265a77fda33,high_ccs,What year did Tesla die? ,1943,0.748,False,False,0.5919148104079451,0.5980016242420738,3
minilm,fix01_4265a77fda33,low_ccs,What year did Tesla die? ,1943,0.748,False,False,0.5880866449411434,0.33386299987812845,3
minilm,fix01_85a14992364a,high_ccs,Besides the radicals who else did Luther have to deal with?,established Church,0.621,False,False,0.5497721273027621,0.6324236701667542,3
minilm,fix01_85a14992364a,low_ccs,Besides the radicals who else did Luther have to deal with?,established Church,0.5452,False,False,0.5514770065989821,0.3102331302566823,3
minilm,fix01_f7da5050a5c9,high_ccs,What did the General Conference on Weights and Measures name after Tesla in 1960?,SI unit of magnetic flux density,0.6413,False,False,0.4771916206224069,0.677156723953328,3
minilm,fix01_f7da5050a5c9,low_ccs,What did the General Conference on Weights and Measures name after Tesla in 1960?,SI unit of magnetic flux density,0.7808,False,True,0.47913802428105806,0.32035771760293763,3
minilm,fix01_105f312ca7a1,high_ccs,What is the city centre of Warsaw called in Polish?,Śródmieście,0.6097,False,False,0.5400601323315176,0.6742707624798001,3
minilm,fix01_105f312ca7a1,low_ccs,What is the city centre of Warsaw called in Polish?,Śródmieście,0.6002,False,False,0.5582946093660522,0.2596678530618303,3
minilm,fix01_3e902a96d612,high_ccs,"In the article's title, what did the machine hope to end?",War,0.6406,False,False,0.3191759989912302,0.6825535957870591,3
minilm,fix01_3e902a96d612,low_ccs,"In the article's title, what did the machine hope to end?",War,0.6671,False,False,0.3062792972794412,-0.08210682139914224,3
minilm,fix01_5eecd47ef390,high_ccs,Where was Tesla's property sent?,Belgrade,0.5937,False,False,0.5908950744408803,0.713975882738123,3
minilm,fix01_5eecd47ef390,low_ccs,Where was Tesla's property sent?,Belgrade,0.427,True,True,0.5913875498306863,0.2946760990877931,3
minilm,fix01_ff89bfb9b47e,high_ccs,How many Panthers players were chosen for the 2015 season's Pro Bowl?,Ten,0.4455,True,False,0.45128369459581247,0.7753184636916751,3
minilm,fix01_ff89bfb9b47e,low_ccs,How many Panthers players were chosen for the 2015 season's Pro Bowl?,Ten,0.6627,False,False,0.45758107422792343,0.1837690332747699,3
minilm,fix01_c8446644f515,high_ccs,In what year did Nikola Tesla emigrate to the United States?,1884,1.0,False,True,0.6390077107013498,0.7286523184477068,3
minilm,fix01_c8446644f515,low_ccs,In what year did Nikola Tesla emigrate to the United States?,1884,1.0,False,True,0.6216204450452967,0.4285093276510619,3
minilm,fix01_d0ac2d7e8e3c,high_ccs,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,0.5546,False,False,0.47945133638684584,0.745140723807427,3
minilm,fix01_d0ac2d7e8e3c,low_ccs,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,0.5187,False,False,0.46610239384295843,0.18143422989953897,3
minilm,fix01_45e3c5a33542,high_ccs,A function problem is an example of what?,a computational problem,0.6251,False,True,0.34015554803775533,0.6831242560808763,3
minilm,fix01_45e3c5a33542,low_ccs,A function problem is an example of what?,a computational problem,0.3838,True,False,0.3413798919962063,0.23101533781638087,3
minilm,fix01_1daf255799cb,high_ccs,What did Tesla Electric Light & Manufacturing do?,installed electrical arc light based illumination systems,0.6138,False,False,0.5590933204369714,0.7286523184477068,3
minilm,fix01_1daf255799cb,low_ccs,What did Tesla Electric Light & Manufacturing do?,installed electrical arc light based illumination systems,0.5943,False,False,0.5577850865223117,0.3553319467397833,3
minilm,fix01_86648ef58d04,high_ccs,What beverage company signed a contract allowing them to broadcast ads at a discount?,Anheuser-Busch InBev,0.5579,False,False,0.2705454290514811,0.5344673644273715,3
minilm,fix01_86648ef58d04,low_ccs,What beverage company signed a contract allowing them to broadcast ads at a discount?,Anheuser-Busch InBev,0.6961,False,False,0.26873636688115693,-0.15760012007573665,3
minilm,fix01_32489bbe2580,high_ccs,"Who called their system the ""Tesla Polyphase System""?",Westinghouse Electric,0.5325,False,False,0.3611270470073726,0.6621777268802689,3
minilm,fix01_32489bbe2580,low_ccs,"Who called their system the ""Tesla Polyphase System""?",Westinghouse Electric,0.6465,False,True,0.3691785103567496,0.25901494668780667,3
minilm,fix01_fe1b54072288,high_ccs,What date did Tesla begin his Colorado Springs experiments?,15 June 1899,0.5619,False,False,0.5467996824633778,0.7018272310013146,3
minilm,fix01_fe1b54072288,low_ccs,What date did Tesla begin his Colorado Springs experiments?,15 June 1899,0.5074,False,False,0.540245011558426,0.28617824234427425,3
minilm,fix01_bfad961c515b,high_ccs,What was the teacher's role while the child was with them?,substitute parent,0.9042,False,False,0.4371384738528325,0.6704627336859872,3
minilm,fix01_bfad961c515b,low_ccs,What was the teacher's role while the child was with them?,substitute parent,0.7853,False,True,0.43387322101749665,0.20100598534247127,3
minilm,fix01_ba97c1d670e0,high_ccs,When did the San Francisco Bay area last host the Super Bowl?,1985,0.6168,False,False,0.4663728956967524,0.6491853824139715,3
