question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,quant,model_tag
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.6528,False,-1.0,6.02,squad,q4_0,mistral:latest
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v1,0.7354,False,0.6494,False,-1.0,1.43,squad,q4_0,mistral:latest
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v2,0.7354,False,0.6528,False,0.5818,3.43,squad,q4_0,mistral:latest
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The National Football Conference (NFC) champion Carolina Panthers represented the NFC at Super Bowl 50.,baseline,0.8005,False,0.6629,False,-1.0,1.25,squad,q4_0,mistral:latest
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," I cannot find this information in the provided context. The context only mentions that the Denver Broncos joined a list of four teams with eight Super Bowl appearances, but it does not specify which conference they represented at Super Bowl 50.",hcpc_v1,0.4743,True,0.6336,False,-1.0,2.76,squad,q4_0,mistral:latest
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v2,0.8891,False,0.6629,False,0.5818,3.55,squad,q4_0,mistral:latest
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.9459,False,0.6594,False,-1.0,1.81,squad,q4_0,mistral:latest
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context does not specify where Super Bowl 50 took place. However, it mentions that it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, suggesting that it might have taken place in or around San Francisco.",hcpc_v1,0.6283,False,0.6198,False,-1.0,3.37,squad,q4_0,mistral:latest
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.9459,False,0.6594,False,0.6125,3.67,squad,q4_0,mistral:latest
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6974,False,-1.0,1.46,squad,q4_0,mistral:latest
Which NFL team won Super Bowl 50?,Denver Broncos," I cannot find this information in the provided context. The context only mentions that Denver Broncos joined a list of teams with 8 Super Bowl appearances, but it does not specify whether they won Super Bowl 50.",hcpc_v1,0.4896,True,0.662,False,-1.0,2.62,squad,q4_0,mistral:latest
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6974,False,0.5818,3.2,squad,q4_0,mistral:latest
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,baseline,1.0,False,0.532,False,-1.0,1.01,squad,q4_0,mistral:latest
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v1,1.0,False,0.6462,False,-1.0,1.16,squad,q4_0,mistral:latest
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v2,1.0,False,0.5273,True,0.593,2.92,squad,q4_0,mistral:latest
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly state the theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, a more specific theme might have been announced at a later date or through additional sources.",baseline,0.615,False,0.5612,False,-1.0,3.08,squad,q4_0,mistral:latest
What was the theme of Super Bowl 50?,"""golden anniversary"""," I cannot find this information in the provided context. The context only mentions that the league planned to make Super Bowl 50 spectacular and important, but it does not provide any details about the theme.",hcpc_v1,0.6744,False,0.6172,False,-1.0,2.61,squad,q4_0,mistral:latest
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify an explicit theme for Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, a theme beyond this golden anniversary is not explicitly stated in the given context.",hcpc_v2,0.5268,False,0.5612,False,0.5368,4.87,squad,q4_0,mistral:latest
What day was the game played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",baseline,0.8567,False,0.4467,False,-1.0,2.8,squad,q4_0,mistral:latest
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",hcpc_v1,0.8967,False,0.5486,False,-1.0,1.32,squad,q4_0,mistral:latest
What day was the game played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v2,0.8567,False,0.4467,False,0.4944,2.48,squad,q4_0,mistral:latest
What is the AFC short for?,American Football Conference," The provided context does not specify what AFC stands for, but in the context of American football, it typically stands for ""American Football Conference.""",baseline,0.7184,False,0.4516,False,-1.0,2.89,squad,q4_0,mistral:latest
What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, in American football, AFC typically stands for the American Football Conference.",hcpc_v1,0.6381,False,0.4938,False,-1.0,1.63,squad,q4_0,mistral:latest
What is the AFC short for?,American Football Conference," The provided context does not specify what AFC stands for in this context. However, in general, AFC stands for American Football Conference.",hcpc_v2,0.7835,False,0.4532,True,0.4128,2.37,squad,q4_0,mistral:latest
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly state the theme of Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. So, one could infer that the theme might have been related to the golden anniversary or celebrating the 50th Super Bowl. However, without additional context or specific confirmation, it's not possible to definitively say what the exact theme was.",baseline,0.6105,False,0.5612,False,-1.0,6.42,squad,q4_0,mistral:latest
What was the theme of Super Bowl 50?,"""golden anniversary"""," I cannot find this information in the provided context. The context only mentions that the game would prominently feature Arabic numerals 50 and that it was planned to be spectacular, but it does not provide any details about the theme of Super Bowl 50.",hcpc_v1,0.6537,False,0.6172,False,-1.0,3.29,squad,q4_0,mistral:latest
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly state the theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. So, one could infer that the theme might have been related to the golden anniversary or celebrating the 50th Super Bowl. However, without additional context or specific confirmation, it's not possible to definitively say what the exact theme was.",hcpc_v2,0.5994,False,0.5612,False,0.5368,6.43,squad,q4_0,mistral:latest
What does AFC stand for?,American Football Conference," The context does not provide information about what AFC stands for. However, in American football, AFC typically stands for ""American Football Conference.""",baseline,0.6053,False,0.4266,False,-1.0,2.91,squad,q4_0,mistral:latest
What does AFC stand for?,American Football Conference," The context does not provide information about what AFC stands for. However, in American football, AFC typically refers to the American Football Conference.",hcpc_v1,0.631,False,0.476,False,-1.0,1.62,squad,q4_0,mistral:latest
What does AFC stand for?,American Football Conference," The context does not provide information about what AFC stands for. However, in American football, AFC typically stands for the American Football Conference.",hcpc_v2,0.6381,False,0.4281,True,0.4128,2.47,squad,q4_0,mistral:latest
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",baseline,0.8567,False,0.6707,False,-1.0,2.85,squad,q4_0,mistral:latest
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v1,0.8567,False,0.6716,False,-1.0,1.38,squad,q4_0,mistral:latest
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v2,0.8567,False,0.6707,False,0.4944,2.55,squad,q4_0,mistral:latest
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6567,False,-1.0,3.14,squad,q4_0,mistral:latest
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v1,0.9247,False,0.6005,False,-1.0,1.15,squad,q4_0,mistral:latest
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6567,False,0.4918,2.98,squad,q4_0,mistral:latest
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.6918,False,0.6649,False,-1.0,2.92,squad,q4_0,mistral:latest
What venue did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that it is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, and the first in California since Super Bowl XXXVII took place in San Diego in 2003, but it does not specify the venue for Super Bowl 50.",hcpc_v1,0.5389,False,0.6201,False,-1.0,4.4,squad,q4_0,mistral:latest
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.6918,False,0.6649,False,0.6125,2.9,squad,q4_0,mistral:latest
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",baseline,0.9421,False,0.6626,False,-1.0,3.64,squad,q4_0,mistral:latest
What city did Super Bowl 50 take place in?,Santa Clara," The provided context does not specify the exact city where Super Bowl 50 took place, but it was held in the San Francisco Bay Area.",hcpc_v1,0.6882,False,0.616,False,-1.0,1.95,squad,q4_0,mistral:latest
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",hcpc_v2,0.9421,False,0.6626,False,0.6125,3.46,squad,q4_0,mistral:latest
