question,answer,context,retrieved_docs,latency_s,ground_truth,faithfulness_score,is_hallucination,chunk_size,top_k,prompt_strategy
Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?," Yes, according to the provided context, it appears that mitochondria do play a role in remodeling lace plant leaves during programmed cell death (PCD). The text states that treatment resulted in lace plant leaves with significantly lower numbers of perforations and mitochondrial dynamics similar to those of non-PCD cells. Additionally, the study delineated mitochondrial dynamics during PCD in the lace plant and showed a gradient of fragmented nuclear DNA (nDNA) associated with these mitochondrial stages, suggesting a role for mitochondria in this process.",". This treatment resulted in lace plant leaves with a significantly lower number of perforations compared to controls, and that displayed mitochondrial dynamics similar to that of non-PCD cells.

---

. The role of mitochondria during PCD has been recognized in animals; however, it has been less studied during PCD in plants. The following paper elucidates the role of mitochondrial dynamics during developmentally regulated PCD in vivo in A

---

Programmed cell death (PCD) is the regulated death of cells within an organism. The lace plant (Aponogeton madagascariensis) produces perforations in its leaves through PCD

---

. Window stage leaves were stained with the mitochondrial dye MitoTracker Red CMXRos and examined. Mitochondrial dynamics were delineated into four categories (M1-M4) based on characteristics including distribution, motility, and membrane potential (ΔΨm)

---

. A TUNEL assay showed fragmented nDNA in a gradient over these mitochondrial stages. Chloroplasts and transvacuolar strands were also examined using live cell imaging","[Document(metadata={'paper_id': '0', 'title': 'Do mitochondria play a role in remodelling lace plant leaves'}, page_content='. This treatment resulted in lace plant leaves with a significantly lower number of perforations compared to controls, and that displayed mitochondrial dynamics similar to that of non-PCD cells.'), Document(metadata={'paper_id': '0', 'title': 'Do mitochondria play a role in remodelling lace plant leaves'}, page_content='. The role of mitochondria during PCD has been recognized in animals; however, it has been less studied during PCD in plants. The following paper elucidates the role of mitochondrial dynamics during developmentally regulated PCD in vivo in A'), Document(metadata={'title': 'Do mitochondria play a role in remodelling lace plant leaves', 'paper_id': '0'}, page_content='Programmed cell death (PCD) is the regulated death of cells within an organism. The lace plant (Aponogeton madagascariensis) produces perforations in its leaves through PCD'), Document(metadata={'title': 'Do mitochondria play a role in remodelling lace plant leaves', 'paper_id': '0'}, page_content='. Window stage leaves were stained with the mitochondrial dye MitoTracker Red CMXRos and examined. Mitochondrial dynamics were delineated into four categories (M1-M4) based on characteristics including distribution, motility, and membrane potential (ΔΨm)'), Document(metadata={'title': 'Do mitochondria play a role in remodelling lace plant leaves', 'paper_id': '0'}, page_content='. A TUNEL assay showed fragmented nDNA in a gradient over these mitochondrial stages. Chloroplasts and transvacuolar strands were also examined using live cell imaging')]",7.79,"Results depicted mitochondrial dynamics in vivo as PCD progresses within the lace plant, and highlight the correlation of this organelle with other organelles during developmental PCD. To the best of our knowledge, this is the first report of mitochondria and chloroplasts moving on transvacuolar strands to form a ring structure surrounding the nucleus during developmental PCD. Also, for the first time, we have shown the feasibility for the use of CsA in a whole plant system. Overall, our findings implicate the mitochondria as playing a critical and early role in developmentally regulated PCD in the lace plant.",0.6556,False,256,5,strict
Landolt C and snellen e acuity: differences in strabismus amblyopia?," The context provides that for the group with strabismus amblyopia, the differences between Landolt C acuity (LR) and Snellen E acuity (SE) were small. However, specific values or measurements comparing these differences in LR and SE for the strabismus amblyopia group are not explicitly stated in the provided context.",". 100 patients (age 8 - 90 years, median 60.5 years) with various eye disorders, among them 39 with amblyopia due to strabismus, and 13 healthy volunteers were tested

---

. In each one of these cases the improvement in visual acuity could not be attributed to treatment of other existing pathology. 12 such cases were detected. In nine of these the eye showing improvement of acuity had a history of amblyopia

---

. In the group of patients, the eyes with the lower visual acuity, and the right eyes of the healthy subjects, were evaluated. Differences between Landolt C acuity (LR) and Snellen E acuity (SE) were small

---

. The mean difference between LR and SE was 0.55 lines in the entire group and 0.55 lines for the eyes with strabismus amblyopia, with higher values of SE in both groups

---

. The mean improvement in distance and near acuity in amblyopic eyes by 12 months was 3.3 and 1.9 lines logMAR respectively","[Document(metadata={'paper_id': '1', 'title': 'Landolt C and snellen e acuity: differences in strabismus am'}, page_content='. 100 patients (age 8 - 90 years, median 60.5 years) with various eye disorders, among them 39 with amblyopia due to strabismus, and 13 healthy volunteers were tested'), Document(metadata={'title': 'Amblyopia: is visual loss permanent?', 'paper_id': '25'}, page_content='. In each one of these cases the improvement in visual acuity could not be attributed to treatment of other existing pathology. 12 such cases were detected. In nine of these the eye showing improvement of acuity had a history of amblyopia'), Document(metadata={'title': 'Landolt C and snellen e acuity: differences in strabismus am', 'paper_id': '1'}, page_content='. In the group of patients, the eyes with the lower visual acuity, and the right eyes of the healthy subjects, were evaluated. Differences between Landolt C acuity (LR) and Snellen E acuity (SE) were small'), Document(metadata={'paper_id': '1', 'title': 'Landolt C and snellen e acuity: differences in strabismus am'}, page_content='. The mean difference between LR and SE was 0.55 lines in the entire group and 0.55 lines for the eyes with strabismus amblyopia, with higher values of SE in both groups'), Document(metadata={'paper_id': '25', 'title': 'Amblyopia: is visual loss permanent?'}, page_content='. The mean improvement in distance and near acuity in amblyopic eyes by 12 months was 3.3 and 1.9 lines logMAR respectively')]",5.96,"Using the charts described, there was only a slight overestimation of visual acuity by the Snellen E compared to the Landolt C, even in strabismus amblyopia. Small differences in the lower visual acuity range have to be considered.",0.5081,False,256,5,strict
"Syncope during bathing in infants, a pediatric form of water-induced urticaria?"," Yes, based on the provided context, it appears that some infants experience troubles associated with bathing, which could be symptoms of a form of water-induced urticaria. However, the text does not explicitly mention syncope (fainting) during bathing.",". The hypothesis of an equivalent of aquagenic urticaria was then considered; as for patients with this disease, each infant's family contained members suffering from dermographism, maladies or eruption after exposure to water or sun

---

. All six infants had dermographism. We found an increase in blood histamine levels after a trial bath in the two infants tested. The evolution of these ""aquagenic maladies"" was favourable after a few weeks without baths

---

. Eight infants aged 2 to 15 months were admitted during a period of 6 years; they suffered from similar maladies in the bath: on immersion, they became pale, hypotonic, still and unreactive; recovery took a few seconds after withdrawal from the bath and

---

. After a 2-7 year follow-up, three out of seven infants continue to suffer from troubles associated with sun or water.

---

from the bath and stimulation","[Document(metadata={'paper_id': '2', 'title': 'Syncope during bathing in infants, a pediatric form of water'}, page_content="". The hypothesis of an equivalent of aquagenic urticaria was then considered; as for patients with this disease, each infant's family contained members suffering from dermographism, maladies or eruption after exposure to water or sun""), Document(metadata={'paper_id': '2', 'title': 'Syncope during bathing in infants, a pediatric form of water'}, page_content='. All six infants had dermographism. We found an increase in blood histamine levels after a trial bath in the two infants tested. The evolution of these ""aquagenic maladies"" was favourable after a few weeks without baths'), Document(metadata={'paper_id': '2', 'title': 'Syncope during bathing in infants, a pediatric form of water'}, page_content='. Eight infants aged 2 to 15 months were admitted during a period of 6 years; they suffered from similar maladies in the bath: on immersion, they became pale, hypotonic, still and unreactive; recovery took a few seconds after withdrawal from the bath and'), Document(metadata={'paper_id': '2', 'title': 'Syncope during bathing in infants, a pediatric form of water'}, page_content='. After a 2-7 year follow-up, three out of seven infants continue to suffer from troubles associated with sun or water.'), Document(metadata={'paper_id': '2', 'title': 'Syncope during bathing in infants, a pediatric form of water'}, page_content='from the bath and stimulation')]",5.01,"""Aquagenic maladies"" could be a pediatric form of the aquagenic urticaria.",0.5527,False,256,5,strict
Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?," I cannot find this information in the provided context as it does not specify whether there is an equality in the long-term results between the transanal and transabdominal pull-through procedures. The text mentions differences in peritoneal opening, operative time, and blood loss, but not the long-term outcomes.",". This study examined the long-term outcome of TERPT versus conventional transabdominal (ABD) pull-through for HD

---

The transanal endorectal pull-through (TERPT) is becoming the most popular procedure in the treatment of Hirschsprung disease (HD), but overstretching of the anal sphincters remains a critical issue that may impact the continence

---

. Records of 41 patients more than 3 years old who underwent a pull-through for HD (TERPT, n = 20; ABD, n = 21) were reviewed, and their families were thoroughly interviewed and scored via a 15-item post-pull-through long-term outcome questionnaire

---

. A further development of SLT, the in situ split technique, is derived from LRT, which itself marks the optimized outcome in terms of postoperative graft function and survival

---

. There was statistical difference between groups A and B for peritoneal opening (p = 0.025), operative time (p = 0.0037), and blood loss (p = 0.026)","[Document(metadata={'title': 'Are the long-term results of the transanal pull-through equa', 'paper_id': '3'}, page_content='. This study examined the long-term outcome of TERPT versus conventional transabdominal (ABD) pull-through for HD'), Document(metadata={'title': 'Are the long-term results of the transanal pull-through equa', 'paper_id': '3'}, page_content='The transanal endorectal pull-through (TERPT) is becoming the most popular procedure in the treatment of Hirschsprung disease (HD), but overstretching of the anal sphincters remains a critical issue that may impact the continence'), Document(metadata={'paper_id': '3', 'title': 'Are the long-term results of the transanal pull-through equa'}, page_content='. Records of 41 patients more than 3 years old who underwent a pull-through for HD (TERPT, n = 20; ABD, n = 21) were reviewed, and their families were thoroughly interviewed and scored via a 15-item post-pull-through long-term outcome questionnaire'), Document(metadata={'title': 'Is there still a need for living-related liver transplantati', 'paper_id': '16'}, page_content='. A further development of SLT, the in situ split technique, is derived from LRT, which itself marks the optimized outcome in terms of postoperative graft function and survival'), Document(metadata={'title': 'Is there a model to teach and practice retroperitoneoscopic ', 'paper_id': '18'}, page_content='. There was statistical difference between groups A and B for peritoneal opening (p = 0.025), operative time (p = 0.0037), and blood loss (p = 0.026)')]",5.86,"Our long-term study showed significantly better (2-fold) results regarding the continence score for the abdominal approach compared with the transanal pull-through. The stool pattern and enterocolitis scores were somewhat better for the TERPT group. These findings raise an important issue about the current surgical management of HD; however, more cases will need to be studied before a definitive conclusion can be drawn.",0.4198,True,256,5,strict
Can tailored interventions increase mammography use among HMO women?," Yes, according to the provided context, both tailored telephone counseling and tailored print materials have shown potential in increasing mammography use. However, the specific mention of HMO (Health Maintenance Organization) women is not addressed directly in the context. Therefore, while it can be inferred that they might also benefit from these interventions, the context does not provide definitive evidence for this claim regarding HMO women.",". Compared to usual care alone, telephone counseling promoted a significantly higher proportion of women having mammograms on schedule (71% vs 61%) than did tailored print (67% vs 61%) but only after the first year of intervention (during 1996)

---

. This study addressed the question: Compared to usual care, is tailored telephone counseling more effective than tailored print materials for promoting mammography screening? Three-year randomized field trial

---

. Adherence to mammography screening based on self-reports obtained during 1995, 1996, and 1997

---

Telephone counseling and tailored print communications have emerged as promising methods for promoting mammography screening

---

. However, there has been little research testing, within the same randomized field trial, of the efficacy of these two methods compared to a high-quality usual care system for enhancing screening","[Document(metadata={'paper_id': '4', 'title': 'Can tailored interventions increase mammography use among HM'}, page_content='. Compared to usual care alone, telephone counseling promoted a significantly higher proportion of women having mammograms on schedule (71% vs 61%) than did tailored print (67% vs 61%) but only after the first year of intervention (during 1996)'), Document(metadata={'title': 'Can tailored interventions increase mammography use among HM', 'paper_id': '4'}, page_content='. This study addressed the question: Compared to usual care, is tailored telephone counseling more effective than tailored print materials for promoting mammography screening? Three-year randomized field trial'), Document(metadata={'paper_id': '4', 'title': 'Can tailored interventions increase mammography use among HM'}, page_content='. Adherence to mammography screening based on self-reports obtained during 1995, 1996, and 1997'), Document(metadata={'paper_id': '4', 'title': 'Can tailored interventions increase mammography use among HM'}, page_content='Telephone counseling and tailored print communications have emerged as promising methods for promoting mammography screening'), Document(metadata={'paper_id': '4', 'title': 'Can tailored interventions increase mammography use among HM'}, page_content='. However, there has been little research testing, within the same randomized field trial, of the efficacy of these two methods compared to a high-quality usual care system for enhancing screening')]",6.42,"The effects of the intervention were most pronounced after the first intervention. Compared to usual care, telephone counseling seemed particularly effective at promoting change among nonadherent women, the group for whom the intervention was developed. These results suggest that telephone counseling, rather than tailored print, might be the preferred first-line intervention for getting nonadherent women on schedule for mammography screening. Many questions would have to be answered about why the tailored print intervention was not more powerful. Nevertheless, it is clear that additional interventions will be needed to maintain women's adherence to mammography. Medical Subject Headings (MeSH): mammography screening, telephone counseling, tailored print communications, barriers.",0.5315,False,256,5,strict
Double balloon enteroscopy: is it efficacious and safe in a community setting?," Based on the provided context, there is no explicit information about the efficacy and safety of double balloon enteroscopy (DBE) in a community setting. However, it is mentioned that 88 DBE procedures were performed from March 2007 to January 2011, indicating that DBE was being used in some capacity during this period. The indications for DBE included evaluation of anemia/gastrointestinal bleed, small bowel inflammatory bowel disease (IBD), and dilation of strictures. Endoscopic therapy such as electrocautery and biopsy were also performed in some cases. But the safety and efficacy specifically in a community setting are not directly addressed in the context provided.",". Video-capsule endoscopy (VCE) was used prior to DBE in 43 of the 66 patients prior to DBE evaluation. The mean age was 62 years. Thirty-two patients were female, 15 were African-American; 44 antegrade and 44 retrograde DBEs were performed

---

. We hope this will encourage prospective data collection, improvement of care and initiate strategies to establish best practice in this area. This was a retrospective study of patients who underwent emergency laparotomy from June 2010 to May 2012

---

From March 2007 to January 2011, 88 DBE procedures were performed on 66 patients. Indications included evaluation anemia/gastrointestinal bleed, small bowel IBD and dilation of strictures

---

Recent years have seen a rapid proliferation of emergency ultrasound (EUS) programs in the United States. To date, there is no evidence supporting that EUS fellowships enhance residents' ultrasound (US) educational experiences

---

. Endoscopic therapy in the form of electrocautery to ablate bleeding sources was performed in 20 patients (30.3%), biopsy in 17 patients (25.8%) and dilation of Crohn's-related small bowel strictures in 4 (6.1%)","[Document(metadata={'paper_id': '5', 'title': 'Double balloon enteroscopy: is it efficacious and safe in a '}, page_content='. Video-capsule endoscopy (VCE) was used prior to DBE in 43 of the 66 patients prior to DBE evaluation. The mean age was 62 years. Thirty-two patients were female, 15 were African-American; 44 antegrade and 44 retrograde DBEs were performed'), Document(metadata={'title': '30-Day and 1-year mortality in emergency general surgery lap', 'paper_id': '6'}, page_content='. We hope this will encourage prospective data collection, improvement of care and initiate strategies to establish best practice in this area. This was a retrospective study of patients who underwent emergency laparotomy from June 2010 to May 2012'), Document(metadata={'paper_id': '5', 'title': 'Double balloon enteroscopy: is it efficacious and safe in a '}, page_content='From March 2007 to January 2011, 88 DBE procedures were performed on 66 patients. Indications included evaluation anemia/gastrointestinal bleed, small bowel IBD and dilation of strictures'), Document(metadata={'title': 'Do emergency ultrasound fellowship programs impact emergency', 'paper_id': '14'}, page_content=""Recent years have seen a rapid proliferation of emergency ultrasound (EUS) programs in the United States. To date, there is no evidence supporting that EUS fellowships enhance residents' ultrasound (US) educational experiences""), Document(metadata={'paper_id': '5', 'title': 'Double balloon enteroscopy: is it efficacious and safe in a '}, page_content="". Endoscopic therapy in the form of electrocautery to ablate bleeding sources was performed in 20 patients (30.3%), biopsy in 17 patients (25.8%) and dilation of Crohn's-related small bowel strictures in 4 (6.1%)"")]",11.4,"DBE appears to be equally safe and effective when performed in the community setting as compared to a tertiary referral center with a comparable yield, efficacy, and complication rate.",0.619,False,256,5,strict
30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?," Yes, based on the provided context, 30-day mortality is associated with poorer outcomes and higher mortality rates in emergency general surgery laparotomies, with recent studies suggesting a rate of 14-15%. The study mentioned also focused on analyzing the 30-day mortality, age-related 30-day mortality, and 1-year all-cause mortality. Therefore, it is an area of concern and in need of improvement.",". The aim of this study was to analyse the 30-day mortality, age-related 30-day mortality and 1-year mortality following emergency laparotomy

---

. The primary end point of the study was 30-day mortality, age-related 30-day mortality and 1-year all-cause mortality. 477 laparotomies were performed in 446 patients. 57% were aged<70 and 43% aged>70 years

---

. We hope this will encourage prospective data collection, improvement of care and initiate strategies to establish best practice in this area. This was a retrospective study of patients who underwent emergency laparotomy from June 2010 to May 2012

---

Emergency surgery is associated with poorer outcomes and higher mortality with recent studies suggesting the 30-day mortality to be 14-15%

---

. We experienced five peritoneal openings; we had two surgical vascular complications managed laparoscopically","[Document(metadata={'paper_id': '6', 'title': '30-Day and 1-year mortality in emergency general surgery lap'}, page_content='. The aim of this study was to analyse the 30-day mortality, age-related 30-day mortality and 1-year mortality following emergency laparotomy'), Document(metadata={'title': '30-Day and 1-year mortality in emergency general surgery lap', 'paper_id': '6'}, page_content='. The primary end point of the study was 30-day mortality, age-related 30-day mortality and 1-year all-cause mortality. 477 laparotomies were performed in 446 patients. 57% were aged<70 and 43% aged>70 years'), Document(metadata={'paper_id': '6', 'title': '30-Day and 1-year mortality in emergency general surgery lap'}, page_content='. We hope this will encourage prospective data collection, improvement of care and initiate strategies to establish best practice in this area. This was a retrospective study of patients who underwent emergency laparotomy from June 2010 to May 2012'), Document(metadata={'paper_id': '6', 'title': '30-Day and 1-year mortality in emergency general surgery lap'}, page_content='Emergency surgery is associated with poorer outcomes and higher mortality with recent studies suggesting the 30-day mortality to be 14-15%'), Document(metadata={'title': 'Is there a model to teach and practice retroperitoneoscopic ', 'paper_id': '18'}, page_content='. We experienced five peritoneal openings; we had two surgical vascular complications managed laparoscopically')]",7.95,"Emergency laparotomy carries a high rate of mortality, especially in those over the age of 70 years, and more needs to be done to improve outcomes, particularly in this group. This could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.",0.6219,False,256,5,strict
Is adjustment for reporting heterogeneity necessary in sleep disorders?," Yes, according to the provided context, the study suggests that adjustment for reporting heterogeneity is necessary in the management of sleep and energy-related problems in Japan.",". The prevalence of self-reported problems with sleep and energy was 53 %. Without correction of cut-point shifts, age, sex, and the number of comorbidities were significantly associated with a greater severity of sleep-related problems

---

. This research uses vignettes to elucidate factors associated with sleep disorders in adult Japanese before and after adjustment for reporting heterogeneity in self-reports

---

. After correction, age, the number of comorbidities, and regular exercise were significantly associated with a greater severity of sleep-related problems; sex was no longer a significant factor

---

. This study also evaluates the need for adjusting for reporting heterogeneity in the management of sleep and energy related problems in Japan

---

. Information was also collected on demographic factors, psychological factors and the reporting of other frequently unexplained syndromes. An adjusted response rate of 72% was achieved","[Document(metadata={'title': 'Is adjustment for reporting heterogeneity necessary in sleep', 'paper_id': '7'}, page_content='. The prevalence of self-reported problems with sleep and energy was 53 %. Without correction of cut-point shifts, age, sex, and the number of comorbidities were significantly associated with a greater severity of sleep-related problems'), Document(metadata={'paper_id': '7', 'title': 'Is adjustment for reporting heterogeneity necessary in sleep'}, page_content='. This research uses vignettes to elucidate factors associated with sleep disorders in adult Japanese before and after adjustment for reporting heterogeneity in self-reports'), Document(metadata={'title': 'Is adjustment for reporting heterogeneity necessary in sleep', 'paper_id': '7'}, page_content='. After correction, age, the number of comorbidities, and regular exercise were significantly associated with a greater severity of sleep-related problems; sex was no longer a significant factor'), Document(metadata={'title': 'Is adjustment for reporting heterogeneity necessary in sleep', 'paper_id': '7'}, page_content='. This study also evaluates the need for adjusting for reporting heterogeneity in the management of sleep and energy related problems in Japan'), Document(metadata={'title': 'Are reports of mechanical dysfunction in chronic oro-facial ', 'paper_id': '24'}, page_content='. Information was also collected on demographic factors, psychological factors and the reporting of other frequently unexplained syndromes. An adjusted response rate of 72% was achieved')]",3.96,"Sleep disorders are common in the general adult population of Japan. Correction for reporting heterogeneity using anchoring vignettes is not a necessary tool for proper management of sleep and energy related problems among Japanese adults. Older age, gender differences in communicating sleep-related problems, the presence of multiple morbidities, and regular exercise should be the focus of policies and clinical practice to improve sleep and energy management in Japan.",0.4311,True,256,5,strict
Do mutations causing low HDL-C promote increased carotid intima-media thickness?," I cannot find this information in the provided context as it does not specify a correlation between mutations causing low HDL-C and increased carotid intima-media thickness. The text mentions that genetic HDL deficiency states often do not correlate with premature CHD, but it does not directly address the relationship between these mutations and carotid intima-media thickness.",". Carotid intima-media thickness (cIMT) measurements were obtained in cases comprising 10 different mutations in LCAT, ABCA1 and APOA1 to further evaluate the relationship between low HDL resulting from genetic variation and early atherosclerosis

---

Although observational data support an inverse relationship between high-density lipoprotein (HDL) cholesterol and coronary heart disease (CHD), genetic HDL deficiency states often do not correlate with premature CHD

---

. 1.58 mmol/l) and apolipoprotein A-I levels (96.7 vs. 151.4 mg/dl) (P<0.05)

---

. In a 1:2 case-control study of sex and age-related (+/-5 y) subjects (n=114), cIMT was nearly identical between cases (0.66+/-0.17 cm) and controls (0.65+/-0.18 cm) despite significantly lower HDL cholesterol (0.67 vs

---

. Overall, 79% of study participants were found to have at least one CVD risk factor. RHR was significantly associated with age, waist circumference, and BP","[Document(metadata={'paper_id': '8', 'title': 'Do mutations causing low HDL-C promote increased carotid int'}, page_content='. Carotid intima-media thickness (cIMT) measurements were obtained in cases comprising 10 different mutations in LCAT, ABCA1 and APOA1 to further evaluate the relationship between low HDL resulting from genetic variation and early atherosclerosis'), Document(metadata={'paper_id': '8', 'title': 'Do mutations causing low HDL-C promote increased carotid int'}, page_content='Although observational data support an inverse relationship between high-density lipoprotein (HDL) cholesterol and coronary heart disease (CHD), genetic HDL deficiency states often do not correlate with premature CHD'), Document(metadata={'paper_id': '8', 'title': 'Do mutations causing low HDL-C promote increased carotid int'}, page_content='. 1.58 mmol/l) and apolipoprotein A-I levels (96.7 vs. 151.4 mg/dl) (P<0.05)'), Document(metadata={'title': 'Do mutations causing low HDL-C promote increased carotid int', 'paper_id': '8'}, page_content='. In a 1:2 case-control study of sex and age-related (+/-5 y) subjects (n=114), cIMT was nearly identical between cases (0.66+/-0.17 cm) and controls (0.65+/-0.18 cm) despite significantly lower HDL cholesterol (0.67 vs'), Document(metadata={'title': 'Cardiovascular risk in a rural adult West African population', 'paper_id': '19'}, page_content='. Overall, 79% of study participants were found to have at least one CVD risk factor. RHR was significantly associated with age, waist circumference, and BP')]",6.88,Genetic variants identified in the present study may be insufficient to promote early carotid atherosclerosis.,0.4226,True,256,5,strict
A short stay or 23-hour ward in a general and academic children's hospital: are they effective?," Yes, according to the provided context, a short stay or 23-hour ward in both Westmead Hospital and The New Children's Hospital appears to be effective. They increased hospital efficiency by reducing the average length of stay, there were no reported adverse events, parental satisfaction was high, and they accounted for a significant percentage of admissions.","We evaluated the usefulness of a short stay or 23-hour ward in a pediatric unit of a large teaching hospital, Westmead Hospital, and an academic Children's hospital, The New Children's Hospital, to determine if they are a useful addition to the emergency

---

. The short stay ward increased hospital efficiency with an average length of stay of 17.5 hours (Westmead Hospital) compared to 20.5 hours (New Children's Hospital)

---

. There were no adverse events reported at either short stay ward, with parental satisfaction high. The short stay ward was developed through reallocation of resources from within the hospital to the short stay ward

---

. The users of the short stay ward were children of young age less than 2 years, with stay greater than 23 hours reported in only 1% of all admissions to the short stay ward

---

. The short stay ward accounted for 10.3% (Westmead Hospital) and 14.7% (New Children's Hospital) of admissions, with 56% medical in nature, 30% surgical, and the remainder procedural or psychological","[Document(metadata={'paper_id': '9', 'title': 'A short stay or 23-hour ward in a general and academic child'}, page_content=""We evaluated the usefulness of a short stay or 23-hour ward in a pediatric unit of a large teaching hospital, Westmead Hospital, and an academic Children's hospital, The New Children's Hospital, to determine if they are a useful addition to the emergency""), Document(metadata={'title': 'A short stay or 23-hour ward in a general and academic child', 'paper_id': '9'}, page_content="". The short stay ward increased hospital efficiency with an average length of stay of 17.5 hours (Westmead Hospital) compared to 20.5 hours (New Children's Hospital)""), Document(metadata={'title': 'A short stay or 23-hour ward in a general and academic child', 'paper_id': '9'}, page_content='. There were no adverse events reported at either short stay ward, with parental satisfaction high. The short stay ward was developed through reallocation of resources from within the hospital to the short stay ward'), Document(metadata={'paper_id': '9', 'title': 'A short stay or 23-hour ward in a general and academic child'}, page_content='. The users of the short stay ward were children of young age less than 2 years, with stay greater than 23 hours reported in only 1% of all admissions to the short stay ward'), Document(metadata={'paper_id': '9', 'title': 'A short stay or 23-hour ward in a general and academic child'}, page_content="". The short stay ward accounted for 10.3% (Westmead Hospital) and 14.7% (New Children's Hospital) of admissions, with 56% medical in nature, 30% surgical, and the remainder procedural or psychological"")]",6.23,This data demonstrates the robust nature of the short stay ward. At these two very different institutions we have shown improved bed efficient and patient care in a cost-effective way. We have also reported on greater parental satisfaction and early return of the child with their family to the community.,0.4412,True,256,5,strict
