question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,model
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,"According to the provided context, Vice-Admiral Iqbal Fazl Quadir was part of the flotilla that attacked the radar station in Dwarka, India. Therefore, the answer is ""Dwarka, India"".",baseline,0.9404,False,0.5217,False,-1.0,hotpotqa,llama3
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5011,False,-1.0,hotpotqa,llama3
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,"According to the provided context, Vice-Admiral Iqbal Fazl Quadir was part of the flotilla that attacked the radar station in Dwarka, India. Therefore, the answer is ""Dwarka, India"" (located on the western shore of the Okhamandal Peninsula).",hcpc_v2,0.8622,False,0.5217,True,0.1812,hotpotqa,llama3
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,"According to the provided context, the park at which Tivolis Koncertsal is located, Tivoli Gardens, opened on August 15, 1843.",baseline,0.6071,False,0.6046,False,-1.0,hotpotqa,llama3
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5715,False,-1.0,hotpotqa,llama3
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,"According to the provided context, the park at which Tivolis Koncertsal is located, Tivoli Gardens, opened on August 15, 1843.",hcpc_v2,0.6071,False,0.6046,False,0.4606,hotpotqa,llama3
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,"According to the provided context, both Art Laboe and Scout Tufankjian are Armenian-American. Therefore, the shared country of ancestry between them is Armenia.",baseline,0.7059,False,0.4265,False,-1.0,hotpotqa,llama3
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,"According to the provided context, both Art Laboe and Scout Tufankjian are Armenian-American. Therefore, their shared country of ancestry is Armenia.",hcpc_v1,0.7402,False,0.4105,False,-1.0,hotpotqa,llama3
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,"According to the provided context, both Art Laboe and Scout Tufankjian are Armenian-American. Therefore, the shared country of ancestry between them is Armenia.",hcpc_v2,0.7059,False,0.4265,True,0.1252,hotpotqa,llama3
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,"According to the provided context, the school in which the Wilmslow Show is held is a mixed-sex 11–18 comprehensive secondary school.",baseline,0.7354,False,0.5763,False,-1.0,hotpotqa,llama3
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,"According to the provided context, Wilmslow High School is a designated Centre of Excellence.",hcpc_v1,0.7538,False,0.5997,False,-1.0,hotpotqa,llama3
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,"According to the provided context, the school in which the Wilmslow Show is held is a mixed-sex 11–18 comprehensive secondary school.",hcpc_v2,0.7354,False,0.5753,True,0.1914,hotpotqa,llama3
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,"According to the provided context, Billy Howle will next be seen opposite Saoirse Ronan in the drama ""On Chesil Beach"".",baseline,0.9478,False,0.4522,False,-1.0,hotpotqa,llama3
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,"According to the provided context, Billy Howle will next be seen opposite Saoirse Ronan in the drama ""On Chesil Beach"".",hcpc_v1,0.9478,False,0.4514,False,-1.0,hotpotqa,llama3
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,"According to the provided context, Billy Howle will next be seen opposite Saoirse Ronan in the drama ""On Chesil Beach"".",hcpc_v2,0.9478,False,0.4526,True,0.2865,hotpotqa,llama3
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,I cannot find this information in the provided context.,baseline,0.5531,False,0.3942,False,-1.0,hotpotqa,llama3
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.4229,False,-1.0,hotpotqa,llama3
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.3942,False,0.0129,hotpotqa,llama3
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,I cannot find this information in the provided context.,baseline,0.5531,False,0.7012,False,-1.0,hotpotqa,llama3
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6784,False,-1.0,hotpotqa,llama3
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.7012,False,0.7209,hotpotqa,llama3
Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,"According to the provided context, Jack Andrew Lowden (born 2 June 1990) had his first major international onscreen success in the 2016 BBC miniseries ""War & Peace"". Therefore, the answer is ""War & Peace"".",baseline,0.6569,False,0.4425,False,-1.0,hotpotqa,llama3
Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,"According to the provided context, the actor who found success with the 2016 BBC miniseries ""War & Peace"" is not mentioned. Therefore, I cannot find this information in the provided context.",hcpc_v1,0.6127,False,0.487,False,-1.0,hotpotqa,llama3
Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,"According to the provided context, Jack Andrew Lowden (born 2 June 1990) had his first major international onscreen success in the 2016 BBC miniseries ""War & Peace"". Therefore, the answer is: War & Peace.",hcpc_v2,0.6097,False,0.447,True,0.2349,hotpotqa,llama3
"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,"According to the provided context, Midnight Oil is the rock band that chose its name by drawing it out of a hat.",baseline,0.8506,False,0.5509,False,-1.0,hotpotqa,llama3
"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5693,False,-1.0,hotpotqa,llama3
"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,"According to the provided context, Midnight Oil is the rock band that chose its name by drawing it out of a hat.",hcpc_v2,0.8506,False,0.5509,True,0.2547,hotpotqa,llama3
"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967,"According to the provided context, ""Tunak"" is a bhangra/pop love song by Indian artist Daler Mehndi released in 1998. Therefore, I can answer that ""Tunak"", is a bhangra/pop love song by an artist born in 1967 (since Daler Mehndi was born in 1967).",baseline,0.8368,False,0.4999,False,-1.0,hotpotqa,llama3
"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967,"According to the provided context, ""Tunak"" is a bhangra/pop love song by Indian artist Daler Mehndi released in 1998. Therefore, I can answer that ""Tunak"", is a bhangra/pop love song by an artist born in 1967 (since Daler Mehndi was born in 1967).",hcpc_v1,0.8368,False,0.5122,False,-1.0,hotpotqa,llama3
"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967,"According to the provided context, ""Tunak"" is a bhangra/pop love song by Indian artist Daler Mehndi released in 1998. Therefore, I can answer that ""Tunak"", is a bhangra/pop love song by an artist born in 1967 (assuming Daler Mehndi was born in 1967, which is not explicitly stated in the context).",hcpc_v2,0.7014,False,0.4999,True,0.2998,hotpotqa,llama3
Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill,Captain John Underhill.,baseline,0.4387,True,0.489,False,-1.0,hotpotqa,llama3
Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill,"According to the provided context, it was Captain John Underhill who launched a night attack on the village with a mixed force of 130 Dutch and English soldiers. This event led to more casualties than any other incident in the war fought between the settlers of New Netherland and the native Lenape population.",hcpc_v1,0.572,False,0.5212,False,-1.0,hotpotqa,llama3
Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill,Captain John Underhill.,hcpc_v2,0.4387,True,0.489,True,0.2461,hotpotqa,llama3
In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders,"According to the provided context, Emilio Estevez starred in ""The Outsiders"" in 1983, the same year as the film ""Nightmares"".",baseline,0.5682,False,0.5696,False,-1.0,hotpotqa,llama3
In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders,"According to the provided context, Emilio Estevez starred in ""The Breakfast Club"" (no specific year mentioned) and is also associated with the 1983 film ""Nightmares"". Therefore, I can conclude that Emilio Estevez starred in ""The Breakfast Club"" in the same year as Nightmares.",hcpc_v1,0.4014,True,0.6225,False,-1.0,hotpotqa,llama3
In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders,"According to the provided context, Emilio Estevez starred in ""The Outsiders"" in 1983, the same year as the film ""Nightmares"".",hcpc_v2,0.5682,False,0.5696,True,0.1683,hotpotqa,llama3
What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region,I cannot find this information in the provided context.,baseline,0.5531,False,0.4267,False,-1.0,hotpotqa,llama3
What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region,"I cannot find this information in the provided context. The context only mentions Eric S. Pistorius as a Circuit court Judge, but does not mention him working as an attorney or any specific business.",hcpc_v1,0.6948,False,0.4305,False,-1.0,hotpotqa,llama3
What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region,"I cannot find this information in the provided context. The context only mentions Eric S. Pistorius as a Circuit court Judge of the Seventh Circuit of Illinois, and previously as an attorney at law specializing in personal injury, litigation, criminal defense, and collections. There is no mention of him working for any specific business after being an attorney.",hcpc_v2,0.6529,False,0.4265,True,0.2017,hotpotqa,llama3
Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung,I cannot find this information in the provided context.,baseline,0.5531,False,0.4282,False,-1.0,hotpotqa,llama3
Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.4305,False,-1.0,hotpotqa,llama3
Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.4282,True,0.1265,hotpotqa,llama3
Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes,I cannot find this information in the provided context.,baseline,0.5531,False,0.5402,False,-1.0,hotpotqa,llama3
Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes,"I cannot find this information in the provided context. The context only mentions Stefan Edberg's achievements and rivalries, but does not provide any information about his total number of wins or comparisons to other players like Édouard Roger-Vasselin.",hcpc_v1,0.5296,False,0.5513,False,-1.0,hotpotqa,llama3
Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.5402,False,0.726,hotpotqa,llama3
" Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ,"According to the provided context, Jason Regler stated that he had the idea for the flashing wristbands while at a Coldplay concert, during the song ""Fix You"". Therefore, the answer is:

""piano"" (since there is no mention of any other instrument in the context)",baseline,0.6407,False,0.306,False,-1.0,hotpotqa,llama3
" Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ,"According to the provided context, Jason Regler stated that he had the idea for the flashing wristbands while at a Coldplay concert, during the song ""Fix You"". Therefore, the answer is:

Piano",hcpc_v1,0.5081,False,0.5093,False,-1.0,hotpotqa,llama3
" Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ,"According to the provided context, Jason Regler stated that he had the idea for the flashing wristbands while at a Coldplay concert, during the song ""Fix You"".",hcpc_v2,0.4296,True,0.3044,True,0.1366,hotpotqa,llama3
 The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,the George Washington Bridge,"I can answer that! According to the provided context, The Soul of Buddha was shot at the Fox Studio in Fort Lee, New Jersey. Fort Lee is a borough located in Bergen County, which is the western terminus of the Hudson River.",baseline,0.7459,False,0.5201,False,-1.0,hotpotqa,llama3
 The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,the George Washington Bridge,"I can find this information in the provided context!

According to the context, The Soul of Buddha was shot at the Fox Studio in Fort Lee, New Jersey. Fort Lee is a borough in Bergen County, and it's the western terminus of the Hudson River.",hcpc_v1,0.6536,False,0.5201,False,-1.0,hotpotqa,llama3
 The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,the George Washington Bridge,"I can answer that! According to the provided context, The Soul of Buddha was shot at the Fox Studio in Fort Lee, New Jersey. Fort Lee is a borough in Bergen County, and it's the western terminus of the Hudson River.",hcpc_v2,0.6881,False,0.5201,True,0.2703,hotpotqa,llama3
"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort,"According to the provided context, neither Kelvin Gastelum nor Samuel Alvey are mentioned as being associated with The Blackzilians. Therefore, I cannot find this information in the provided context.

However, it is worth noting that both Gastelum and Alvey are currently competing in the Middleweight division of the Ultimate Fighting Championship (UFC), but there is no connection between them and The Blackzilians mentioned in the provided context.",baseline,0.5246,False,0.6205,False,-1.0,hotpotqa,llama3
"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort,"Based on the provided context, I can answer that Gastelum and Alvey are both mentioned as competing in the Middleweight division. However, it does not specify which one is a ""Blackzilians"" fighter. Therefore, I cannot pinpoint which specific fighter from The Blackzilians is currently competing in the Middleweight division of Ultimate Fighting Championship.

But if you're asking about the answer based on the provided context alone, I would say: Gastelum and Alvey are both mentioned as competing in the Middleweight division.",hcpc_v1,0.562,False,0.6004,False,-1.0,hotpotqa,llama3
