claim_id,paper section,table/figure,claim text,submitted value,metric,dataset,split,sample size,conditions,generator,retriever,context construction,scorer,scorer input format,threshold,seeds,claimed evidence,claimed script,claimed config,priority,initial status,notes
"CR-001","Introduction / ControlledRAG","Contributions","ControlledRAG is a minimum reporting checklist covering seven movable audit axes.","seven axes","method claim","not applicable","not applicable","not applicable","generator; retriever; context structure; scorer; human calibration; threshold transfer; cost","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","controlledrag_reporting_checklist.md","not applicable","not applicable","HIGH","NON_NUMERICAL","Do not claim mathematical uniqueness or exhaustiveness."
"CR-002","Introduction / Why NeurIPS","Contributions","The demonstrated under-identification is bounded to tested RAG settings; extension to other LLM-as-judge settings is conjectural.","conjecture only","scope claim","tested RAG cells","mixed","not applicable","multiple audit cells","Mistral-7B; Qwen2.5-7B probe","multiple bounded retriever cells","multiple","three frozen scorer setups","mixed","mixed","mixed","main paper limitations","not applicable","not applicable","CRITICAL","NON_NUMERICAL","Do not claim broad generalization."
"CR-003","Setup","Pipeline","Default chunk size is 1024 characters with 10% overlap and top-k=3.","1024; 10%; 3","configuration","primarily SQuAD/PubMedQA","not reported","not applicable","default pipeline","Mistral-7B; Qwen2.5-7B","MiniLM + Chroma + MiniLM cross-encoder","fixed-size chunks","not applicable","not applicable","not applicable","not applicable","main paper setup; reporting checklist","multiple experiment scripts","no single frozen config cited","MEDIUM","METHOD_ONLY","Prompt 02 must trace configuration to scripts/configs."
"CR-004","Setup","Metrics","Legacy DeBERTa and roberta-large-mnli scores are answer-only zero-shot label proxies and do not consume retrieved context.","no context","scorer input format","all fixed-generation scorer cells","mixed","mixed","three retrieval conditions","Mistral-7B; Qwen2.5-7B","mixed","retrieved context retained but not passed","DeBERTa-v3; roberta-large-mnli","answer sentence classified with hypothesis_template={}","0.5 for hallucination where used","mixed","supplement scorer implementation; source code","src/hallucination_detector.py; fix_03 script","pipeline call details","CRITICAL","TO_VERIFY","Input format is load-bearing."
"CR-005","Setup","Metrics","RAGAS-style local judge consumes question, retrieved context, and answer.","context-conditioned","scorer input format","fixed-generation scorer cells","mixed","mixed","three retrieval conditions","local Mistral-7B judge","mixed","retrieved passages","RAGAS-style local judge","question + context + answer prompt","native score in [0,1]","mixed","supplement scorer implementation; src/ragas_scorer.py","experiments/fix_03_multimetric_faithfulness.py","prompt embedded in scorer","CRITICAL","TO_VERIFY","Do not call this judge ground truth."
"CR-006","Matched-context audit","Table matched_ccs_main","Matched pairs have mean similarity 0.4236 vs 0.4215.","0.4236 / 0.4215; gap +0.0021","mean cosine similarity","SQuAD","not reported","200 pairs","HIGH-CCS vs LOW-CCS","Mistral-7B","MiniLM/Chroma","similarity-matched contexts","legacy DeBERTa proxy","answer-only legacy call","not applicable","not reported","results/revision/fix_01/paired_wilcoxon.csv","experiments/fix_01_causal_matched_pairs.py","similarity gap <=0.02","CRITICAL","TO_VERIFY","Full per-query file absent from submitted artifact."
"CR-007","Matched-context audit","Table matched_ccs_main","Matched pairs have CCS 0.670 vs 0.137.","0.670 / 0.137; gap +0.533","CCS","SQuAD","not reported","200 pairs","HIGH-CCS vs LOW-CCS","Mistral-7B","MiniLM/Chroma","HIGH/LOW CCS matched on mean similarity","legacy DeBERTa proxy","answer-only legacy call","not applicable","not reported","results/revision/fix_01/paired_wilcoxon.csv","experiments/fix_01_causal_matched_pairs.py","CCS gap >=0.20","CRITICAL","TO_VERIFY","CCS is diagnostic, not an oracle."
"CR-008","Matched-context audit","Table matched_ccs_main","Mean HIGH-minus-LOW faithfulness difference is -0.002.","-0.002","mean paired faithfulness difference","SQuAD","not reported","200 pairs","HIGH-CCS vs LOW-CCS","Mistral-7B","MiniLM/Chroma","similarity-matched HIGH/LOW CCS","legacy DeBERTa proxy","answer-only legacy call","0.5 only for rate, not mean","not reported","results/revision/fix_01/paired_wilcoxon.csv","experiments/fix_01_causal_matched_pairs.py","pre-specified paired test","CRITICAL","TO_VERIFY","Do not infer universal null."
"CR-009","Matched-context audit","Table matched_ccs_main","Paired Wilcoxon p-value for HIGH>LOW is 0.628.","0.628","paired Wilcoxon p","SQuAD","not reported","200 pairs","HIGH-CCS vs LOW-CCS","Mistral-7B","MiniLM/Chroma","similarity-matched HIGH/LOW CCS","legacy DeBERTa proxy","answer-only legacy call","not applicable","not reported","results/revision/fix_01/paired_wilcoxon.csv","experiments/fix_01_causal_matched_pairs.py","pre-specified HIGH>LOW direction","CRITICAL","TO_VERIFY","Confirm one- vs two-sided convention."
"CR-010","Matched-context audit","Table matched_ccs_main","Cohen's dz is -0.017.","-0.017","paired effect size","SQuAD","not reported","200 pairs","HIGH-CCS vs LOW-CCS","Mistral-7B","MiniLM/Chroma","similarity-matched HIGH/LOW CCS","legacy DeBERTa proxy","answer-only legacy call","not applicable","not reported","results/revision/fix_01/paired_wilcoxon.csv","experiments/fix_01_causal_matched_pairs.py","paired dz","HIGH","TO_VERIFY","Definition must be checked."
"CR-011","Matched-context audit","Table matched_ccs_main","Bootstrap 95% CI on mean paired difference is [-0.022,+0.017].","[-0.022,+0.017]","bootstrap CI","SQuAD","not reported","200 pairs","HIGH-CCS vs LOW-CCS","Mistral-7B","MiniLM/Chroma","similarity-matched HIGH/LOW CCS","legacy DeBERTa proxy","answer-only legacy call","not applicable","not reported","results/revision/fix_01/bootstrap_ci.csv","experiments/fix_01_causal_matched_pairs.py","10000 resamples","CRITICAL","TO_VERIFY","Check seed and percentile/BCa method."
"CR-012","Matched-context audit","Table matched_ccs_main","HIGH vs LOW hallucination rates are 16.5% vs 9.0%, McNemar p=0.011.","16.5% / 9.0%; p=0.011","binary rate; McNemar","SQuAD","not reported","200 pairs","HIGH-CCS vs LOW-CCS","Mistral-7B","MiniLM/Chroma","similarity-matched HIGH/LOW CCS","legacy DeBERTa proxy","answer-only legacy call","faithfulness <0.5","not reported","results/revision/fix_01/paired_wilcoxon.csv","experiments/fix_01_causal_matched_pairs.py","paired binary test","CRITICAL","TO_VERIFY","Threshold-specific tail result can coexist with null mean."
"CR-013","Matched-context audit","Span paragraph","Gold-answer span is present in 17.0% HIGH vs 27.0% LOW contexts, McNemar p=0.011.","17.0% / 27.0%; p=0.011","lexical span rate; McNemar","SQuAD","not reported","400 contexts / 200 pairs","HIGH-CCS vs LOW-CCS","Mistral-7B","MiniLM/Chroma","normalized alias lexical match","not applicable","lowercase/punctuation-stripped lexical check","not applicable","not reported","source_tables/span_control_summary.csv","experiments/fix_12_answer_span_diagnostic.py","gold alias normalization","HIGH","TO_VERIFY","Lexical span is a weak proxy, not gold support."
"CR-014","Matched-context audit","Span/control model panel","Single-predictor R2 ranks span 0.019 > CCS 0.003 > similarity 0.002; joint R2=0.025.","0.019 / 0.003 / 0.002; joint 0.025","R2","SQuAD","matched cell","400 contexts","feature panels","Mistral-7B","MiniLM/Chroma","matched contexts","legacy DeBERTa proxy","answer-only legacy call","not applicable","not reported","source_tables/span_control_summary.csv","experiments/fix_12_answer_span_diagnostic.py","bootstrap CIs in source","HIGH","TO_VERIFY","All R2 values are small."
