dataset,model,condition,n_queries,faith,halluc,sim,refine_rate,ccs
hotpotqa,qwen2.5,baseline,30,0.6186,0.0333,0.6099,0.0,
hotpotqa,qwen2.5,hcpc_v1,30,0.6041,0.1,0.6286,0.0,
hotpotqa,qwen2.5,hcpc_v2,30,0.616,0.0667,0.6098,0.3667,0.4116
naturalqs,llama3,baseline,30,0.6628,0.1333,0.5724,0.0,
naturalqs,llama3,hcpc_v1,30,0.6435,0.0333,0.6235,0.0,
naturalqs,llama3,hcpc_v2,30,0.6682,0.1333,0.5718,0.6333,0.5977
naturalqs,mistral,baseline,30,0.6798,0.1333,0.5724,0.0,
naturalqs,mistral,hcpc_v1,30,0.657,0.1,0.6235,0.0,
naturalqs,mistral,hcpc_v2,30,0.6774,0.1667,0.5718,0.6333,0.5977
naturalqs,qwen2.5,baseline,30,0.6571,0.1333,0.5724,0.0,
naturalqs,qwen2.5,hcpc_v1,30,0.651,0.0,0.6235,0.0,
naturalqs,qwen2.5,hcpc_v2,30,0.6751,0.0667,0.5718,0.6333,0.5977
pubmedqa,qwen2.5,baseline,30,0.5926,0.0667,0.6531,0.0,
pubmedqa,qwen2.5,hcpc_v1,30,0.6109,0.0667,0.6783,0.0,
pubmedqa,qwen2.5,hcpc_v2,30,0.596,0.0333,0.6526,0.7333,0.57
squad,qwen2.5,baseline,30,0.8312,0.0,0.6154,0.0,
squad,qwen2.5,hcpc_v1,30,0.685,0.0,0.6172,0.0,
squad,qwen2.5,hcpc_v2,30,0.8265,0.0,0.6152,0.3333,0.5551
triviaqa,qwen2.5,baseline,30,0.6582,0.0333,0.6044,0.0,
triviaqa,qwen2.5,hcpc_v1,30,0.6317,0.0333,0.6488,0.0,
triviaqa,qwen2.5,hcpc_v2,30,0.6582,0.0333,0.6045,0.4333,0.5726
